"supplier_name","total_value","service","cpv_code1","cpv_code2","cpv_code3","cpv_code4","cpv_code5","cpv_code6","cpv_code7","cpv_code8","cpv_code9","cpv_code10","cpv_code11","cpv_code12","cpv_code13","cpv_code14","cpv_code15","cpv_code16","cpv_code17","cpv_code18","cpv_code19","cpv_code20","cpv_code21","cpv_code22","cpv_code23","cpv_code24","cpv_code25","cpv_code26","cpv_code27","cpv_code28"
"AECOM Limited","128897","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","27120","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","23000","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","20000","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"Aecom Limited","40500","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM LIMITED","20000","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","32850","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","42283","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","5489","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"AECOM Limited","39635","PROPERTY AND HIGHWAYS","45000000|71000000|71200000|71240000|71313400|71314200|71352100|71356000|71530000|72224000|73000000|75211200","|71300000|71313430|71314300|79000000|79415200","|71313450|71500000|98000000","|71313420|71800000","|90000000","","","","","","","","","","","","","","","","","","","","","","",""
"After Adoption","14333","CHILDREN’S SOCIAL CARE","85000000|85100000|85300000|85310000","|85000000","|79315000","|85320000","|85300000","","","","","","","","","","","","","","","","","","","","","","",""
"After Adoption","28667","CHILDREN’S SOCIAL CARE","85000000|85100000|85300000|85310000","|85000000","|79315000","|85320000","|85300000","","","","","","","","","","","","","","","","","","","","","","",""
"After Adoption","7817.62","CHILDREN’S SOCIAL CARE","85000000|85100000|85300000|85310000","|85000000","|79315000","|85320000","|85300000","","","","","","","","","","","","","","","","","","","","","","",""
"After Adoption","14333","CHILDREN’S SOCIAL CARE","85000000|85100000|85300000|85310000","|85000000","|79315000","|85320000","|85300000","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","47353","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","586343","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","586343","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","12953.5","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","10457","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","47353","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","586343","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","7322","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","586343","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","7000","FINANCE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","14850","FINANCE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","19431","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","121352","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","121352","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","121352","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","157560","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","25836","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","82710.3","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","121352","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","12917.8","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","91697.9","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","121352","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","121352","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","78780.2","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","12917.8","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","63021","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","40974","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","12918","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","121352","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","78780.2","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","7192","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","6444","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","1456220","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","945363","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","155014","CUSTOMERS & CORPORATE SERVICES","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","14909.3","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","106314","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","106314","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","425254","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","66540","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","94708","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","917514","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","563111","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","5021","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","563111","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agilisys Limited","17504","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGILISYS LIMITED","54217","NEIGHBOURHOODS AND ENVIRONMENT","72000000|72261000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
