Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Suez Recycling & Recovery Uk Limited                                                      ,NP01161   ,2018-06-06,2018-06-13,562017    ,332,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and Delivery of Recycling & Waste Con                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,3002,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Bulky Waste Collection                                                                                                                                                                                                                                                                                      
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,2940,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Collections of Clinical Waste                                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,8167,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter Bins and Dog Bins - Dog Bins                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,710,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Litter Bins and Dog Bins - Litter Bi                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,4705,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Recycling Banks - Wheeled Bins                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,237955,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Recycling & Food Collection Service                                                                                                                                                                                                                                                                         
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,52101,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Refuse Collection                                                                                                                                                                                                                                                                                           
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,1997,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Store & Delivery of Recycling & Waste Contain                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,998,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Store & Delivery of Recycling & Waste Contain                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01129   ,2018-06-04,2018-06-08,562017    ,332,312912,Refuse Collection & Recycling                                                                                                                                                                           ,Store & Delivery of Recycling & Waste Contain                                                                                                                                                                                                                                                               
