Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Tony Benger Landscaping Ltd                                                               ,P006032   ,2015-08-25,2015-08-31,673641,,11641,Parks And Pleasure Grounds                                                                                                                                                                              ,Landscaping at Subway area of Exmouth.                                                                                                                                                                                                                                                                      
Bickerdike Allen Partners                                                                 ,P006021   ,2015-08-19,2015-08-24,517798,,6000,Public Health                                                                                                                                                                                           ,Joint Airport Noise Study PART 1                                                                                                                                                                                                                                                                            
Bickerdike Allen Partners                                                                 ,P006015   ,2015-08-17,2015-08-24,517798,,8000,Development Managment                                                                                                                                                                                   ,Joint Airport Noise Study PART 2                                                                                                                                                                                                                                                                            
Craemer                                                                                   ,P006012   ,2015-08-17,2015-09-11,607800,,13880,Refuse Collection & Recycling                                                                                                                                                                           ,140 litre wheeled bin grey with hot foil stam                                                                                                                                                                                                                                                               
Craemer                                                                                   ,P006012   ,2015-08-17,2015-09-11,607800,,13880,Refuse Collection & Recycling                                                                                                                                                                           ,180 litre wheeled bin grey with hot fooil sta                                                                                                                                                                                                                                                               
Craemer                                                                                   ,P006012   ,2015-08-17,2015-09-11,607800,,13880,Refuse Collection & Recycling                                                                                                                                                                           ,240 litre wheeled bin grey with hot foil stam                                                                                                                                                                                                                                                               
Proludic Ltd                                                                              ,P006007   ,2015-08-14,2015-11-06,823980,,15816,Tax & Nonspecific Grant Income                                                                                                                                                                          ,Land of Canaan play area Ottery St Mary.                                                                                                                                                                                                                                                                    
Wicksteed Leisure Ltd                                                                     ,P006006   ,2015-08-13,2015-11-27,341223,,47995,Tax & Nonspecific Grant Income                                                                                                                                                                          ,Phear Park play area Exmouth.                                                                                                                                                                                                                                                                               
Johnston Sweepers Ltd                                                                     ,P005993   ,2015-08-12,2015-08-19,838128,,6646,Street Cleansing                                                                                                                                                                                        ,REPAIR TO SWEEPER LJ14CDU                                                                                                                                                                                                                                                                                   
Ian Harrison Consultancy                                                                  ,P005989   ,2015-08-11,2015-08-18,876744,,6000,Capital Regeneration Economy                                                                                                                                                                            ,Project amangement of Mamhead Slipway - Ian H                                                                                                                                                                                                                                                               
Advanced Business Solutions                                                               ,P005982   ,2015-08-10,2015-08-11,601331,,10766,Ict Services                                                                                                                                                                                            ,Annual Support and Maintenance eFin - 20 user                                                                                                                                                                                                                                                               
Advanced Business Solutions                                                               ,P005982   ,2015-08-10,2015-08-11,601331,,10766,Ict Services                                                                                                                                                                                            ,Annual Supprt and Maintenance eProcurement -                                                                                                                                                                                                                                                                
