Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description,,
Expressions                                                                               ,P020643   ,2020-06-15,2020-06-17,256959,1180,9440,Supervision And Mgt General                                                                                                                                                                             ,ILM 5 Qualification - Andi Loosemore                                                                                                                                                                                                                                                                        ,,
Expressions                                                                               ,P020643   ,2020-06-15,2020-06-17,256959,1180,9440,Legal Services                                                                                                                                                                                          ,ILM 5 Qualification Anita Williams                                                                                                                                                                                                                                                                          ,,
Expressions                                                                               ,P020643   ,2020-06-15,2020-06-17,256959,1180,9440,Supervision And Mgt General                                                                                                                                                                             ,ILM 5 qualification - Graham Baker                                                                                                                                                                                                                                                                          ,,
Expressions                                                                               ,P020643   ,2020-06-15,2020-06-17,256959,1180,9440,Hsg And Council Tax Admin                                                                                                                                                                               ,ILM 5 Qualification - Keith Bagwell                                                                                                                                                                                                                                                                         ,,
Expressions                                                                               ,P020643   ,2020-06-15,2020-06-17,256959,1180,9440,Street Scene Support Services                                                                                                                                                                           ,ILM 5 Qualification - Richard Martin                                                                                                                                                                                                                                                                        ,,
Expressions                                                                               ,P020643   ,2020-06-15,2020-06-17,256959,1180,9440,Economic Development                                                                                                                                                                                    ,ILM 5 Qualification - Rob Murray                                                                                                                                                                                                                                                                            ,,
Expressions                                                                               ,P020643   ,2020-06-15,2020-06-17,256959,1180,9440,Supervision And Mgt General                                                                                                                                                                             ,ILM 5 Qualification - Sophie Davies                                                                                                                                                                                                                                                                         ,,
Expressions                                                                               ,P020643   ,2020-06-15,2020-06-17,256959,1180,9440,Property And Estates Services                                                                                                                                                                           ,ILM 5 Qualification - Tim Child                                                                                                                                                                                                                                                                             ,,
G2 Recruitment Solutions                                                                  ,P020633   ,2020-06-15,2020-06-16,968900,10000,10000,Public Health                                                                                                                                                                                           ,Edward Vandyke contract order                                                                                                                                                                                                                                                                               ,,
Devon County Council                                                                      ,P020632   ,2020-06-12,2020-06-13,103012,6500,7400,Crime And Disorder                                                                                                                                                                                      ,East Devon District Council funding for DEPP                                                                                                                                                                                                                                                                ,,
Devon County Council                                                                      ,P020632   ,2020-06-12,2020-06-13,103012,900,7400,Crime And Disorder                                                                                                                                                                                      ,East Devon District Council LRF Contribution                                                                                                                                                                                                                                                                ,,
Francis Taylor Building                                                                   ,P020617   ,2020-06-11,2020-06-18,402415,5625,5625,Development Managment                                                                                                                                                                                   ,Professional Planning Fees                                                                                                                                                                                                                                                                                  ,,
South West Water Business                                                                 ,P020606   ,2020-06-10,2021-03-31,102181,3100,11800,Corporate Buildings                                                                                                                                                                                     ,1772852701 ETH  20/21                                                                                                                                                                                                                                                                                       ,,
South West Water Business                                                                 ,P020606   ,2020-06-10,2021-03-31,102181,2000,11800,Public Halls                                                                                                                                                                                            ,1796899101 Manor Pavilion 20/21                                                                                                                                                                                                                                                                             ,,
South West Water Business                                                                 ,P020606   ,2020-06-10,2021-03-31,102181,500,11800,Corporate Buildings                                                                                                                                                                                     ,1797150601 Manstone Depot 20/21                                                                                                                                                                                                                                                                             ,,
South West Water Business                                                                 ,P020606   ,2020-06-10,2021-03-31,102181,200,11800,Industrial Sites                                                                                                                                                                                        ,2664722302 Salterton Workshops Station Rd 20/                                                                                                                                                                                                                                                               ,,
South West Water Business                                                                 ,P020606   ,2020-06-10,2021-03-31,102181,300,11800,Parks And Pleasure Grounds                                                                                                                                                                              ,5000720901 Lavis Camper Boatyard 20/210                                                                                                                                                                                                                                                                     ,,
South West Water Business                                                                 ,P020606   ,2020-06-10,2021-03-31,102181,2500,11800,Corporate Buildings                                                                                                                                                                                     ,5025794801 EDBC 20/21                                                                                                                                                                                                                                                                                       ,,
South West Water Business                                                                 ,P020606   ,2020-06-10,2021-03-31,102181,3200,11800,Corporate Buildings                                                                                                                                                                                     ,5030825301 Camperdown Depot 20/21                                                                                                                                                                                                                                                                           ,,
Tynetec (Legrand Assisted Living & Healthcare                                             ,P020602   ,2020-06-10,2020-06-12,352371,1790,6423,Supervision And Mgt Special                                                                                                                                                                             ,Carbon Monoxide product no ZXT422 x20                                                                                                                                                                                                                                                                       ,,
Tynetec (Legrand Assisted Living & Healthcare                                             ,P020602   ,2020-06-10,2020-06-12,352371,963,6423,Supervision And Mgt Special                                                                                                                                                                             ,Pullcord product no ZXT435 x 20                                                                                                                                                                                                                                                                             ,,
Tynetec (Legrand Assisted Living & Healthcare                                             ,P020602   ,2020-06-10,2020-06-12,352371,848,6423,Supervision And Mgt Special                                                                                                                                                                             ,Reach GSM alarm product no ZSA680 x4                                                                                                                                                                                                                                                                        ,,
Tynetec (Legrand Assisted Living & Healthcare                                             ,P020602   ,2020-06-10,2020-06-12,352371,2821,6423,Supervision And Mgt Special                                                                                                                                                                             ,Smoke detectors product no ZXT484 x60                                                                                                                                                                                                                                                                       ,,
Livewest Homes Limited                                                                    ,P020599   ,2020-06-10,2020-06-17,563340,8000,8000,Homeless                                                                                                                                                                                                ,Homeless Provison at Gissage House 1.4.20 - 3                                                                                                                                                                                                                                                               ,,
D Chesney                                                                                 ,P020593   ,2020-06-09,2020-10-01,725753,23400,23400,Capital Beaches And Foreshores                                                                                                                                                                          ,Exmouth Gryone Marker Replacement Works                                                                                                                                                                                                                                                                     ,,
Stephen J Pratten                                                                         ,P020542   ,2020-06-04,2020-06-11,14602,6018,6018,Capital Corp Build And Securty                                                                                                                                                                          ,Project Management Services for Relocation Pr                                                                                                                                                                                                                                                               ,,
Mgb Plastics                                                                              ,P020539   ,2020-06-04,2020-06-11,362448,20916,20916,Refuse Collection & Recycling                                                                                                                                                                           ,Green wheeled bins (240 Litre) Bins East Devo                                                                                                                                                                                                                                                               ,,
Bridge Civil Engineering Ltd                                                              ,P020529   ,2020-06-04,2020-10-02,633399,22050,22050,Capital Flood Alleviation Sch                                                                                                                                                                           ,Membury Trash Screen and Headwall Works as pe                                                                                                                                                                                                                                                               ,,
Medigold Health Consultancy Ltd                                                           ,NP03739   ,2020-06-26,2021-02-04,835946,16000,16000,Corporate Activities                                                                                                                                                                                    ,Employee Health Screening                                                                                                                                                                                                                                                                                   ,,
Days Fleet                                                                                ,NP03727   ,2020-06-23,2020-06-30,150019,3280,6561,Public Conveniences                                                                                                                                                                                     ,Replacement for BL13 DLV                                                                                                                                                                                                                                                                                    ,,
Days Fleet                                                                                ,NP03727   ,2020-06-23,2020-06-30,150019,3280,6561,Parks And Pleasure Grounds                                                                                                                                                                              ,Replacement for WG13 UHJ                                                                                                                                                                                                                                                                                    ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03723   ,2020-06-22,2020-06-29,562017,724,15978,Refuse Collection & Recycling                                                                                                                                                                           ,Additional Collections - May 2020                                                                                                                                                                                                                                                                           ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03723   ,2020-06-22,2020-06-29,562017,24,15978,Refuse Collection & Recycling                                                                                                                                                                           ,AHP Collections - May 2020                                                                                                                                                                                                                                                                                  ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03723   ,2020-06-22,2020-06-29,562017,2883,15978,Refuse Collection & Recycling                                                                                                                                                                           ,Assisted Refuse Collections May 2020                                                                                                                                                                                                                                                                        ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03723   ,2020-06-22,2020-06-29,562017,683,15978,Refuse Collection & Recycling                                                                                                                                                                           ,Dog Bins - May 2020                                                                                                                                                                                                                                                                                         ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03723   ,2020-06-22,2020-06-29,562017,3522,15978,Refuse Collection & Recycling                                                                                                                                                                           ,Schedule 2 Recycling Collections - May 2020                                                                                                                                                                                                                                                                 ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03723   ,2020-06-22,2020-06-29,562017,1340,15978,Refuse Collection & Recycling                                                                                                                                                                           ,Schedule 2 Refuse Collections - May 2020                                                                                                                                                                                                                                                                    ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03723   ,2020-06-22,2020-06-29,562017,6799,15978,Refuse Collection & Recycling                                                                                                                                                                           ,Variations May 2020 - Assisted Recycling Coll                                                                                                                                                                                                                                                               ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03719   ,2020-06-19,2020-06-26,562017,2062,25219,Refuse Collection & Recycling                                                                                                                                                                           ,Bin deliveries - May 2020                                                                                                                                                                                                                                                                                   ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03719   ,2020-06-19,2020-06-26,562017,12193,25219,Refuse Collection & Recycling                                                                                                                                                                           ,Green Waste Operating Costs Labour- May 2020                                                                                                                                                                                                                                                                ,,
Suez Recycling & Recovery Uk Limited                                                      ,NP03719   ,2020-06-19,2020-06-26,562017,10963,25219,Refuse Collection & Recycling                                                                                                                                                                           ,Vehicles May 2020                                                                                                                                                                                                                                                                                           ,,
The Crown Estate- Knight Frank Coastal Rental                                             ,NP03714   ,2020-06-17,2020-06-24,767921,8250,8250,Beaches & Foreshores                                                                                                                                                                                    ,Foreshore and Bed Exe - Crown Estate 24/6/20                                                                                                                                                                                                                                                                ,,
