Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Archant South West                                                                        ,PS01673   ,2015-09-14,2015-09-18,437271    ,,10000,Development Managment                                                                                                                                                                                   ,DEPARTURE NOTICES - 01.10.2015 - 31.12.2015                                                                                                                                                                                                                                                                 
Mel Research                                                                              ,P006181   ,2015-09-28,2015-10-05,044664    ,,5800,Refuse Collection & Recycling                                                                                                                                                                           ,Waste Analysis                                                                                                                                                                                                                                                                                              
Bartlett Refrigeration                                                                    ,P006173   ,2015-09-24,2015-10-01,148491    ,,59359,Capital Regeneration Economy                                                                                                                                                                            ,Seaton Jurassic - Bartletts kitchen fit out                                                                                                                                                                                                                                                                 
Fruition Creative Services Ltd                                                            ,P006172   ,2015-09-24,2015-10-01,295959    ,,86669,Capital Regeneration Economy                                                                                                                                                                            ,Seaton Jurassic Fit Out                                                                                                                                                                                                                                                                                     
Johnston Sweepers Ltd                                                                     ,P006120   ,2015-09-15,2015-09-22,838128    ,,64950,Capital St Scene Cleansing                                                                                                                                                                              ,JOHNSTON CX201 SWEEPER                                                                                                                                                                                                                                                                                      
South West Audit Partnership Ltd                                                          ,P006119   ,2015-09-14,2015-09-15,462372    ,,26220,Financial Services                                                                                                                                                                                      ,Internal Audit Fee Q3                                                                                                                                                                                                                                                                                       
West Devon Business Information Point Ltd                                                 ,P006087   ,2015-09-04,2015-09-05,1879P     ,,25000,Economic Development                                                                                                                                                                                    ,Business Support Activities delivered by Busi                                                                                                                                                                                                                                                               
Kpmg Llp                                                                                  ,P006072   ,2015-09-03,2015-09-04,408515    ,,14885,Public Accountability                                                                                                                                                                                   ,External Audit Work 2015/16                                                                                                                                                                                                                                                                                 
Kpmg Llp                                                                                  ,P006072   ,2015-09-03,2015-09-04,408515    ,,14885,Hsg And Council Tax Admin                                                                                                                                                                               ,HB Grant Certification 2015/16                                                                                                                                                                                                                                                                              
Wicksteed Leisure Ltd                                                                     ,P006061   ,2015-09-01,2015-09-08,341223    ,,69999,Capital Play Equipment                                                                                                                                                                                  ,Captial - Imperal Recreation Ground play area                                                                                                                                                                                                                                                               
Wicksteed Leisure Ltd                                                                     ,P006061   ,2015-09-01,2015-09-08,341223    ,,69999,Capital Play Equipment                                                                                                                                                                                  ,S106 - Imperial Recreation Ground play area                                                                                                                                                                                                                                                                 
