Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Strata Service Solutions Ltd                                                              ,P012834   ,2018-03-28,2018-03-29,265114    ,14657,51016,Capital Ict Infra And Projects                                                                                                                                                                          ,ST00464 Capital Grant - Easy Tree Management                                                                                                                                                                                                                                                                
Strata Service Solutions Ltd                                                              ,P012834   ,2018-03-28,2018-03-29,265114    ,9320,51016,Capital Ict Infra And Projects                                                                                                                                                                          ,ST00467 Capital Grant - Efin V5 upgrade                                                                                                                                                                                                                                                                     
Strata Service Solutions Ltd                                                              ,P012834   ,2018-03-28,2018-03-29,265114    ,2850,51016,Capital Ict Infra And Projects                                                                                                                                                                          ,ST00468 Capital Grant for Housing System                                                                                                                                                                                                                                                                    
Strata Service Solutions Ltd                                                              ,P012834   ,2018-03-28,2018-03-29,265114    ,18682,51016,Capital Ict Infra And Projects                                                                                                                                                                          ,ST00471 Capital Grant for Idox convergence pr                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P012834   ,2018-03-28,2018-03-29,265114    ,2539,51016,Capital Ict Infra And Projects                                                                                                                                                                          ,ST00474 Capital Grant for Skype Customer Cont                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P012834   ,2018-03-28,2018-03-29,265114    ,1979,51016,Capital Ict Infra And Projects                                                                                                                                                                          ,ST00477 Capital Grant LLPG convergence projec                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P012834   ,2018-03-28,2018-03-29,265114    ,987,51016,Capital Ict Infra And Projects                                                                                                                                                                          ,ST00480 Capital Grant - HR Convergence Projec                                                                                                                                                                                                                                                               
Parkeon Ltd                                                                               ,P012768   ,2018-03-22,2018-03-29,339494    ,7812,7812,Parks And Pleasure Grounds                                                                                                                                                                              ,Quote SA-2018-2003-VW-East Devon Council-1                                                                                                                                                                                                                                                                  
Md Building Services Limited                                                              ,P012753   ,2018-03-20,2018-03-27,602323    ,23010,23010,Responsive Maintenance                                                                                                                                                                                  ,Labour Value on jobs issued                                                                                                                                                                                                                                                                                 
South West Audit Partnership Ltd                                                          ,P012745   ,2018-03-20,2018-04-03,462372    ,113270,113270,Financial Services                                                                                                                                                                                      ,SWAP 2018/19 audit fee 4 Qtrs @ £28,317.50 pe                                                                                                                                                                                                                                                               
Roadform Civil Engineering Co. Ltd                                                        ,P012742   ,2018-03-20,2018-03-29,332564    ,28929,28929,Car Parks                                                                                                                                                                                               ,New Street North and South, Honiton - Car Par                                                                                                                                                                                                                                                               
Strata Service Solutions Ltd                                                              ,P012720   ,2018-03-19,2018-03-26,265114    ,1850,8407,Ict Services                                                                                                                                                                                            ,Access charge mobile devices February 2018                                                                                                                                                                                                                                                                  
Strata Service Solutions Ltd                                                              ,P012720   ,2018-03-19,2018-03-26,265114    ,6557,8407,Ict Services                                                                                                                                                                                            ,Tarriff for mobiles - February 2018                                                                                                                                                                                                                                                                         
Resolution Data Management Ltd                                                            ,P012695   ,2018-03-15,2018-03-22,085147    ,6897,6897,Land Charges                                                                                                                                                                                            ,Scanning files                                                                                                                                                                                                                                                                                              
Focused Vision Limited                                                                    ,P012692   ,2018-03-14,2018-03-21,845539    ,5000,5000,Economic Development                                                                                                                                                                                    ,Viewsonic Interactive Panels x2 for Conferenc                                                                                                                                                                                                                                                               
Intelligent Plans & Examinations Ltd                                                      ,P012676   ,2018-03-14,2018-03-21,033162    ,5098,5098,Planning Policy                                                                                                                                                                                         ,Ottery St Mary and West Hill Neighbourhood Pl                                                                                                                                                                                                                                                               
