Number of applications in England and Wales divided by local authority,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jan-20,,,,,,,,,,,
Local Authority,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
WOLVERHAMPTON,38,20,47,1384,579,9,99,0,72,2970,493,5711
WORCESTER,12,15,11,697,323,3,38,0,17,1310,284,2710
WREKIN,27,17,115,2343,508,1,140,0,51,2608,596,6406
WORTHING,7,106,14,941,423,3,37,0,23,1726,456,3736
WREXHAM,60,13,26,708,361,6,127,0,31,1351,248,2931
WYCHAVON,39,12,98,837,354,1,95,0,59,2159,403,4057
WYCOMBE,35,38,35,1202,520,14,139,0,79,2902,596,5560
WYRE,30,3,53,840,413,11,74,0,61,1674,271,3430
WYRE FOREST,29,9,21,602,275,2,44,0,46,1134,238,2400
YORK,54,56,33,1300,575,3,100,0,75,2440,458,5094
