Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Aug-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
PARRY DAVIES CLWYD JONES & LLOYD,0,0,6,17,23
PD LAWYERS LIMITED,0,0,2,21,23
WINSTON SOLICITORS LLP,0,0,0,23,23
ABACUS SOLICITORS,0,0,3,19,22
ALEXANDER JLO,0,0,10,12,22
ALLINGTON HUGHES,0,0,3,19,22
BATTRICK CLARK,0,1,2,19,22
BENJAMIN ROGER WILLIAM SPARROW,0,0,15,7,22
BENTLEYS,0,0,1,21,22
Bonallack & Bishop,0,0,7,15,22
BRABNERS LLP,0,0,11,11,22
BRIGHTSTONE LAW LLP,0,0,2,20,22
CHARLES RUSSELL SPEECHLYS LLP,1,1,4,16,22
CLEGGS,0,0,14,8,22
CURWENS,0,0,0,22,22
DOUGLAS-JONES & MERCER (DJM),0,0,1,21,22
FIELDFISHER LLP,0,0,1,21,22
GELDARDS LLP,0,0,16,6,22
GLAISYERS SOLICITORS LLP,0,0,4,18,22
GORDONS PROPERTY LAWYERS,0,1,3,18,22
GULLANDS,0,0,4,18,22
HENRY HYAMS,0,0,1,21,22
HOWORTH & HOLLINGS,0,0,2,20,22
J H MAITLAND-WALKER,0,0,2,20,22
JUNO PROPERTY LAWYERS LIMITED,0,0,0,22,22
KENNETH M BARROW AND CO,0,0,1,21,22
KNIGHT RICHARDSON LIMITED,0,0,0,22,22
MOONEY EVERETT,0,0,1,21,22
NORTH AINLEY,0,0,2,20,22
OXLEY & COWARD,0,0,2,20,22
PELLYS SOLICITORS LIMITED,0,0,6,16,22
PSR SOLICITORS LTD,0,0,1,21,22
ROSS COATES (T/A HARMONY LAW AND UNITE SOLICITORS),0,0,8,14,22
SIMON MERCHANT PROPERTY SOLICITOR,0,0,4,18,22
STORRAR COWDRY,0,0,2,20,22
STUART & CO,0,0,0,22,22
TEMPERLEY TAYLOR,0,0,3,19,22
TMJ LEGAL SERVICES LLP,0,0,2,20,22
ACS SOLICITORS,0,0,4,17,21
AFG LAW LIMITED,0,0,2,19,21
AH BROOKS & CO,1,0,3,17,21
BAKER ASHLEY LIMITED,0,0,0,21,21
BDB PITMANS,0,0,3,18,21
BENNETT OAKLEY & PARTNERS,0,0,3,18,21
BINDMAN & CO,1,0,2,18,21
Bone & Payne Ltd,0,0,4,17,21
BURGES SALMON LLP,0,0,2,19,21
CAMERON JONES HUSSELL & HOWE,0,0,1,20,21
CHARLES FRASER,0,0,10,11,21
CLYDE & CO LLP,0,0,5,16,21
COATES SOLICITORS,0,0,0,21,21
COOLE BEVIS LLP,0,0,2,19,21
EATON-EVANS AND MORRIS,1,0,3,17,21
EMG SOLICITORS LIMITED,0,0,2,19,21
FIELDINGS PORTER,1,0,4,16,21
FORSTERS LLP,0,0,7,14,21
JEPSON LONGSTAFF MIDGLEY SOLS LLP,1,0,0,20,21
LATIMER LEE,0,0,0,21,21
LCF RESIDENTIAL LTD,1,0,1,19,21
LUTTONS DUNFORD SOLICITORS,0,0,15,6,21
MOOREBLATCH,0,1,4,16,21
PARFITT CRESSWELL,0,0,2,19,21
PORTER DODSON LLP,0,0,1,20,21
RICHARDSONS PROPERTY LAWYERS,0,0,0,21,21
ROBERT BARBER & SONS,0,0,4,17,21
ROBERTSONS,0,0,3,18,21
T J LEGAL SERVICES LIMITED,0,0,8,13,21
THATCHER & HALLAM,0,0,3,18,21
THOMSON WEBB & CORFIELD,0,0,4,17,21
VICTORIA KENNY TRADING AS KENNY SO,0,0,2,19,21
ALDRIDGE BROWNLEE,1,0,2,17,20
BRACHERS LLP,0,0,2,18,20
BURD WARD,0,0,1,19,20
CHARLES STRACHAN SOLICITORS LTD,0,0,1,19,20
CHARLTONS SOLICITORS,0,0,0,20,20
CLIFFORD JOHNSTON & CO,0,0,1,19,20
COHEN FILIPPINI SOLICITORS,0,0,7,13,20
CYGNET FAMILY LAW,0,0,2,18,20
David Barney & Co,0,0,2,18,20
DEBENHAMS OTTAWAY,0,0,1,19,20
FBC Manby Bowdler LLP,0,0,2,18,20
FUNNELL & PERRING,0,0,1,19,20
GIRLINGS,1,0,3,16,20
GODDARD DUNBAR ASSOCIATES,2,0,1,17,20
GOODCHILD VIZARD & SMART,0,0,1,19,20
HALSALLS,0,0,0,20,20
HAWORTH & GALLAGHER,0,0,1,19,20
HMCC SECURITIES LTD,0,0,16,4,20
HUGHES PADDISON,0,0,1,19,20
LAW & PROPERTY LLP T/A SLADE SON & TAYLOR,0,0,3,17,20
LAYZELLS,0,0,3,17,20
LENNON & CO (LENNONS SOLICITORS),0,0,1,19,20
LLOYDS & COOPER,0,0,8,12,20
MCHALE & CO,0,0,3,17,20
MCKENZIE BELL,0,0,1,19,20
MISHCON DE REYA,0,0,0,20,20
NEALE TURK,0,0,6,14,20
ORJ SOLICITORS,0,0,2,18,20
PEPPERELLS SOLICITORS,0,0,0,20,20
Phillips,0,0,4,16,20
PINKNEY GRUNWELLS,0,0,1,19,20
RICH & CARR LIMITED,0,0,0,20,20
RICHARD J KNAGGS,0,0,0,20,20
SAVAGE SILK LIMITED,0,0,2,18,20
SCOTT BAILEY LLP,0,0,1,19,20
STEELE RAYMOND LLP,0,0,2,18,20
TBP LEGAL LIMITED,0,0,0,20,20
VERSUS LAW LTD,0,0,1,19,20
WAINS SOLICITORS,0,0,2,18,20
WALKER SOLICITORS LTD,0,0,0,20,20
ALCOCK GRIMDITCH & RIGLEY,0,0,0,19,19
BEERS LLP,0,0,1,18,19
Bennetts & Bennetts,0,0,4,15,19
BLASER MILLS INCORPORATING NORRIS BAZZARD,0,0,0,19,19
BRM SOLICITORS,0,0,5,14,19
BRYAN AND ARMSTRONG,0,0,1,18,19
BURY & WALKERS LLP,1,0,1,17,19
BWT LAW LLP,0,0,0,19,19
CHARSLEY HARRISON,0,0,2,17,19
CLOUGH & WILLIS,0,0,4,15,19
DEAN WILSON LAING,0,0,3,16,19
DEO VOLENTE LEGAL LLP,0,0,1,18,19
DICKINSONS,0,0,3,16,19
DWF LLP,0,0,3,16,19
GADDES NOBLE LIMITED,0,0,7,12,19
GAMLINS SOLICITORS LLP,0,0,2,17,19
GARDNER ILIFF & DOWDING,0,0,3,16,19
GLP SOLICITORS,0,0,2,17,19
HADGKISS HUGHES & BEALE,0,0,2,17,19
HOULDSWORTHS,0,0,4,15,19
HPLC CONVEYANCING LTD,0,0,2,17,19
HS LAWYERS LIMITED,0,0,1,18,19
JASPER VINCENT,0,4,3,12,19
KENNAN DOYLE SOLICITORS LIMITED,0,0,1,18,19
KHAN MATHER LIMITED,0,0,0,19,19
KLB SOLICITORS LLP,0,0,1,18,19
LAURUS LAW LIMITED,0,0,1,18,19
LEWIS NEDAS,0,0,0,19,19
LUPTON FAWCETT DENISON TILL,0,0,3,16,19
MEARS HOBBS & DURRANT,0,0,5,14,19
MILNERS SOLICITORS,0,0,4,15,19
MOORE & TIBBITS (QUALITY SOLICITORS),1,0,3,15,19
MSP LEGAL SERVICES LLP,0,0,1,18,19
MULLIS & PEAKE,0,0,2,17,19
MUNDAYS,0,0,3,16,19
O'NEILL PATIENT T/A CAVENDISH LEGAL GROUP,0,0,1,18,19
PCS,0,0,1,18,19
Pengillys,0,0,4,15,19
Peter Peter & Wright,0,0,4,15,19
PLATT & FISHWICK,0,0,4,15,19
ROTHWELL & EVANS,0,0,1,18,19
SAM HAWKING & CO,1,0,1,17,19
SCOTTS WRIGHT,0,0,4,15,19
SHERGILL & CO,0,0,1,18,19
SOLOMON TAYLOR SHAW,0,0,0,19,19
THE ERIC WHITEHEAD PARTNERSHIP,0,0,0,19,19
TITLE TRANSFER PROPERTY LAWYERS,0,0,0,19,19
WHISKERS,0,0,3,16,19
WHITEHEAD MONCKTON,0,0,4,15,19
ANDREW JACKSON,0,0,4,14,18
BARKER GOTELEE,1,0,5,12,18
Barr Ellison,0,0,3,15,18
BBH LEGAL SERVICES LIMITED,0,0,1,17,18
BERLAD GRAHAM LLP,0,0,2,16,18
BIRDSALL & SNOWBALL,0,0,2,16,18
BOYES TURNER,0,0,8,10,18
CHAMBERLINS (GT YARMOUTH),0,0,1,17,18
CHILD AND CHILD LIMITED,0,1,1,16,18
CLARKE AND SON (QUALITY SOLICITORS),2,1,0,15,18
CLARKE ROWE,0,0,2,16,18
COPLEYS,0,0,5,13,18
COWLEY DI GIORGIO SOLICITORS,0,0,6,12,18
DARBY & DARBY,0,0,3,15,18
DAVID & SNAPE,1,0,4,13,18
DAVID W HARRIS & CO,0,0,3,15,18
DAVIS BLANK FURNISS,0,0,0,18,18
DODD AND VAUGHTON,0,0,5,13,18
E D C LORD & CO,0,0,2,16,18
EARL & CROCKER,0,0,5,13,18
ECCLES HEDDON & CO,0,0,3,15,18
ELITE LAW SOLICITORS LTD,0,0,0,18,18
EVERETT TOMLIN LLOYD & PRATT,0,0,1,17,18
EWART PRICE,0,0,0,18,18
FISHERS DEWES SOLICITORS,0,0,1,17,18
FODENS,0,0,0,18,18
FOOTNER & EWING,1,0,3,14,18
GAMLINS LAW,0,0,4,14,18
GILL TURNER TUCKER,0,1,2,15,18
GILROY STEEL,0,0,1,17,18
Goldsmith Williams,0,0,0,18,18
GOWLINGS SOLICITORS,0,0,4,14,18
GRAHAM SMITH PROPERTY LAWYERS,0,0,0,18,18
HANNAYS SOLICITORS & ADVOCATES,0,0,1,17,18
HERINGTONS SOLICITORS,0,1,1,16,18
HEYMAN & CO,0,0,3,15,18
KWW,0,0,2,16,18
LARKEN & CO,0,0,2,16,18
MACLACHLAN SOLICITORS,0,0,0,18,18
MILBURNS,0,0,2,16,18
NICHOLS MARCY DAWSON,1,1,6,10,18
OKELLS WITH FRANCISLAW LLP,0,0,3,15,18
PENMANS SOLICITORS,0,0,3,15,18
PHILIP J HAMMOND,0,0,0,18,18
PICKERINGS,0,0,3,15,18
R & B LEGAL LIMITED,0,0,0,18,18
RAY BORLEY & DUNKLEY,0,0,1,17,18
ROLAND ROBINSONS & FENTONS,0,0,1,17,18
SMITH SUTCLIFFE,1,0,1,16,18
STONE KING LLP,1,0,0,17,18
Swayne Johnson Limited,0,0,3,15,18
THE HEAD PARTNERSHIP SOLICITORS LL,0,0,3,15,18
THURSTAN HOSKIN SOLICITORS LLP,0,0,8,10,18
TOOMEY LEGAL LIMITED,0,0,2,16,18
WARNERS LAW LLP,0,0,7,11,18
WATSONS SOLICITORS,0,0,1,17,18
WIDDOWS MASON,0,0,0,18,18
WOODFINES SOLICITORS,0,0,9,9,18
WRIGLEY CLAYDON,0,0,3,15,18
ACONVEYANCING LIMITED,0,0,1,16,17
ADAMS HARRISON,0,0,3,14,17
ANDREW GORDON & CO,0,0,10,7,17
BBMW LTD,0,0,2,15,17
BES LEGAL LIMITED,0,0,1,16,17
BGW LAW LIMITED,1,0,2,14,17
BLYTHE LIGGINS,0,0,1,16,17
BRADDON AND SNOW LIMITED,0,0,5,12,17
BUSS MURTON LAW LLP SOLICITORS,0,0,1,16,17
CARTWRIGHT CUNNINGHAM HASELGROVE & CO,0,0,0,17,17
COMPTONS,0,2,1,14,17
DERBYSHIRE LEGAL SERVICES LTD,0,0,4,13,17
DF LEGAL LLP,0,0,4,13,17
DORLING COTTRELL LTD T/A D C LAW,0,0,0,17,17
DOUBLE & MEGSON,1,0,3,13,17
DOWNS SOLICITORS LLP,0,0,2,15,17
E&K SOLICITORS,0,0,1,16,17
ELITE PROPERTY LAW FIRM,0,0,1,16,17
FIONA BRUCE & CO LLP,0,0,0,17,17
Francis & Buck Solicitors,0,0,2,15,17
GEOFFREY HILL & CO,0,0,2,15,17
GO CONVEY,0,0,2,15,17
GOUGHS,0,0,4,13,17
GRAHAM WITHERS & CO,1,0,3,13,17
Hallmarkhulme Solicitors,1,0,3,13,17
HATCHERS HENRY LEES SOLICITORS,0,0,2,15,17
HAY & KILNER,0,0,4,13,17
HEWITSONS,0,0,4,13,17
HOWARD & CO SOLICITORS,0,0,0,17,17
HUMFRYS & SYMONDS,0,0,4,13,17
HUNT & COOMBS LLP,0,0,1,16,17
IVES & CO,0,0,3,14,17
LAWRENCE STEPHENS,0,0,1,16,17
LEON KAYE SOLICITORS,0,0,0,17,17
LIDDY'S SOLICITORS,0,0,0,17,17
LOWICK MCKAY,0,0,3,14,17
MELIA & MUMFORD,0,0,3,14,17
MORGAN ELIS LIMITED,0,0,2,15,17
NICHOLLS BRIMBLE BHOL,0,0,3,14,17
PAYNE MARSH STILLWELL,0,0,1,16,17
PHILLIPS (OF MANSFILED),0,0,2,15,17
ROACH PITTIS,0,0,3,14,17
STALLARD MARCH & EDWARDS,0,0,3,14,17
THOMSON & BANCKS LLP,0,0,0,17,17
TQ LAW LIMITED,0,0,0,17,17
W H MATTHEWS & CO,1,0,1,15,17
Windeatts,0,0,1,16,17
WOODFORDS,0,1,0,16,17
WORRALLS SOLICITORS,0,0,2,15,17
A S K LEGAL,0,0,4,12,16
ALLSOP DURN,0,0,1,15,16
BANNISTER BATES CONVEYANCING,0,0,1,15,16
BATES WELLS & BRAITHWAITE (SUFFOLK),0,0,3,13,16
BEST SOLICITORS,1,0,1,14,16
BOWSER OLLARD & BENTLEY LIMITED T/A BOWSERS,0,0,4,12,16
BRAND MELLON,0,0,0,16,16
BROCKBANK CURWEN CAIN & HALL,0,0,3,13,16
Browne Jacobson LLP,0,0,6,10,16
CARR & CO (BLYTH),0,0,2,14,16
COCKSHOTT PECK LEWIS,0,0,3,13,16
COMPLETE CONVEY LIMITED,0,0,0,16,16
CS CONVEYANCING,1,0,3,12,16
DAVID AULD & CO,0,0,3,13,16
FLETCHER & CO,0,0,2,14,16
GD LEGAL SOLICITORS LTD,0,0,0,16,16
GOODMAN GRANT SOLICITORS,0,0,1,15,16
GORMAN HAMILTON (ALSO T/A TRUE SOLICITORS),0,0,2,14,16
GOTELEE SOLICITORS,0,0,2,14,16
Gudgeons Prentice,0,0,2,14,16
HATCH BRENNER LLP,1,0,1,14,16
HINE DOWNING LLP,0,0,6,10,16
HINE SOLICITORS,0,0,4,12,16
HODGE HALSALL LLP,0,0,1,15,16
Jeromes,0,0,1,15,16
JOHN MORSE SOLICITORS,0,0,1,15,16
LAWSON LEWIS BLAKERS,0,1,2,13,16
LEWIS & DICK,0,1,1,14,16
LINKS LEGAL SOLICITORS,0,0,0,16,16
MARCHANT HARRIES & CO,0,0,2,14,16
MAXWELL HODGE,0,0,0,16,16
MICHAEL LEIGHTON JONES,0,0,3,13,16
MIR & CO SOLICITORS,0,0,0,16,16
MORLEY BROWN & CO,0,0,4,12,16
MOSS SOLICITORS,0,0,0,16,16
NOWELL MELLER SOLICITORS,0,0,2,14,16
OGLETHORPE STURTON & GILLIBRAND SOLICITORS,0,0,1,15,16
PAUL CROWLEY & CO,0,0,1,15,16
PRITCHARD JONES LANE,2,0,4,10,16
ROBERT BINGHAM,0,0,2,14,16
RUBIN LEWIS O'BRIEN,0,0,3,13,16
SAMPSON COWARD,0,0,1,15,16
SHARMAN AND SON SOLICITORS,0,0,0,16,16
SIAN THOMAS & DAUGHTER,0,0,0,16,16
SOLENT PROPERTY LAWYERS LIMITED,0,0,1,15,16
SOUTHERN STEWART & WALKER,0,0,1,15,16
ST JAMES LAW LIMITED,1,0,2,13,16
STARKIE & GREGORY,0,0,0,16,16
STEELS,0,0,3,13,16
STRAW & PEARCE,0,0,4,12,16
TANNERS SOLICITORS LLP,0,0,1,15,16
THE ASSOCIATE LAW FIRM,0,0,0,16,16
THORNTON JONES FAMILY LAW,0,0,1,15,16
THRINGS LLP,0,0,1,15,16
TIBBER MARKS LIMITED,0,0,0,16,16
TIMMS,0,0,7,9,16
VINCENT SOLICITORS,0,0,1,15,16
WADE & WADE LLP,0,0,0,16,16
WATKINS SOLS INC B SINNOTT & CO,0,0,0,16,16
ADIE PEPPERDINE LLP,0,0,1,14,15
ALFRED NEWTON & CO,0,1,2,12,15
ALWENA JONES & JONES,0,0,1,14,15
ANDERSON PARTNERSHIP,0,0,0,15,15
ASTLE PATERSON LTD,1,0,5,9,15
ATKINS THOMSON LIMITED,1,0,3,11,15
AUSTIN RAY,0,0,1,14,15
AVANT HOMES LIMITED,0,0,0,15,15
AWB PARTNERSHIP,0,0,1,14,15
BEECHAM PEACOCK LLP,0,0,0,15,15
BENDALL & SONS,0,0,1,14,15
BERRY & BERRY LLP,0,0,0,15,15
BLANDY & BLANDY LLP,0,0,1,14,15
BPE SOLICITORS LLP,0,1,2,12,15
BUDE NATHAN IWANIER,0,0,3,12,15
BURTONS SOLICITORS,0,0,0,15,15
CAUNTERS,0,0,4,11,15
CHESTER & CO,0,0,4,11,15
CLARK WILLIS SOLICITORS,0,0,2,13,15
CMS CAMERON MCKENNA LLP,0,0,4,11,15
CONVEY US LIMITED,0,0,1,14,15
CUFF-GOUGH,0,0,0,15,15
DICKENSONS SOLICITORS,0,0,1,14,15
DILWYNS,0,0,4,11,15
DONALD RACE & NEWTON,0,0,1,14,15
DONN & CO (SHROPSHIRE) LIMITED,0,0,4,11,15
EXCELLO LAW LIMITED,0,0,3,12,15
FONSECALAW LIMITED T/A FONSECA PARTNERS,1,0,2,12,15
GRAEME JOHN & PARTNERS,3,0,1,11,15
GRAHAM & ROSEN,0,0,2,13,15
HAGUE & DIXON,0,0,2,13,15
HAINS & LEWIS,0,0,1,14,15
HOPLEYS GMA,1,0,2,12,15
JAMESONS CONVEYANCING LIMITED,0,0,1,14,15
KINGSLEY NAPLEY,0,0,3,12,15
KIRKLANDS,0,0,1,14,15
LEX SOLICITORS,0,0,0,15,15
MACKRELL TURNER GARRETT,0,0,3,12,15
MEWIES SOLICITORS,0,0,8,7,15
MILLS & REEVE LLP,0,0,6,9,15
MRP CAPRON,0,0,0,15,15
NATIONAL LAW PARTNERS LIMITED,0,0,1,14,15
NIGEL DAVIS SOLICITORS,1,0,6,8,15
PA Todd & Company,0,0,1,14,15
PARRY CARVER,0,0,4,11,15
PHILIP ROSS & CO,0,0,0,15,15
PINNEY TALFOURD LLP,0,0,1,14,15
ROTHERHAM & CO,1,0,0,14,15
SAMUEL PHILLIPS & CO,0,0,2,13,15
SARGINSONS LAW LLP,0,0,1,14,15
SAVAGE CRANGLE SOLICITORS,0,0,6,9,15
SILKS,0,0,2,13,15
STILWELL & SINGLETON,0,0,0,15,15
STONE MILWARD RAPERS (SMR SOLICITORS),0,1,2,12,15
T A MATTHEWS,0,0,3,12,15
THE LAW OFFICE OF PAUL D'AMBROGIO (PDA-LAW),0,0,4,11,15
THOMAS HORTON LLP,0,0,3,12,15
WALTERS & BARBARY,0,0,1,14,15
WARD & RIDER,0,0,3,12,15
WARE & KAY LLP,0,0,2,13,15
WHITTINGHAMS,0,0,2,13,15
WPF GLASNER GERBER SHAPIRO,0,0,0,15,15
ABERAVON LAWYERS LIMITED TRADING AS KEVIN LANE,0,0,0,14,14
ADAMS & REMERS,0,0,1,13,14
ADDLESHAW GODDARD,0,0,7,7,14
ADVANTAGE LAW LIMITED,0,0,3,11,14
ANTHONY WALTERS & CO,0,0,2,12,14
ATTWATERS JAMESON HILL SOLICITORS,0,1,2,11,14
BARROW & COOK,0,0,0,14,14
BERMANS LLP,0,0,3,11,14
BIRD WILFORD & SALE,0,0,9,5,14
Borlase & Company,0,0,2,12,14
BOYCE HATTON,0,0,2,12,14
BREENS,0,0,2,12,14
BREESE-GWYNDAF,0,0,3,11,14
BROWN BARRON,1,0,0,13,14
BRYAN & MERCER,0,0,1,13,14
C G M CHARTAHOUSE BLATCH,0,0,1,13,14
CHALLENOR & SON,0,0,3,11,14
CHARLES NEWTON & CO,0,0,0,14,14
CLAPHAM & COLLINGE,0,1,2,11,14
CLOSE THORNTON LLP,0,0,1,13,14
COLLINGS SOLICITORS,0,0,0,14,14
COOPER SONS HARTLEY AND WILLIAMS,0,0,5,9,14
COUPE BRADBURY,1,0,3,10,14
DEXTER MONTAGUE LLP,0,0,1,13,14
DICKINS HOPGOOD CHIDLEY LLP,0,0,2,12,14
DICKINSON PARKER HILL & SON,0,0,4,10,14
DYER & CROWE,0,0,0,14,14
EMMERSONS SOLICITORS,0,0,0,14,14
FDC LAW,1,0,3,10,14
FINN GLEDHILL & CO,0,0,4,10,14
FURLEY PAGE LLP,0,0,3,11,14
GEORGE DAVIES & EVANS,1,0,8,5,14
GOSSCHALKS,0,0,1,13,14
GRANVILLE WEST CHIVERS & MORGAN,0,0,2,12,14
GS SOLICITORS,0,0,2,12,14
HAROLD STOCK & CO,0,0,2,12,14
HARRIS & HARRIS LEGAL SERVICES LLP,0,0,2,12,14
HARROP WHITE VALLANCE & DAWSON,0,0,2,12,14
HART READE SOLICITORS,0,0,1,13,14
HATHAWAYS,0,0,2,12,14
JACOBS SOLICITORS INC DE CORDOVA ALIS & FILCE,0,0,3,11,14
JUST HOUSES LIMITED,0,0,2,12,14
KASH TUTTER & CO,1,0,1,12,14
KENNAN KAY & CO,0,0,1,13,14
KNIGHT POLSON,0,1,1,12,14
LACEYS,0,1,2,11,14
LETS MOVE CONVEYANCING LIMITED,0,0,2,12,14
LONGDEN WALKER & RENNEY,0,0,2,12,14
MARK COOK,0,0,0,14,14
MARKAND & CO,0,0,0,14,14
MEMERY CRYSTAL LLP,0,0,0,14,14
MOGERS DREWETT LLP,0,0,2,12,14
PARKER BULLEN,0,0,1,13,14
Parrott & Coales,0,0,1,13,14
PENNINE LAW,0,0,3,11,14
PERSIMMON (MIDLANDS REGION - NORTHAMPTON OFFICE),0,0,0,14,14
PLACE BLAIR & HATCH,0,0,2,12,14
PRICE & KELWAY,0,0,1,13,14
ROBERT MANN,0,0,3,11,14
ROWBERRY MORRIS,0,1,2,11,14
ROWLAND TILDESLEY & HARRIS,0,0,1,13,14
RUDLINGS WAKELAM SOLICITORS,0,0,5,9,14
STREATHERS CLAPHAM LLP,0,0,0,14,14
THORPE & CO SOLICITORS,1,0,2,11,14
TINN CRIDDLE & CO,0,0,1,13,14
TONNER JOHNS RATTI LIMITED,0,1,0,13,14
TRUEMANS,0,0,1,13,14
VANDERPUMP & SYKES LLP,0,1,0,13,14
WASON MALE & WAGLAND LLP,0,0,2,12,14
WEIGHTMANS LLP,0,0,3,11,14
WHATLEY RECORDON,0,0,4,10,14
WILFRIDS LAW LIMITED,0,0,0,14,14
WOOLLCOMBE & YONGE,0,0,0,14,14
ABSOLUTE CONVEYANCING LIMITED,1,0,1,11,13
ACORN SOLICITORS,0,0,0,13,13
ANDREW LEE & CO,0,0,0,13,13
ARNOLD THOMSON LIMITED,0,0,2,11,13
BARRETT & NELLIGAN,0,0,1,12,13
BARWELLS,0,0,0,13,13
BERWINS,0,0,0,13,13
BOWERS & JESSOP,0,0,0,13,13
BOYES SUTTON & PERRY,0,1,0,12,13
BRECHER,0,0,5,8,13
CAPSTICK-DALE & PARTNERS,0,0,2,11,13
CHRIS STEVENSON SOLICITORS,0,0,1,12,13
COCKS LLOYD,0,0,1,12,13
Cyril Jones & Co,0,0,2,11,13
CYRIL MORRIS ARKWRIGHT & CO,0,0,2,11,13
DENTONS UKMEA LLP,0,0,0,13,13
EDDOWES PERRY & OSBOURNE LIMITED,1,0,0,12,13
ENOCH EVANS,0,0,5,8,13
FARNWORTH ROSE SOLICITORS,0,0,1,12,13
FIELD SEYMOUR PARKES,0,0,4,9,13
FLETCHER DAY,0,1,0,12,13
FOORT TAYLER,0,0,2,11,13
FRASER BROWN,1,0,10,2,13
FRODSHAMS,0,0,1,12,13
GAYNHAM KING & MELLOR,2,0,4,7,13
GELLHORNS,0,0,5,8,13
GEORGE IDE SOLICITORS,0,0,3,10,13
GLAISYERS SOLICITORS,0,0,3,10,13
GODWINS,0,0,2,11,13
GOUGH-THOMAS & SCOTT,1,0,3,9,13
GRAHAME STOWE BATESON,0,0,0,13,13
GUY WILLIAMS LAYTON,0,0,0,13,13
GWYN JAMES & CO,0,0,0,13,13
HAIGHS SOLICITORS,0,0,4,9,13
HB PROPERTY LEGAL LTD,0,0,0,13,13
HOLDENS SOLICITORS,1,0,0,12,13
HOWELL JONES LLP,0,0,2,11,13
HRJ FOREMAN LAWS LLP,0,0,0,13,13
HSK SOLICITORS LLP,0,0,4,9,13
HUNTON & GARGET,0,0,4,9,13
INDEPENDENT PROPERTY LAWYERS LTD,0,0,0,13,13
JACKAMAN SMITH & MULLEY,0,0,2,11,13
JOHNS GILBERT & FRANKTON,0,0,0,13,13
Kenneth Elliott & Rowe,1,0,0,12,13
KINGSWELL WATTS,0,0,0,13,13
KNOCKER & FOSKETT,0,0,1,12,13
LEGEND SOLICITORS LIMITED,0,0,0,13,13
LOFTHOUSE & CO SOLICITORS,1,0,0,12,13
MACKS,0,0,1,12,13
MANCINI LEGAL,0,0,1,12,13
Michael W Pipe,0,0,0,13,13
NEWBYS,0,0,1,12,13
Parnalls Solicitors Ltd,2,0,2,9,13
PAUL FINN SOLICITORS,2,0,3,8,13
PORTER DODSON LLP,0,0,3,10,13
QUALITY CONVEYANCING LTD,0,0,4,9,13
RAYMOND BEER & CO,0,0,0,13,13
RJM SOLICITORS,0,0,1,12,13
SAL & CO,0,0,0,13,13
SELECT CONVEYANCERS LTD,0,0,1,12,13
SHARP CROSS & MANN LLP,0,0,1,12,13
SOLICITOR DIRECT,0,0,1,12,13
STEVENS SON & POPE,0,0,4,9,13
TAYLOR WIMPEY UK LTD (NORTHERN DIVISION),0,0,0,13,13
THE WARING PARTNERSHIP LLP,0,1,0,12,13
THOMPSON AND COOKE (AKA  T & C SOLICITORS LIMITED),0,0,0,13,13
TWOMLOWS,0,0,1,12,13
UNSWORTH ROSE,0,1,0,12,13
VALERIE HOLMES PROPERTY LAWYER,0,0,1,12,13
VINCENT & CO,0,0,1,12,13
Vine Orchards,0,0,3,10,13
WALL JAMES CHAPPELL,0,0,3,10,13
WARE & KAY,0,0,4,9,13
WOODLAND ROTHBURY JESSEL SOLS LTD,0,1,0,12,13
ANDERSON ROWNTREE LLP,0,0,0,12,12
ANTHONY FOLEY,0,0,0,12,12
ANTHONY GOLD,0,0,1,11,12
APPLEBY HOPE & MATTHEWS,0,0,0,12,12
ASHLEY JAMES SOLICITORS,0,0,1,11,12
Ashworths Solicitors,0,0,0,12,12
B P COLLINS & CO,0,0,2,10,12
BALDWIN WYATT SOLICITORS,0,0,0,12,12
BARLOW ROBBINS,0,0,1,11,12
BERENSENS LLP,0,0,3,9,12
BLACKHURST SWAINSON GOODIER,0,0,2,10,12
BOND ADAMS LLP,0,0,1,11,12
BRAR & CO,0,0,0,12,12
CLIFTON INGRAM LLP,0,0,6,6,12
COLMAN COYLE,0,0,0,12,12
CORNISH VENNING CHELLEWS SOLICITORS,1,0,3,8,12
CROMPTON HALLIWELL,0,0,2,10,12
DAWSON AND BURGESS,0,0,0,12,12
DFA Law,0,0,3,9,12
EMW LAW LLP,0,0,2,10,12
ERIC BOWES & CO,0,0,0,12,12
FAIRSTEP SOLICITORS,0,0,1,11,12
FLADGATE LLP,0,0,0,12,12
GARETH WEBB & CO LLP,0,0,0,12,12
GRAINGER APPLEYARD,0,0,1,11,12
GRAY HOOPER HOLT LLP,0,1,0,11,12
HALLAM SOLICITORS,0,0,0,12,12
HANNEY DAWKINS & JONES,0,0,0,12,12
HANSELLS SOLICITORS,0,0,1,11,12
HEPPENSTALLS,0,0,1,11,12
JACKSON BARRETT & GASS,0,0,2,10,12
JENNINGS PERKS & CO,0,0,1,11,12
JOHN DONKIN & CO,0,0,0,12,12
John Hodge,0,0,2,10,12
JONES ROBERTSON SOLICITORS,0,0,0,12,12
KAPASI & CO,0,0,1,11,12
KENDALL & DAVIES,0,0,1,11,12
KERMAN & CO,0,0,0,12,12
KING-DAVIES AND PARTNERS,0,0,6,6,12
KIRK & PARTNERS,0,0,1,11,12
