Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Aug-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
CLARKE WILLMOTT,1,0,17,46,64
G M WILSON,0,0,27,37,64
LANGLEY WELLINGTON,0,2,16,46,64
VINCENTS SOLICITORS,2,0,4,58,64
SLEE BLACKWELL,3,0,9,51,63
BREWER WALLACE LTD,1,0,2,59,62
MARTIN-KAYE,2,0,3,57,62
SIMPSON JONES LLP,1,0,8,53,62
TWM Solicitors LLP,0,1,7,54,62
WOMBLE BOND DICKINSON,0,0,48,14,62
HARRISON CLARK RICKERBYS,0,0,12,49,61
Woodford Stauffer,0,1,3,57,61
BLB,0,0,9,51,60
CAMPIONS SOLICITORS (NOTTINGHAM),0,0,4,56,60
FREERS ASKEW BUNTING SOLS LTD,0,0,2,58,60
GABY HARDWICKE,0,0,5,55,60
MARK SWATTS MORSE LLP,0,0,2,58,60
RONALD FLETCHER BAKER LLP,0,3,3,54,60
BEVAN BRITTAN,0,0,33,26,59
BLAKE MORGAN,0,1,12,46,59
BUTTERWORTHS,1,0,27,31,59
Mincoffs Solicitors LLP,0,0,3,56,59
WALDRONS,0,2,9,48,59
BIRD & CO,1,0,1,56,58
BPL Solicitors,0,0,8,50,58
Harding Evans LLP,0,0,4,54,58
KEW LAW LLP,0,0,7,51,58
SEATONS,0,1,3,54,58
SPIRE SOLICITORS LLP,0,0,11,47,58
Awdry Bailey & Douglas,0,0,7,50,57
EDWARD HANDS & LEWIS,0,1,7,49,57
EMIN READ SOLICITORS,0,0,3,54,57
LEADENHALL LAW GROUP LTD,0,1,1,55,57
PARKINSON WRIGHT LLP,0,0,7,50,57
SCJ SOLICITORS,3,0,5,49,57
WILSONS SOLICITORS (LEEDS),0,0,0,57,57
DUTTON GREGORY,0,1,19,36,56
HEALYS LLP,0,1,6,49,56
KIDD RAPINET LLP,0,0,7,49,56
WALKER FOSTER,0,0,11,45,56
MALCOLM C FOY & CO LIMITED,1,0,21,33,55
MATTHEW MONTGOMERY & CO,0,0,20,35,55
MORGAN JONES & PETT,0,0,6,49,55
SLATER HEELIS LLP,0,0,4,51,55
WILSON BROWNE,0,0,5,50,55
COODES,0,0,14,40,54
DIRECTION HOME (LAW) LLP,0,0,14,40,54
WARDS,0,0,7,47,54
WBW LLP TRADING AS WBW SOLICITORS,0,0,8,46,54
CHAFES HAGUE LAMBERT LLP,1,0,6,46,53
GATELEY PLC,1,0,12,40,53
MSB LAW LLP,1,0,15,37,53
SLATER & GORDON (UK) LLP,0,0,1,52,53
THE SMITH PARTNERSHIP,1,0,10,42,53
ELMHIRST PARKER LLP,1,0,4,47,52
SPRATT ENDICOTT,0,0,4,48,52
STIRLING ACKROYD LEGAL,0,1,1,50,52
