Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Apr-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
DAVID BUNN & CO,0,0,1,0,1
DAVID EBERT,0,0,1,0,1
DAVIES & PARTNERS,0,0,0,1,1
DAVIES BLUNDEN & EVANS,0,0,1,0,1
DAVIS BLANK FURNISS,0,0,1,0,1
DEVONALDS,0,0,1,0,1
DICKENSONS SOLICITORS,0,0,1,0,1
DICKINSON PARKER HILL & SON,0,0,1,0,1
DILLEX SOLICITORS,0,0,1,0,1
DIRECTION HOME (LAW) LLP,0,0,1,0,1
DLA PIPER UK LLP,0,0,1,0,1
DLS LAW,0,0,1,0,1
DUDLEY METROPOLITAN B C,0,0,0,1,1
DWF LLP,0,0,0,1,1
DWFM BECKHAM,0,0,1,0,1
ELLIS FERMOR & NEGUS,0,0,1,0,1
EMMERSONS SOLICITORS,0,0,1,0,1
ENGLAND & CO,0,0,1,0,1
FARNFIELDS,0,0,1,0,1
FL LAW LIMITED,0,0,1,0,1
FLADGATE LLP,0,0,0,1,1
FONSECALAW LIMITED T/A FONSECA PARTNERS,0,0,1,0,1
Foskett Marr Gadsby & Head,0,0,1,0,1
Franklins Solicitors LLP,0,0,1,0,1
FUNNELL & PERRING,0,0,1,0,1
GABBS SOLICITORS,0,0,1,0,1
GADDES NOBLE LIMITED,0,0,1,0,1
GARNER CANNING & CO SOLICITOR,0,0,1,0,1
GATELEY PLC,0,0,1,0,1
GEORGE IDE SOLICITORS,0,0,0,1,1
Gill Akaster,0,0,1,0,1
GLOBAL LEGAL SOLUTIONS LTD,0,0,1,0,1
GLOVER PRIEST SOLICITORS LIMITED,0,0,1,0,1
GOODMAN DERRICK LLP,0,0,0,1,1
GOSSCHALKS,0,0,1,0,1
GOWLING WLG (UK) LLP,0,0,0,1,1
GREEN WRIGHT CHALTON ANNIS,0,0,0,1,1
Greene & Greene,0,0,1,0,1
GS SOLICITORS,0,0,0,1,1
HALL SMITH WHITTINGHAM,0,0,1,0,1
Hallmarkhulme Solicitors,0,0,1,0,1
HANSELLS SOLICITORS,0,0,1,0,1
HARRISON CLARK RICKERBYS,0,0,1,0,1
HAWLEY AND RODGERS,0,0,1,0,1
HB LAW (KIDDERMINSTER) LLP,0,0,0,1,1
HCL HANNE & CO,0,0,0,1,1
HEDLEYS & CO (SUNDERLAND),0,0,1,0,1
HEGARTY LLP,0,0,1,0,1
