Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jan-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
RUSSELL-COOKE LLP,3,28,3,138,110,0,24,0,11,616,185,1118
A SHADE GREENER,0,2,0,136,0,0,0,0,0,931,44,1113
BIRMINGHAM CITY COUNCIL,2,0,0,19,3,1,2,0,97,959,30,1113
READ ROPER AND READ,4,5,6,293,297,0,20,0,2,332,154,1113
DAVIES & PARTNERS,3,23,41,213,56,0,114,0,9,506,135,1100
LESTER ALDRIDGE LLP,6,14,10,222,66,34,9,0,12,645,82,1100
WARD GETHIN ARCHER,26,9,25,230,149,0,31,0,40,428,160,1098
LEGAL & GENERAL HOME FINANCE LTD,0,0,0,99,0,0,0,0,0,989,5,1093
BANNISTER PRESTON,1,25,159,136,140,0,154,0,3,334,140,1092
TEES,14,17,35,200,77,1,44,0,8,564,132,1092
DKLM,0,22,0,132,67,0,7,0,7,767,89,1091
DMH STALLARD,9,9,8,155,89,2,94,0,28,539,154,1087
CARTER JONAS SERVICE COMPANY,0,0,0,0,0,0,0,0,0,879,206,1085
BOYS & MAUGHAN,1,26,6,235,179,1,33,0,8,423,168,1080
KINLEIGH FOLKARD & HAYWARD,0,0,0,0,0,0,0,0,0,820,258,1078
MSB LAW LLP,3,3,23,195,209,1,119,0,4,398,118,1073
LEEDS & HOLBECK BUILDING SOCIETY,0,0,0,1066,0,0,0,0,0,0,0,1066
SILLS AND BETTERIDGE,21,12,29,232,148,0,38,0,21,416,144,1061
C B RICHARD ELLIS LTD,0,0,0,0,0,0,0,0,0,737,318,1055
NETWORK RAIL,0,0,0,0,0,0,0,0,0,867,187,1054
PEPPER (UK) LIMITED,0,0,0,234,0,0,0,0,0,819,0,1053
GOSSCHALKS,6,15,4,151,38,1,12,0,1,629,195,1052
MAYO WYNNE BAXTER,5,18,11,203,73,0,19,0,7,519,190,1045
WARDS,6,4,8,211,95,1,82,0,5,469,164,1045
CHATTERTONS (INC CHATTERTONS MCKINNELLS),17,8,37,246,112,1,25,0,20,431,147,1044
PM LAW LTD,4,7,16,273,331,0,40,0,1,256,115,1043
HOWARD KENNEDY FSI,0,44,1,209,87,1,13,0,10,519,156,1040
JONES LANG LASELLE LIMITED,0,0,0,0,0,0,0,0,0,614,420,1034
SHAWBROOK ASSET FINANCE T/A,0,0,0,0,0,0,0,0,0,1033,0,1033
BDB PITMANS,1,27,13,194,63,2,19,0,42,528,141,1030
HAYWARD MOON PROPERTY LAWYERS,14,11,10,257,189,0,23,0,41,334,151,1030
TAYLOR WALTON,5,15,48,226,140,0,60,0,12,369,147,1022
BUTTERWORTHS,7,7,66,164,87,0,47,0,11,412,219,1020
THRINGS LLP,8,20,10,187,87,3,17,0,22,519,147,1020
RESIDENTIAL MANAGEMENT GROUP LIMIT,0,0,0,0,0,0,0,0,0,617,392,1009
ELLISONS,15,21,16,165,128,0,21,0,20,449,167,1002
WEST ONE LOAN LIMITED,0,0,0,0,222,0,0,0,0,736,30,988
COODES,20,8,38,163,119,0,55,0,18,413,151,985
KNIGHT FRANK LLP,0,0,0,0,0,0,1,0,0,644,334,979
MANCHESTER CITY COUNCIL,1,1,0,76,2,2,5,0,13,741,137,978
SCHOFIELD SWEENEY LLP,4,10,12,194,160,0,23,0,12,432,126,973
BRETHERTONS LLP,6,12,13,83,38,1,23,0,6,599,179,960
PLATFORM FUNDING LIMITED,0,0,0,868,1,39,0,0,0,50,2,960
SPIRE SOLICITORS LLP,18,6,36,178,106,1,23,0,24,430,138,960
TILLY BAILEY & IRVINE,9,3,17,231,161,0,49,0,22,346,111,949
Attwells,7,18,14,220,237,0,37,0,10,263,141,947
PREMIER SOLICITORS LLP,7,11,7,219,201,0,31,0,7,363,100,946
BISHOP & SEWELL,1,32,3,136,58,0,48,0,2,463,198,941
BRIDGE MCFARLAND SOLICITORS,11,5,34,186,108,0,33,0,18,420,125,940
METROPOLITAN HOUSING TRUST LIMITED,0,0,0,27,2,0,0,0,0,399,512,940
GARNER CANNING & CO SOLICITOR,5,16,12,280,213,1,38,0,10,290,74,939
JUDGE & PRIESTLEY,1,16,2,164,30,0,6,0,10,634,76,939
KIDD RAPINET LLP,2,21,7,203,125,3,46,0,9,378,145,939
ELLIOT MATHER LLP,5,4,66,271,132,0,30,0,3,305,120,936
STEPHENSONS LLP,9,15,8,172,178,2,54,0,19,364,114,935
CUNNINGTONS,8,10,23,233,180,0,49,0,16,276,138,933
THOMSON SNELL & PASSMORE,3,10,5,145,67,0,4,0,55,466,168,923
BURGES SALMON LLP,4,3,5,101,24,8,41,0,3,605,128,922
Poole Alcock LLP,9,22,14,225,148,0,53,0,7,289,154,921
SEDDONS,2,20,3,179,122,72,31,0,54,332,105,920
RED KITE LAW,25,25,28,190,98,0,13,0,16,417,106,918
NEW HOMES LAW,1,114,111,62,88,0,423,0,0,75,42,916
FARRER & CO,6,6,3,143,55,0,5,0,13,550,130,911
COUTTS AND CO,0,0,0,140,0,0,0,0,0,762,7,909
LUPTON FAWCETT DENISON TILL,6,8,6,86,52,0,9,0,4,698,40,909
TQ PROPERTY LAWYERS LTD,3,56,7,183,121,0,159,0,7,215,158,909
Wilson Browne,12,5,20,430,97,0,21,0,8,223,93,909
COUNTRYSIDE PROPERTIES PLC,0,21,2,10,3,0,54,0,29,727,62,908
GREEN WRIGHT CHALTON ANNIS,4,38,7,251,116,0,10,0,5,345,130,906
BPL Solicitors,6,7,15,278,224,0,16,0,4,257,96,903
MLL LIMITED,2,1,0,51,6,0,2,0,2,678,158,900
HOWES PERCIVAL,11,7,23,126,75,2,37,0,43,481,94,899
PARK WOODFINE,3,22,22,131,89,0,59,0,5,451,117,899
BRACHERS LLP,0,6,9,84,29,0,5,0,12,670,79,894
RONALD FLETCHER BAKER LLP,2,26,8,232,141,2,70,0,13,282,115,891
EMIN READ SOLICITORS,1,14,2,150,149,0,17,0,9,360,188,890
PEPPER (UK) LTD,0,0,0,318,0,0,0,0,0,543,25,886
THE CO-OPERATIVE BANK,0,0,0,861,1,0,0,0,0,24,0,886
SORT LEGAL LIMITED,0,0,1,220,256,0,8,0,0,314,86,885
ERIC ROBINSON SOLICITORS,4,28,55,168,104,0,94,0,4,306,119,882
WBW LLP TRADING AS WBW SOLICITORS,15,26,18,213,95,0,20,0,7,376,110,880
NEWBOLD & CO,6,1,37,224,200,0,35,0,3,253,117,876
STEPHEN RIMMER LLP,1,15,13,215,116,0,23,0,3,341,148,875
EDWARD HANDS & LEWIS,9,14,26,265,193,1,42,0,6,231,85,872
LOAN.CO.UK LTD,0,0,0,0,0,0,0,0,0,871,1,872
SPRATT ENDICOTT,9,11,14,175,110,0,33,0,10,375,134,871
HOLMES & HILLS,8,19,15,128,64,1,37,0,21,443,131,867
HAROLD BENJAMIN,2,14,3,182,69,10,20,0,12,446,108,866
CONNECT2LAW LTD,0,6,2,160,365,0,43,0,0,191,98,865
BSG SOLICITORS,0,2,2,331,143,0,3,0,1,330,50,862
