Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,May-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
HERBERT SMITH FREEHILLS LLP,0,2,1,16,30,0,5,0,9,352,119,534
FLEXIMIZE SERVICES LIMITED,0,0,0,1,0,0,0,0,0,526,3,530
COFFIN MEW LLP,0,5,26,63,87,0,139,0,1,151,57,529
GORVINS,0,6,9,381,35,0,7,0,2,64,23,527
NEWHAM BOROUGH COUNCIL,0,0,0,3,3,0,0,0,6,359,152,523
LENDINVEST LIMITED,0,0,0,0,0,0,0,0,0,521,1,522
SINTONS LLP,0,4,5,51,22,0,8,0,20,352,58,520
GUNNERCOOKE LLP,0,1,2,55,49,0,12,0,6,301,92,518
MICHELMORES LLP,1,5,6,140,15,1,1,0,34,233,79,515
NATIONAL CRIME AGENCY,0,0,0,0,0,0,0,0,0,462,53,515
DAVIES & PARTNERS,0,4,20,49,41,0,101,0,13,191,88,507
UNITED TRUST BANK LTD,0,0,0,0,0,0,0,0,0,505,2,507
TILLY BAILEY & IRVINE,0,1,1,85,124,0,20,0,11,211,50,503
BISHOP & SEWELL,0,5,0,47,42,0,10,0,2,267,129,502
Franklins Solicitors LLP,0,2,4,40,78,1,81,0,4,212,79,501
J S LAW,0,5,10,193,191,0,29,0,2,40,30,500
KINLEIGH FOLKARD & HAYWARD,0,0,0,0,0,0,0,0,0,363,137,500
BOYS & MAUGHAN,0,3,7,94,105,0,17,0,1,209,63,499
HAROLD BENJAMIN,0,1,0,34,161,0,43,0,46,163,51,499
HOME GROUP LIMITED,0,0,0,1,0,0,1,0,0,399,95,496
Taylor Wessing LLP,0,3,2,32,19,0,15,0,1,333,89,494
PEPPER (UK) LTD,0,0,0,238,1,0,0,0,0,232,21,492
BUTCHER & BARLOW,0,0,2,75,90,0,13,0,35,213,63,491
KPMG LLP,0,0,0,1,0,0,0,0,0,488,2,491
APERTURE DEBT SOLUTIONS LLP,0,0,0,478,0,0,0,0,0,12,0,490
SAS DANIELS,1,2,3,76,142,0,54,0,7,152,45,482
BANNER JONES LIMITED,1,3,5,48,132,0,16,0,5,201,70,481
BDB PITMANS,0,1,3,46,26,0,5,0,7,291,102,481
COUTTS AND CO,0,0,0,82,0,0,0,0,0,399,0,481
