Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Mar-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
STEPHENSONS LLP,0,0,10,59,69
GLANVILLES DAMANT LTD,0,0,3,65,68
KEW LAW LLP,2,0,11,55,68
MARTIN-KAYE,0,0,6,62,68
PURE LAW LLP,2,0,1,65,68
Thomas Flavell & Sons,4,1,8,55,68
HUGH JAMES SOLICITORS,0,0,34,33,67
MSB LAW LLP,1,0,15,51,67
O'DONNELL SOLICITORS LTD,0,0,54,13,67
RIGHT CHOICE CONVEYANCING LIMITED,0,0,10,57,67
Rowlinsons Solicitors,0,0,18,49,67
ROYDS WITHY KING LLP,0,0,11,56,67
WALKER FOSTER,1,0,22,44,67
BPL Solicitors,0,0,8,58,66
Hewitts,1,0,19,46,66
Peter Lynn & Partners,1,0,17,48,66
TRETHOWANS,0,0,11,55,66
Woodford Stauffer,0,0,11,55,66
MARSDEN RAWSTHORN LLP,2,0,6,57,65
WBW LLP TRADING AS WBW SOLICITORS,1,0,11,53,65
SCHOFIELD SWEENEY LLP,1,0,1,62,64
BUTCHER & BARLOW,0,0,12,51,63
FISHER JONES GREENWOOD (FJG),2,0,20,41,63
SWITALSKIS LIMITED,0,0,28,35,63
BELL LAMB & JOYNSON,0,0,3,59,62
BLB,0,0,24,38,62
JOHN W DAVIES & CO,0,0,6,55,61
WAKE SMITH SOLICITORS LIMITED,1,0,18,42,61
AMPHLETT LISSIMORE,0,0,4,56,60
DOUGLAS WEMYSS LLP,0,0,3,57,60
E J WINTER & SON,0,0,37,23,60
SPRATT ENDICOTT,0,0,11,49,60
CHATTERTONS (INC CHATTERTONS MCKINNELLS),1,0,20,38,59
HARRISON CLARK RICKERBYS,1,0,11,47,59
JOHN M LEWIS,0,1,4,54,59
Nigel Broadhead Mynard,2,0,9,48,59
THE COMPTON GROUP,0,0,45,14,59
GREEN WRIGHT CHALTON ANNIS,0,0,6,52,58
Harding Evans LLP,0,0,4,54,58
IRWIN MITCHELL,1,0,10,47,58
SIMPSON MILLAR LLP,0,0,4,54,58
TROWERS & HAMLINS,1,0,17,40,58
ANDREW & ANDREW,1,1,0,55,57
ANGEL WILKINS LLP,0,1,11,45,57
HARRISON'S SOLICITORS (READING),1,0,4,52,57
LEADENHALL LAW GROUP LTD,0,0,2,55,57
MFG Solicitors,0,0,10,47,57
MORTONS,0,1,3,53,57
TBD LEGAL LIMITED,1,0,2,54,57
Thackray Williams,0,0,22,35,57
CAMPIONS SOLICITORS (NOTTINGHAM),1,0,4,51,56
FRASER DAWBARNS SOLICITORS,2,0,19,35,56
Awdry Bailey & Douglas,1,0,9,45,55
CLARKE WILLMOTT,1,0,14,40,55
EMIN READ SOLICITORS,0,0,5,50,55
FOSTERS,0,0,6,49,55
FRASER BROWN,0,0,17,38,55
LANGLEY WELLINGTON,0,0,18,37,55
Lockings,4,0,5,46,55
MASON BAGGOTT & GARTON,1,0,2,52,55
SEATONS,1,0,6,48,55
SWIFT LAWYERS LIMITED,0,0,1,54,55
TEES,0,0,18,37,55
BRIGHT (SOUTH WEST) LLP,2,0,26,26,54
ROTHERA SHARP,3,0,6,45,54
STIRLING ACKROYD LEGAL,0,2,2,50,54
THE RINGROSE LAW GROUP,1,0,10,43,54
WOMBLE BOND DICKINSON,1,0,33,20,54
ELLIS JONES,1,2,10,40,53
Forster Dean Ltd,1,0,5,47,53
FOYS SOLICITORS,1,0,7,45,53
FREERS ASKEW BUNTING SOLS LTD,0,0,6,47,53
LAW & LAWYERS SOLICITORS,0,0,4,49,53
PARKINSON WRIGHT LLP,0,0,1,52,53
Browns Solicitors,2,1,10,39,52
DEE AND GRIFFIN,1,0,7,44,52
Gordons LLP,0,0,23,29,52
HCB SOLICITORS,1,0,6,45,52
WALDRONS,0,0,5,47,52
WEST COAST CONVEYANCING,0,0,6,46,52
EMSLEYS,0,0,34,17,51
JCP SOLICITORS LIMITED (INC VJG JOHNS & SON),1,0,7,43,51
JUDGE & PRIESTLEY,0,0,3,48,51
RONALD FLETCHER BAKER LLP,0,0,2,49,51
TOLHURST & FISHER,1,0,6,44,51
WATSON WOODHOUSE,0,0,5,46,51
WOSSKOW BROWN,2,0,8,41,51
Anthony Collins,0,0,42,8,50
DICKINSON WOOD,0,0,1,49,50
GILBERT STEPHENS SOLICITORS,0,0,10,40,50
MICHELMORES LLP,2,0,15,33,50
R A W CLARK & CO,1,0,14,35,50
RED KITE LAW,2,0,13,35,50
THOMAS & THOMAS SOLICITORS LTD,0,0,2,48,50
VINCENTS SOLICITORS,1,0,5,44,50
WILSONS SOLICITORS (LEEDS),1,0,1,48,50
AST HAMPSONS,0,0,26,23,49
BARCAN & KIRBY LLP,0,0,9,40,49
BLACKHURST BUDD LIMITED,0,0,3,46,49
HSR LAW,0,0,4,45,49
NELSONS SOLICITORS LLP,0,0,4,45,49
NEWTONS SOLICITORS LTD,2,0,12,35,49
Ward Hadaway,2,0,28,19,49
FORBES SOLICITORS,0,0,29,19,48
TLT LLP,0,0,2,46,48
WARDS,3,0,33,12,48
