Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Mar-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
AMANDA SHAW SOLICITORS,0,0,2,20,22
APEX LAW LLP,0,0,0,22,22
CONVEYANCING EXPERT LIMITED,0,0,0,22,22
EMMERSONS SOLICITORS,0,0,2,20,22
ENDWOOD LIMITED,0,0,16,6,22
FOOTNER & EWING,1,0,3,18,22
FORMBY LAW LIMITED,1,0,11,10,22
FUNNELL & PERRING,0,0,2,20,22
GLP SOLICITORS,0,0,2,20,22
GODDARD DUNBAR ASSOCIATES,0,0,2,20,22
GOODLAW SOLICITORS,0,1,3,18,22
HAROLD BENJAMIN,0,0,1,21,22
HAWORTH & GALLAGHER,0,0,1,21,22
HCB BERRY & BERRY LTD,0,0,4,18,22
HILL DICKINSON,0,0,4,18,22
HOLDEN SMITH LAW LIMITED,0,0,3,19,22
HOWARD KENNEDY FSI,0,0,3,19,22
MICHAEL LEIGHTON JONES,1,0,2,19,22
NB LAW,1,0,9,12,22
Patterson Glenton & Stracey,0,0,1,21,22
PCB SOLICITORS,1,0,2,19,22
PRINCE EVANS,0,1,0,21,22
SO LEGAL LIMITED,0,1,1,20,22
THOMSON HAYTON WINKLEY,0,0,5,17,22
TMJ LEGAL SERVICES LLP,1,0,2,19,22
Valentine Conveyancers Limited,1,0,5,16,22
WINTERBOTHAM SMITH PENLEY (WSP),1,0,8,13,22
ATTWATERS JAMESON HILL SOLICITORS,1,0,1,19,21
BENDALL & SONS,0,0,1,20,21
BOWSER OLLARD & BENTLEY LIMITED T/A BOWSERS,1,0,3,17,21
BRYAN & MERCER,0,1,10,10,21
BUSS MURTON LAW LLP SOLICITORS,1,0,3,17,21
CATTERALLS,1,0,3,17,21
CLEGGS,0,0,12,9,21
CONNELLEY & COMPANY,0,0,1,20,21
COWLING SWIFT & KITCHIN,0,0,3,18,21
DEAN WILSON LAING,0,0,1,20,21
DICKINSON PARKER HILL & SON,1,0,4,16,21
DOOTSONS LLP,0,0,5,16,21
DOWNS SOLICITORS LLP,0,1,3,17,21
GOODCHILD VIZARD & SMART,0,0,0,21,21
HART FORD SOLICITORS LIMITED,0,0,1,20,21
HEK JONES SOLICITORS,0,0,2,19,21
HESELTINE BRAY & WELSH,0,0,5,16,21
HSK SOLICITORS LLP,0,0,4,17,21
KHAN MATHER LIMITED,0,0,2,19,21
KINGSWELL WATTS,0,0,4,17,21
MARSDENS SOLICITORS,0,0,1,20,21
MERRITT & CO,0,0,6,15,21
Phillips,0,0,2,19,21
SILVERDALE SOLICITORS,0,0,2,19,21
SOLOMON TAYLOR SHAW,0,0,0,21,21
THOMAS HORTON LLP,0,0,1,20,21
THOMSON & BANCKS LLP,0,0,1,20,21
THOMSON WEBB & CORFIELD,0,0,6,15,21
TUDOR OWEN ROBERTS GLYNNE & CO,1,0,1,19,21
WARNERS LAW LLP,0,0,3,18,21
ADAM LEDGER PROPERTY LAWYERS LTD,0,0,1,19,20
ASPINALL WRIGHT,0,0,7,13,20
BES LEGAL LIMITED,0,0,0,20,20
BOWCOCK & PURSAILL,1,0,0,19,20
BURNESS PAULL LLP,0,0,0,20,20
CHARLTONS SOLICITORS,1,0,1,18,20
CLAPHAM & COLLINGE,0,0,6,14,20
CLARK WILLIS SOLICITORS,0,0,2,18,20
COHEN FILIPPINI SOLICITORS,1,0,15,4,20
COOPERBURNETT,0,0,2,18,20
CS CONVEYANCING,0,0,8,12,20
DEO VOLENTE LEGAL LLP,0,0,1,19,20
DIXON RIGBY KEOGH,0,0,5,15,20
DONALD RACE & NEWTON,2,0,1,17,20
FRETTENS SOLICITORS,0,0,1,19,20
GABBS SOLICITORS,0,0,8,12,20
GEORGE IDE SOLICITORS,0,0,14,6,20
GOWLINGS SOLICITORS,1,0,2,17,20
HADAWAY & HADAWAY,0,0,2,18,20
HAMERS SOLICITORS LLP,0,0,1,19,20
HART BROWN,1,0,2,17,20
HOLT & LONGWORTH,0,0,2,18,20
IDICULLA SOLICITORS,0,0,0,20,20
KIDD & SPOOR,0,0,1,19,20
LANGLEYS,0,0,3,17,20
MAGDALENE HAYWOOD T/A KEYSTONE LAW,0,0,5,15,20
MKB SOLICITORS LLP (AKA MILLS KEMP AND BROWN),1,0,1,18,20
MOGERS DREWETT LLP,0,0,2,18,20
MYERS SOLICITORS LIMITED,3,0,4,13,20
Nantes,1,0,2,17,20
Nash & Co Solicitors LLP,0,0,3,17,20
NORMAN H BARNETT,0,0,1,19,20
PA Todd & Company,0,0,2,18,20
ROBERTS & SMITH,2,0,1,17,20
ROLAND ROBINSONS & FENTONS,1,0,1,18,20
THE WILKES PARTNERSHIP,0,0,5,15,20
VICARAGE COURT SOLICITORS LTD,0,1,3,16,20
VINCENT & CO,0,0,0,20,20
WILLANS LLP,0,0,1,19,20
WOOLLISCROFTS,0,0,2,18,20
BEETON EDWARDS LLP,0,0,0,19,19
BLACKETT HART & PRATT,1,0,3,15,19
BLACKHURST SWAINSON GOODIER,0,0,1,18,19
BRIGHOUSE WOLFF,0,0,1,18,19
CLIFFORD JOHNSTON & CO,0,0,0,19,19
DAVID & SNAPE,1,0,0,18,19
DORLING COTTRELL LTD T/A D C LAW,0,0,0,19,19
EWART PRICE,2,0,3,14,19
FIELDFISHER LLP,0,0,4,15,19
FONSECALAW LIMITED T/A FONSECA PARTNERS,0,0,0,19,19
George Green LLP,0,0,3,16,19
GRAEME JOHN & PARTNERS,1,0,4,14,19
GUNNERCOOKE LLP,0,0,1,18,19
HERBERT SMITH FREEHILLS LLP,0,0,0,19,19
HINE DOWNING LLP,0,0,3,16,19
HS LAWYERS LIMITED,0,0,2,17,19
HT LEGAL LIMITED,0,0,0,19,19
HUGGINS LEWIS FOSKETT,0,0,8,11,19
HUGHES PADDISON,0,1,2,16,19
HUNT & COOMBS LLP,1,0,3,15,19
J P GOLDMAN LIMITED,1,0,0,18,19
JOSIAH HINCKS,0,0,3,16,19
JUNO PROPERTY LAWYERS LIMITED,0,0,0,19,19
KEY LEGAL (NORTH EAST) LIMITED,0,0,1,18,19
LUPTON FAWCETT DENISON TILL,2,0,1,16,19
MACKENZIE JONES SOLICITORS LTD,0,0,1,18,19
MEIKLES SOLICITORS,0,0,3,16,19
METCALFE DAVID EYRES,0,0,0,19,19
MORLEY BROWN & CO,1,0,5,13,19
PEPPERELLS SOLICITORS,0,0,1,18,19
Peter Peter & Wright,0,0,4,15,19
R GORDON ROBERTS LAURIE & CO,2,0,3,14,19
T M FORTIS SOLICITORS,1,0,0,18,19
THE ERIC WHITEHEAD PARTNERSHIP,1,0,3,15,19
THORPE & CO SOLICITORS,0,0,2,17,19
VEITCH PENNY,0,0,2,17,19
WALKER & CO,0,0,5,14,19
WARE & KAY LLP,1,0,2,16,19
WEIGHTMANS LLP,0,0,1,18,19
WHISKERS,0,0,1,18,19
XZYLON MANAGEMENT LIMITED,0,0,0,19,19
ALCOCK GRIMDITCH & RIGLEY,0,0,2,16,18
ALEXANDER JLO,0,0,5,13,18
ALSTERS KELLEY,0,0,4,14,18
ANDREW GORDON & CO,0,0,7,11,18
APEX ABS LIMITED,0,0,0,18,18
AQUABRIDGE LAW,0,0,6,12,18
ARCHER RUSBY LLP SOLICITORS,0,0,2,16,18
ASHLEY JAMES SOLICITORS,0,0,0,18,18
ATKINS THOMSON LIMITED,0,0,7,11,18
Barr Ellison,0,0,6,12,18
BENNETT OAKLEY & PARTNERS,0,1,2,15,18
BLYTHE LIGGINS,0,0,3,15,18
Bonallack & Bishop,1,0,4,13,18
BOWLING & CO,0,0,2,16,18
Bradbury Roberts & Raby,0,0,5,13,18
BREESE-GWYNDAF,0,0,3,15,18
BRINDLEY TWIST TAFFT & JAMES,0,0,2,16,18
BURTONS SOLICITORS,0,0,0,18,18
COLLINGS SOLICITORS,1,0,0,17,18
COMPLETE CONVEY LIMITED,0,0,3,15,18
COPLEYS,0,0,5,13,18
David Barney & Co,0,0,0,18,18
DENTONS UKMEA LLP,0,0,0,18,18
DF LEGAL LLP,1,0,4,13,18
DIXON STEWART,0,0,6,12,18
DOUBLE & MEGSON,0,0,3,15,18
EVERETT TOMLIN LLOYD & PRATT,0,0,0,18,18
FAIRSTEP SOLICITORS,0,0,1,17,18
FORSHAWS LLP NOW FORSHAWS DAVIES RIDGWAY LLP,0,0,7,11,18
Gudgeons Prentice,0,0,0,18,18
HEYMAN & CO,1,0,1,16,18
ILIFFES BOOTH BENNETT (IBB),0,0,1,17,18
KAULDHAR & CO,0,0,0,18,18
LAURUS LAW LIMITED,0,2,0,16,18
LAWYERS INCORPORATED LIMITED,0,0,0,18,18
LEE BOLTON MONIER-WILLIAMS,3,2,1,12,18
MARSHALLS,0,0,3,15,18
MCKENZIE BELL,0,0,2,16,18
NATIONAL LAW PARTNERS LIMITED,0,0,1,17,18
NICHOLS MARCY DAWSON,0,0,4,14,18
OLA LESLIE SOLICITORS,0,0,2,16,18
RICHARDSONS PROPERTY LAWYERS,0,0,1,17,18
RUBIN LEWIS O'BRIEN,0,0,1,17,18
SIAN THOMAS & DAUGHTER,0,0,5,13,18
STILWELL & SINGLETON,0,0,2,16,18
STONE ROWE BREWER,0,0,0,18,18
TEMPERLEY TAYLOR,0,0,1,17,18
THE SETHI PARTNERSHIP,0,0,0,18,18
THIRSK WINTON LLP,0,0,1,17,18
THIRTEEN HOUSING GROUP LIMITED,0,0,18,0,18
TIMMS,0,0,4,14,18
TWOMLOWS,0,0,5,13,18
WAKEFIELD & DISTRICT HOUSING LTD,0,0,18,0,18
WHEELERS LLP,0,0,1,17,18
WPF GLASNER GERBER SHAPIRO,0,0,0,18,18
ABSOLUTE CONVEYANCING LIMITED,0,0,3,14,17
ADAMS HARRISON,1,0,2,14,17
ALDRIDGE BROWNLEE,0,0,3,14,17
ARCHERS LAW LLP,0,0,5,12,17
AVANT HOMES LIMITED,0,0,0,17,17
BENDLES,0,0,6,11,17
BERLAD GRAHAM LLP,0,0,2,15,17
BERRY & BERRY LLP,0,0,4,13,17
BGW LAW LIMITED,1,0,7,9,17
BUTTERS DAVID GREY & CO,0,0,1,16,17
CAMERON JONES HUSSELL & HOWE,0,0,3,14,17
CHAMBERS FLETCHER LLP,1,0,2,14,17
CHARLES STRACHAN SOLICITORS LTD,0,0,1,16,17
COMPTONS,0,0,1,16,17
DAVID EBERT,0,1,0,16,17
FIELD SEYMOUR PARKES,0,0,5,12,17
FORRESTER SYLVESTER  MACKETT,0,0,4,13,17
GOUGHS,1,0,3,13,17
Hallmarkhulme Solicitors,1,1,4,11,17
HANSELLS SOLICITORS,0,0,4,13,17
HAYES & STORR,0,0,2,15,17
Higgs & Sons,1,0,4,12,17
HORNE ENGALL & FREEMAN,0,0,1,16,17
HOWELL JONES LLP,0,0,0,17,17
JACKAMAN SMITH & MULLEY,1,1,1,14,17
JAMESONS CONVEYANCING LIMITED,2,0,2,13,17
JOHN DONKIN & CO,0,0,0,17,17
JORDANS (DEWSBURY),0,0,4,13,17
LARCOMES,0,0,2,15,17
LAW & PROPERTY LLP T/A SLADE SON & TAYLOR,0,0,2,15,17
LETS MOVE CONVEYANCING LIMITED,0,0,4,13,17
MICHAEL ROSE & BAYLIS LIMITED,0,0,1,16,17
MOSSOP & BOWSER,0,0,3,14,17
NORTH AINLEY,0,0,2,15,17
OGDEN LYLES & FOX,0,0,4,13,17
OLDHAM MARSH PAGE FLAVELL,1,0,3,13,17
PAUL FINN SOLICITORS,0,0,3,14,17
PERSIMMON (NORTHERN REGION - YORK OFFICE),0,0,2,15,17
PETER BREARLEY LIMITED,1,0,2,14,17
SINTONS LLP,0,0,10,7,17
STARKIE & GREGORY,1,0,2,14,17
SUSSEX LAW SOLICITORS,0,1,0,16,17
TAYLOR WIMPEY UK LTD  (MIDLANDS),0,0,7,10,17
TUBBS & CO,0,0,0,17,17
WALKER AND CO,0,0,3,14,17
WALL JAMES CHAPPELL,1,1,1,14,17
WOODFORDS,0,0,0,17,17
ABERAVON LAWYERS LIMITED TRADING AS KEVIN LANE,1,0,0,15,16
ADAMS & REMERS,0,0,4,12,16
AGH SOLICITORS,1,0,1,14,16
AUBREY ISAACSON & CO,0,0,0,16,16
BACKHOUSE SOLICITORS,0,0,12,4,16
BARRETT & NELLIGAN,0,0,0,16,16
BEST SOLICITORS,0,0,0,16,16
BISHOP & SEWELL,0,0,2,14,16
Blanchards Bailey LLP,0,0,3,13,16
CARTER VINCENT LLP,0,0,2,14,16
CARTWRIGHT CUNNINGHAM HASELGROVE & CO,0,0,1,15,16
CHRIS STEVENSON SOLICITORS,1,0,1,14,16
COATES SOLICITORS,1,0,3,12,16
DAVID W HARRIS & CO,0,0,5,11,16
DICKINS HOPGOOD CHIDLEY LLP,0,0,2,14,16
DKLM,0,0,0,16,16
DODD AND VAUGHTON,0,0,7,9,16
DONN & CO (SHROPSHIRE) LIMITED,0,0,5,11,16
DP CONVEYANCING,0,0,2,14,16
EVANS & CO,0,0,1,15,16
FARRER & CO,0,0,2,14,16
FINN GLEDHILL & CO,0,0,3,13,16
FISHERS DEWES SOLICITORS,0,0,3,13,16
GRAHAM & ROSEN,0,0,4,12,16
GRAHAME STOWE BATESON,0,0,0,16,16
GUY WILLIAMS LAYTON,0,0,0,16,16
GWYN JAMES & CO,0,0,0,16,16
HARRIS CUFFARO & NICHOLS,0,0,1,15,16
HARVEY COPPING & HARRISON,0,0,4,12,16
HKB WILTSHIRES,0,0,3,13,16
HUMFRYS & SYMONDS,0,0,6,10,16
INDEPENDENT PROPERTY LAWYERS LTD,0,0,1,15,16
J R JONES,1,0,1,14,16
JOHN MORSE SOLICITORS,0,0,3,13,16
Kenneth Elliott & Rowe,0,0,0,16,16
KING LAWES LEGAL,0,0,1,15,16
LAMBE CORNER & CO,1,0,2,13,16
LAYTONS SOLICITORS LLP,0,0,2,14,16
LEWIS LEWIS & CO LTD,0,0,4,12,16
LODDERS LLP,0,0,5,11,16
LUTTONS DUNFORD SOLICITORS,0,0,10,6,16
M C HULLAH LICENSED CONVEYANCER,1,0,4,11,16
MARCHANT HARRIES & CO,0,0,4,12,16
MARK REDLER SOLICITORS LTD,1,0,3,12,16
Martin Elliott,1,0,3,12,16
MICHAEL KELLY & CO,1,0,1,14,16
MILBURNS,1,0,2,13,16
O'NEILL RICHMONDS LAW FIRM LTD,0,0,2,14,16
OXLEY & COWARD,0,0,0,16,16
Parrott & Coales,0,0,5,11,16
PELLYS SOLICITORS LIMITED,0,0,2,14,16
PENMANS SOLICITORS,0,0,2,14,16
PHILIP ROSS & CO,0,0,1,15,16
QUASTEL MIDGEN LLP,0,0,4,12,16
SA LAW INCORPORATING PICKWORTHS,0,0,3,13,16
SAL & CO,0,0,1,15,16
SIMEOUS LTD,1,0,0,15,16
SIMON MERCHANT PROPERTY SOLICITOR,0,0,3,13,16
STOKES SOLICITORS LLP,2,0,0,14,16
STRATFORD SOLICITORS LIMITED,0,0,1,15,16
STREATHERS HIGHGATE LLP,0,0,1,15,16
THE ASSOCIATE LAW FIRM,0,0,1,15,16
THE LAW PARTNERSHIP SOLICITORS,4,0,0,12,16
TRUEMANS,0,0,3,13,16
WEDLAKE BELL,0,0,2,14,16
ABACUS SOLICITORS,0,0,1,14,15
ACS SOLICITORS,0,0,4,11,15
ADAM DOUGLAS & SON,0,0,2,13,15
ADVANTAGE LAW LIMITED,0,0,3,12,15
ALWENA JONES & JONES,0,0,2,13,15
APEX ABS LIMITED,0,0,1,14,15
ATHI LAW LLP,1,0,1,13,15
BAILEY SMAILES,0,0,2,13,15
BARTONS,0,0,2,13,15
BARWELLS,0,0,0,15,15
BAWTREE & SONS,0,0,1,14,15
BERENSENS LLP,0,0,6,9,15
BIRKETT LONG LLP,0,0,2,13,15
BOLT BURDON,0,0,1,14,15
BRECHER,0,0,1,14,15
Buckles Solicitors LLP,0,0,2,13,15
BURD WARD,1,0,1,13,15
CHETTY & PATEL,1,0,1,13,15
CYGNET FAMILY LAW,0,0,5,10,15
DEXTER MONTAGUE LLP,0,0,1,14,15
DLA PIPER UK LLP,0,0,5,10,15
EARL & CROCKER,0,0,2,13,15
ELVIN & CO,0,0,1,14,15
FARNWORTH ROSE SOLICITORS,0,0,1,14,15
FLADGATE LLP,0,0,2,13,15
FOORT TAYLER,0,0,4,11,15
FORSTERS LLP,0,0,2,13,15
GIFFEN COUCH & ARCHER,0,0,2,13,15
GLOVERS SOLICITORS LLP,0,1,2,12,15
GOODMAN DERRICK LLP,1,0,2,12,15
GOULD & SWAYNE,0,0,2,13,15
GRAINGER APPLEYARD,0,0,3,12,15
HAROLD STOCK & CO,0,0,1,14,15
HCL HANNE & CO,0,1,0,14,15
HENWOOD TWENTY TWO LIMITED,0,0,3,12,15
HOULDSWORTHS,2,0,2,11,15
HOWELL & CO,2,0,3,10,15
HOWORTH & HOLLINGS,0,0,1,14,15
HRJ FOREMAN LAWS LLP,0,0,2,13,15
JOHN BARKERS,1,1,3,10,15
KEELYS,3,0,2,10,15
LARKEN & CO,0,0,6,9,15
LAWSON LEWIS BLAKERS,0,0,0,15,15
MARKAND & CO,0,0,0,15,15
MILLS & REEVE LLP,0,0,3,12,15
MILNERS SOLICITORS,0,0,1,14,15
MOONEY EVERETT,0,0,0,15,15
MORRISH SOLICITORS LLP,0,0,0,15,15
MS LAW LLP,0,0,1,14,15
MULLIS & PEAKE,0,0,2,13,15
MURRAY HAY,0,0,2,13,15
NEALE TURK,0,0,2,13,15
PARRY CARVER,0,0,6,9,15
PARRY LAW,0,0,0,15,15
RUDLINGS WAKELAM SOLICITORS,0,0,1,14,15
SAVAGE SILK LIMITED,0,0,4,11,15
SMITH & GRAHAM,0,0,2,13,15
Swayne Johnson Limited,0,0,1,14,15
TAYLOR WIMPEY UK LTD (NORTHERN DIVISION),0,0,3,12,15
TEMPLE BRIGHT LLP,1,0,0,14,15
THORNES LEGAL LIMITED,0,0,1,14,15
TITLE TRANSFER PROPERTY LAWYERS,0,0,2,13,15
TONNER JOHNS RATTI LIMITED,1,0,0,14,15
VALERIE HOLMES PROPERTY LAWYER,0,0,2,13,15
VINCENT SOLICITORS,0,0,0,15,15
WACE MORGAN,1,0,5,9,15
AMES KENT SOLICITORS,0,0,4,10,14
BDB PITMANS,0,0,3,11,14
BIRDSALL & SNOWBALL,1,0,0,13,14
BLANDY & BLANDY LLP,0,0,3,11,14
Bone & Payne Ltd,1,0,6,7,14
BRACHERS LLP,0,0,5,9,14
CARPENTER & CO,0,0,6,8,14
CLYDE & CO LLP,0,0,12,2,14
CLYDE CHAPPELL & BOTHAM,0,0,2,12,14
CUFF-GOUGH,0,0,0,14,14
DWF (NORTHERN IRELAND) LLP,0,0,0,14,14
ECCLES HEDDON & CO,0,0,5,9,14
EG LAWLIMITED,1,0,0,13,14
ENOCH EVANS,2,1,2,9,14
Goldsmith Williams,0,0,1,13,14
GOMER WILLIAMS & CO LTD,0,0,1,13,14
GULLANDS,0,0,0,14,14
HAND MORGAN & OWEN,0,0,0,14,14
HATCH BRENNER LLP,0,0,1,13,14
HATHAWAYS,0,0,2,12,14
HODDERS LAW LIMITED,0,0,2,12,14
J A TAFT CONVEYANCING,0,0,1,13,14
JACKSON BARRETT & GASS,0,0,7,7,14
KNAPMAN & CO,1,0,0,13,14
LAYZELLS,0,1,0,13,14
LB OF BRENT,0,0,0,14,14
LITTLESTONE COWAN SOLICITORS,0,0,3,11,14
LLYS CENNEN SOLICITORS,0,0,4,10,14
LYNCH HALL & HORNBY,0,0,2,12,14
Mander Hadley & Co,0,0,2,12,14
MINAHAN HIRST & CO LIMITED,0,0,0,14,14
MUNDAYS,0,0,1,13,14
NICHOLLS BRIMBLE BHOL,0,0,1,13,14
OKELLS WITH FRANCISLAW LLP,1,0,4,9,14
OWEN WHITE & CATLIN,0,0,1,13,14
PARDOES,1,0,3,10,14
PARKER BULLEN,1,0,0,13,14
PRICE & KELWAY,1,0,1,12,14
RM LEGAL SOLICITORS,1,0,0,13,14
ROBERT BARBER & SONS,0,0,3,11,14
RYAN PROPERTY LAW LLP,0,0,0,14,14
SAMPSON COWARD,0,0,1,13,14
SCAIFF LLP,1,0,4,9,14
SHARMAN AND SON SOLICITORS,0,0,0,14,14
SMALLEYS SOLCITORS LTD,1,0,0,13,14
STANDLEY & CO,0,0,2,12,14
STEPHENSONS (BRIERLEY HILL/WOLVERHAMPTON),0,0,0,14,14
TAYLOR WIMPEY UK LTD (EAST DIVISION),0,0,0,14,14
TERENCE WILLEY & CO,1,0,1,12,14
THATCHER & HALLAM,1,0,2,11,14
THE MIAH SOLICITORS LTD,1,0,0,13,14
THURSTAN HOSKIN SOLICITORS LLP,1,0,4,9,14
TUSTAIN JONES & CO,0,0,0,14,14
VICEROY LAW LIMITED,0,0,2,12,14
W H MATTHEWS & CO,0,0,0,14,14
WALTERS & BARBARY,1,0,2,11,14
WHEN YOU MOVE LIMITED,0,0,1,13,14
WILLIAMSONS CRAIG LLP,0,0,1,13,14
WOODLAND ROTHBURY JESSEL SOLS LTD,0,0,1,13,14
WRIGLEY CLAYDON,0,0,2,12,14
ACONVEYANCING LIMITED,1,0,5,7,13
ANDREW JACOBS CONVEYANCING,0,0,1,12,13
ASHLEY WILSON SOLICTORS,0,0,1,12,13
ASTLE PATERSON LTD,0,0,3,10,13
BANNISTER BATES CONVEYANCING,0,0,2,11,13
BARKER GOTELEE,1,0,1,11,13
BATE & ALBON LIMITED,0,0,4,9,13
BERMANS LLP,0,0,0,13,13
BLAIN BOLAND & THOMAS LTD,0,0,2,11,13
BROMETS JACKSON HEATH LLP,0,0,4,9,13
CADMANS (INC CLOUGH SON & MORTON),1,0,1,11,13
CHARLES NEWTON & CO,1,0,2,10,13
CLARKE MAIRS LLP,1,0,6,6,13
COOPER NIMMO,0,0,2,11,13
COOPER SONS HARTLEY & WILLIAMS LLP,1,0,1,11,13
Cyril Jones & Co,1,0,2,10,13
DILWYNS,0,0,2,11,13
EMW LAW LLP,1,0,6,6,13
ERIC H SMITH,0,0,1,12,13
FRISBY & SMALL LLP,0,0,1,12,13
GELLHORNS,0,0,1,12,13
GILL TURNER TUCKER,0,0,2,11,13
GRAHAM SMITH PROPERTY LAWYERS,0,0,2,11,13
Greene & Greene,0,0,7,6,13
HARRIS & HARRIS LEGAL SERVICES LLP,0,0,3,10,13
HARROWELL & ATKINS,0,0,1,12,13
HART READE SOLICITORS,0,1,0,12,13
HECKFORD NORTON & CO,1,0,3,9,13
HEPPENSTALLS,0,0,1,12,13
HODSON PARSONS JAMES & VAUX,0,0,2,11,13
HOPLEYS GMA,1,0,0,12,13
HORWOOD & JAMES,0,0,3,10,13
HOWARD & CO SOLICITORS,1,0,6,6,13
JENNINGS PERKS & CO,0,0,1,12,13
JEPSON LONGSTAFF MIDGLEY SOLS LLP,0,0,2,11,13
KENDALL & DAVIES,0,0,4,9,13
KNIGHT POLSON,1,0,3,9,13
LONGMORES SOLICITORS,0,0,1,12,13
MARSHALL HATCHICK,1,0,4,8,13
MASKERY AND CO,0,0,0,13,13
MICHELLE O'SHEA,0,0,1,12,13
MILNE MOSER,0,0,3,10,13
MORGAN ELIS LIMITED,0,0,4,9,13
MORRISONS,0,1,0,12,13
NICHOLSON & MORGAN (INC BLACKETT & CO),0,0,2,11,13
NOWELL MELLER SOLICITORS,0,0,0,13,13
O'HARAS SOLICITORS,0,0,1,12,13
OPEN LAW LIMITED,0,0,1,12,13
OPTIMA LEGAL SERIVICES,0,0,0,13,13
PETER BROWN & CO,0,0,0,13,13
PROWSE THOMAS & CO,0,0,0,13,13
SMITH & CO SOLICITORS,0,0,0,13,13
SPECTOR CONSTANT & WILLIAMS LTD,0,0,0,13,13
STREATHERS SOLICITORS LLP,0,0,1,12,13
TALBOT WALKER LLP,0,0,0,13,13
TBP LEGAL LIMITED,0,0,2,11,13
THE HEAD PARTNERSHIP SOLICITORS LL,0,0,1,12,13
VANDERPUMP & SYKES LLP,1,0,4,8,13
VYMAN SOLICITORS LIMITED,0,0,2,11,13
WARNERS,0,0,2,11,13
WINSTON SOLICITORS LLP,0,0,0,13,13
AA SOLICITORS LTD,0,0,0,12,12
ATKINSON BLACKLEDGE WARINGS,0,0,2,10,12
AUSTIN EDWARDS SOLICITORS,0,0,0,12,12
BASSETS SOLICITORS,0,0,3,9,12
BEACON WEALTH LEGAL LIMITED,0,0,0,12,12
BOODLE HATFIELD,0,0,1,11,12
BOULTER & COMPANY,0,0,2,10,12
BRIDGERS LAW LIMITED,0,0,0,12,12
BROCKBANK CURWEN CAIN & HALL,0,0,2,10,12
C G M CHARTAHOUSE BLATCH,0,0,0,12,12
CASTLE SANDERSON,0,0,0,12,12
CROMPTON HALLIWELL,1,0,0,11,12
CYRIL MORRIS ARKWRIGHT & CO,1,0,2,9,12
DAVIS BLANK FURNISS,1,0,4,7,12
Davitt Jones & Bould Limited,0,0,6,6,12
DONNELLY & ELLIOTT LIMITED,0,0,2,10,12
EVANS HARVEY LTD,0,0,0,12,12
FDC LAW,0,0,2,10,12
FERGUSON BRICKNELL & CO,0,0,4,8,12
FIELDINGS PORTER,0,0,1,11,12
G & I Chisholm,0,0,4,8,12
GARNET WILSON CONVEYANCING,0,1,2,9,12
GRAND UK LAND LIMITED,0,0,10,2,12
GS SOLICITORS,0,0,0,12,12
Harold G Walker Solictors,1,0,0,11,12
HOOPER BURROWES LEGAL,0,0,3,9,12
JANET SINDEN & CO,0,0,0,12,12
Jeromes,1,0,1,10,12
KENNAN DOYLE SOLICITORS LIMITED,1,0,2,9,12
LAND GRAHAM PARTNERSHIP LLP,0,0,3,9,12
LAW LANE SOLICITORS,0,0,2,10,12
LLOYDS & COOPER,1,0,7,4,12
LONGDEN WALKER & RENNEY,0,0,1,11,12
LOXLEY SOLICITORS LIMITED,1,0,1,10,12
LUNDYS,0,0,4,8,12
MAY SOLICITORS LIMITED,0,0,1,11,12
MCCLOY LEGAL,0,0,4,8,12
MOSELEY CHAPMAN & SKEMP SOLICITORS,0,0,1,11,12
MRP CAPRON,0,0,0,12,12
MUNDYS,1,0,2,9,12
NELSON MYATT SOLICITORS LLP,0,0,4,8,12
NETHER EDGE,0,0,10,2,12
NOBLE HARBOUR SOLICITORS,0,0,0,12,12
PENNINE LAW,1,0,3,8,12
PLATT & FISHWICK,0,0,0,12,12
QUALITY CONVEYANCING LTD,0,0,1,11,12
QUINN & CO,0,0,4,8,12
R & B LEGAL LIMITED,0,0,1,11,12
R N WILLIAMS & CO,0,0,1,11,12
RAY BORLEY & DUNKLEY,0,0,0,12,12
RICHMOND ANDERSON & GOUDIE,0,0,0,12,12
RJM SOLICITORS,1,0,1,10,12
ROWBERRY MORRIS,0,0,2,10,12
SHARMAN LAW,0,0,4,8,12
SHARRATTS (LONDON) SOLICITORS,0,0,11,1,12
SHERRARDS,0,0,1,11,12
SILKS,0,0,4,8,12
SPOOR & CO,0,0,1,11,12
ST HELENS LAW LIMITED,0,0,1,11,12
STORRAR COWDRY,0,0,1,11,12
THE GPT LAW PRACTICE SOLICITORS,0,1,1,10,12
THE WARING PARTNERSHIP LLP,1,0,0,11,12
WALLACE ROBINSON & MORGAN,0,0,2,10,12
WATSONS LAW LLP,0,0,4,8,12
WATSONS SOLICITORS,1,0,0,11,12
WHITTINGHAMS,0,0,1,11,12
WISEMAN LEE,0,0,1,11,12
WORTHINGTONS,0,0,3,9,12
ACTONS,0,0,3,8,11
ANDERSON ROWNTREE LLP,0,0,0,11,11
ANTHONY STOCKTON,0,0,3,8,11
ANTHONY WALTERS & CO,0,0,0,11,11
ASB LAW,0,0,3,8,11
ATHERTON GODFREY SOLICITORS,0,0,3,8,11
BARBARA JACOBS & CO,1,0,0,10,11
BEERS LLP,0,0,0,11,11
BOND ADAMS LLP,0,0,3,8,11
