Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Apr-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
GLOVER PRIEST SOLICITORS LIMITED,1,2,1,10,169,2,35,0,2,194,84,500
HAMMERSMITH & FULHAM L B,0,0,0,0,0,0,0,0,0,18,482,500
ASHURST LLP,1,0,0,0,65,2,20,0,12,344,55,499
BERRY SMITH LLP,0,0,0,5,180,1,3,0,4,210,95,498
COOK TAYLOR WOODHOUSE,0,4,0,7,124,6,58,0,1,208,90,498
STAR LEGAL LLP,1,0,0,7,77,1,31,0,7,262,109,495
MFG Solicitors,0,0,2,4,47,0,22,0,9,281,128,493
VEALE WASBROUGH VIZARDS,0,1,0,5,38,1,7,0,15,339,85,491
SHENSTONE PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,79,409,488
BISHOP & SEWELL,0,4,0,8,36,0,12,0,1,297,127,485
CONVEY LAW LIMITED,1,1,0,3,186,3,32,0,1,188,70,485
THOMSON SNELL & PASSMORE,0,1,0,5,78,1,39,0,31,248,82,485
PIRIE PALMANN LIMITED,1,0,0,1,147,0,42,0,26,155,111,483
C B RICHARD ELLIS LTD,0,0,0,0,0,0,0,0,0,213,269,482
BOING RAPID SECURE LIMITED,0,0,0,0,0,0,0,0,0,481,0,481
THE GUINNESS PARTNERSHIP LIMITED,0,0,0,0,0,0,0,0,0,351,129,480
BRACHERS LLP,0,0,0,4,11,0,8,0,6,400,50,479
LEGAL AND CONTINGENCY LTD,0,0,0,0,0,0,0,0,0,373,104,477
WATSON RAMSBOTTOM,1,2,1,8,80,0,147,0,0,152,86,477
SCHOFIELD SWEENEY LLP,0,0,1,5,91,0,15,0,3,250,106,471
GUNNERCOOKE LLP,0,0,0,1,52,6,29,0,16,266,100,470
INSOLVENCY SERVICE (THE),0,0,0,136,0,0,0,0,0,305,27,468
MAYO WYNNE BAXTER,0,0,1,12,51,0,14,0,7,278,105,468
BANNISTER PRESTON,0,0,2,5,77,0,117,0,3,166,97,467
BPL Solicitors,0,0,0,6,128,0,29,0,7,206,91,467
PURE LAW LLP,0,0,1,85,262,12,46,0,3,42,12,463
COFFIN MEW LLP,0,2,0,3,54,0,140,0,5,170,88,462
NATIONAL CRIME AGENCY,0,0,0,0,0,0,0,0,0,434,25,459
VIRGIN MEDIA,0,0,0,0,0,0,0,0,0,455,0,455
THE AGRICULTURAL MORTGAGE CORP PLC,0,0,0,33,152,0,0,0,0,253,16,454
LEEDS CITY COUNCIL,0,0,0,0,4,0,5,0,6,355,78,448
WEDLAKE BELL,0,1,0,1,53,0,7,0,13,274,95,444
MOOREBLATCH,0,2,1,9,46,0,21,0,13,253,96,441
MCMILLAN WILLIAMS,0,2,0,8,0,3,1,0,8,328,90,440
WARDS,1,0,0,6,42,0,57,0,4,252,75,437
BUSINESS ENERGY SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,434,0,434
KINLEIGH FOLKARD & HAYWARD,0,0,0,0,0,0,0,0,0,398,36,434
THE DISPUTE SERVICE LIMITED,0,0,0,0,0,0,0,0,0,433,0,433
HOWES PERCIVAL,0,0,0,6,20,0,24,0,20,305,56,431
MOON BEEVER,0,1,0,1,1,0,2,0,0,418,8,431
WITHERS LLP,0,0,0,1,32,0,4,0,18,271,105,431
FLADGATE LLP,0,0,0,1,49,0,14,0,7,301,53,425
SAS DANIELS,0,4,2,6,114,0,34,0,7,171,86,424
SEDDONS,0,1,1,1,111,7,20,0,28,186,68,423
SPRATT ENDICOTT,0,0,0,0,57,0,37,0,9,233,85,421
THRINGS LLP,0,1,1,4,27,1,20,0,14,266,85,419
RAWLINSON & HUNTER,0,0,0,0,0,0,0,0,0,408,9,417
J S LAW,0,0,1,3,246,0,43,0,2,71,50,416
UNITED TRUST BANK LTD,0,0,0,0,0,0,0,0,0,415,1,416
LAND SEARCH SERVICE LIMITED,0,0,0,0,0,0,0,0,0,370,45,415
OAKNORTH BANK PLC,0,0,0,0,0,0,0,0,0,413,2,415
MACINTYRE HUDSON LLP,0,0,0,0,0,0,0,0,0,412,2,414
DAVIES & PARTNERS,0,0,2,3,33,0,80,0,6,196,93,413
KEY CONVEYANCING,0,0,0,2,69,0,145,0,3,120,72,411
Taylor Wessing LLP,0,5,0,5,47,0,13,0,15,251,72,408
