Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
ACCORD MORTGAGES LIMITED,0,0,0,900,0,0,0,0,0,53,2,955
BNP PARIBAS LEASING SOLUTIONS LIMITED,0,0,0,0,0,0,0,0,0,841,111,952
MISHCON DE REYA,0,7,1,113,30,1,98,0,6,584,106,946
RUSSELL-COOKE LLP,2,31,2,144,74,0,11,0,11,522,149,946
Ward Hadaway,0,8,17,133,57,0,27,0,55,511,134,942
ABERDEIN CONSIDINE & COMPANY,0,0,0,351,221,23,1,0,0,303,42,941
ELLIOT MATHER LLP,3,9,23,242,102,0,36,0,16,351,155,937
GREEN WRIGHT CHALTON ANNIS,1,6,4,140,102,0,8,0,8,468,200,937
TAYLOR WALTON,3,16,16,165,133,1,41,0,14,384,164,937
FAIRFAX,0,0,0,336,0,13,0,0,0,565,20,934
WARNER GOODMAN LLP,1,8,9,171,125,0,24,2,9,423,154,926
CONNECT2LAW LTD,0,5,3,126,323,0,19,0,1,316,129,922
HOGAN LOVELLS,0,2,0,73,26,1,3,0,11,673,132,921
Lockings,1,5,8,162,94,0,11,0,10,502,121,914
KIDD RAPINET LLP,1,19,5,129,113,0,38,0,9,421,174,909
VEALE WASBROUGH VIZARDS,4,13,2,111,83,4,28,0,9,499,155,908
THOMSON SNELL & PASSMORE,1,7,6,109,112,7,14,0,54,447,145,902
COFFIN MEW LLP,2,27,57,86,84,0,141,0,5,337,155,894
FIELDFISHER LLP,5,10,3,171,94,1,34,0,24,435,117,894
METROPOLITAN HOUSING TRUST LIMITED,0,0,0,14,0,0,0,0,0,303,577,894
DC LAW,3,15,25,280,146,0,48,0,21,207,144,889
CUNNINGTONS,2,3,10,146,168,1,27,0,10,336,185,888
LESTER ALDRIDGE LLP,0,11,6,237,32,20,5,0,12,502,62,887
COUNTRYWIDE PROPERTY LAWYERS,6,9,28,645,52,1,13,0,1,81,49,885
EMIN READ SOLICITORS,2,23,7,127,139,0,11,0,4,393,179,885
LONDON BOROUGH OF WALTHAM FOREST,3,0,0,6,3,0,0,0,4,823,43,882
CHATTERTONS (INC CHATTERTONS MCKINNELLS),10,3,34,141,107,7,40,0,29,352,158,881
NEWBOLD & CO,1,5,22,158,118,0,39,0,4,387,146,880
CAVENDISH LEGAL GROUP,1,84,4,148,92,0,64,0,0,352,129,874
DEAN WILSON LAING,0,23,3,106,49,2,22,0,7,530,132,874
DMH STALLARD,0,24,8,94,67,0,66,0,19,446,150,874
Poole Alcock LLP,1,10,20,185,138,0,45,0,8,324,142,873
PURE LAW LLP,1,6,3,442,275,18,45,0,6,65,10,871
SPICERHAART LTD,0,0,0,0,0,0,0,0,0,866,3,869
EFFECTIVE HEATING LTD,0,0,0,0,0,0,0,0,0,868,0,868
PARATUS AMC LTD,0,0,0,183,0,0,0,0,0,671,11,865
CLYDE & CO LLP,1,12,3,56,38,0,16,0,26,608,95,855
BURGES SALMON LLP,1,10,1,49,109,1,5,0,6,515,155,852
HOLMES & HILLS,1,8,11,71,69,0,58,0,8,441,181,848
THE CO-OPERATIVE BANK,0,0,0,839,0,0,0,0,0,7,0,846
NATIONAL GRID COMPANY PLC,17,5,2,35,0,0,0,0,0,746,39,844
NALDERS SOLICITORS,5,6,20,125,99,0,41,0,18,354,169,837
SEDDONS,1,15,7,115,89,4,24,0,27,362,193,837
EDWARD HANDS & LEWIS,0,12,18,101,173,0,21,0,5,370,132,832
Anthony Collins,3,17,21,219,13,2,47,0,11,286,212,831
COLES MILLER SOLICITORS LLP,2,26,2,98,58,0,3,0,9,501,131,830
SPIRE SOLICITORS LLP,9,6,22,114,99,0,27,0,51,380,119,827
NORTON PESKETT (QUALITY SOLICITORS),0,2,23,119,112,0,43,0,19,357,151,826
LEGAL & GENERAL HOME FINANCE LTD,0,0,0,68,0,0,0,0,0,755,0,823
FIRST TITLE SERVICES LTD,0,0,0,0,0,0,0,0,0,755,67,822
SLATER HEELIS LLP,2,6,2,90,93,0,11,0,27,419,169,819
WBW LLP TRADING AS WBW SOLICITORS,4,7,13,107,87,0,12,0,9,392,187,818
MICHELMORES LLP,3,10,14,100,124,2,4,0,32,401,126,816
Mincoffs Solicitors LLP,0,10,5,93,139,0,20,0,8,382,157,814
TOLHURST & FISHER,2,12,5,133,77,0,19,0,6,411,143,808
AFFINITY SUTTON HOMES LTD,0,0,0,0,0,0,0,0,0,522,283,805
LWC DRINKS LIMITED,0,0,0,0,0,0,0,0,0,805,0,805
PM LAW LTD,1,9,15,200,184,0,34,0,1,239,120,803
SANCTUARY HOUSING ASSOCIATION,0,0,0,1,10,0,0,0,3,537,252,803
JOHN D WOOD & CO,0,0,0,0,0,0,0,0,0,771,31,802
Taylor Wessing LLP,0,6,0,39,37,0,11,0,5,541,163,802
LANYON BOWDLER,8,10,13,115,66,3,16,0,37,393,139,800
MOOREBLATCH,1,23,6,112,48,0,22,0,15,422,151,800
HYDE HOUSING ASSN CURRENT ACCOUNT,0,0,0,0,0,0,0,0,0,567,228,795
SHAWBROOK ASSET FINANCE T/A,0,0,0,0,0,0,0,0,0,793,0,793
ENDEAVOUR PARTNERSHIP,0,1,0,696,11,0,6,0,0,67,11,792
BOING RAPID SECURE LIMITED,0,0,0,0,0,0,0,0,0,791,0,791
BIRMINGHAM CITY COUNCIL,1,0,0,14,1,0,0,0,73,672,29,790
JANE BROOKS LAW,2,2,14,130,151,0,35,0,11,306,136,787
PREMIER SOLICITORS LLP,1,4,2,117,118,0,16,0,5,385,138,786
Attwells,0,10,6,126,174,0,24,0,7,274,159,780
THE LONDON BOROUGH OF HARROW,0,0,0,24,7,55,1,0,16,585,92,780
BISHOP & SEWELL,0,41,0,100,56,0,18,0,2,411,151,779
SCHOFIELD SWEENEY LLP,3,15,11,107,129,0,29,0,7,354,122,777
STEPHEN RIMMER LLP,0,20,10,182,95,0,12,0,0,304,153,776
ANDREW JOHN HIGLEY,0,0,0,0,0,0,0,0,0,537,238,775
CONVEYANCING DATA SERVICES LTD,0,0,0,0,5,0,1,0,51,715,2,774
STEPHENSON HARWOOD,0,3,1,48,11,6,2,0,15,576,108,770
THRINGS LLP,2,6,8,72,63,0,18,0,21,431,148,769
HEALYS LLP,0,23,5,136,100,2,43,0,2,312,145,768
JONES LANG LASELLE LIMITED,0,0,0,0,1,0,0,0,1,601,164,767
GIGACLEAR PLC,0,0,0,0,0,0,0,0,0,745,16,761
SLEE BLACKWELL,4,3,15,101,91,0,23,0,9,364,148,758
WALDRONS,0,3,14,111,74,0,11,0,3,322,220,758
YVA SOLICITORS LLP,0,23,7,135,59,0,36,0,7,368,121,756
RONALD FLETCHER BAKER LLP,0,29,6,145,150,1,43,0,14,250,114,752
RAWLINSON & HUNTER,0,0,0,0,0,0,0,0,0,734,17,751
PARKINSON WRIGHT LLP,1,10,6,130,91,0,19,0,2,352,136,747
Woodford Stauffer,3,6,6,131,89,0,48,0,4,282,177,746
GORDON BROWN LAW FIRM LLP,5,8,28,89,120,0,52,0,8,293,142,745
OSLER DONEGAN TAYLOR,0,27,3,110,47,0,25,0,1,368,161,742
MSB LAW LLP,2,6,11,107,78,0,97,0,5,337,94,737
SPRATT ENDICOTT,1,13,5,120,90,1,22,0,10,328,146,736
CLYDESDALE BANK PLC,0,0,0,285,0,0,0,0,0,449,1,735
TOZERS LLP,0,10,17,111,115,0,32,0,13,326,108,732
