Organisation Name,Department where exp. Incurred,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Net Amount (£)
Stockport MBC,Services to People,MAGSUBCRIPTIONS COM,Office Expenses,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,13/03/2020,16.04.2020,89.25
Stockport MBC,Services to People,AMAZON PRIME HZ1FD2AC5,Office Expenses,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,12/03/2020,16.04.2020,7.99
Stockport MBC,Services to People,TESCO STORES 3378,Catering Supplies,"GROCERY STORES, SUPERMARKETS",10/03/2020,16.04.2020,72.74
Stockport MBC,Services to People,ASDA STORES 4840,Catering Supplies,"GROCERY STORES, SUPERMARKETS",09/03/2020,16.04.2020,26.03
Stockport MBC,Services to People,AMZNMKTPLACE,Equipment,MISCELLANEOUS AND SPECIALTY RETAIL STORES,04/03/2020,16.04.2020,11.97
Stockport MBC,Services to People,B&M RETAIL,Equipment,DISCOUNT STORES,04/03/2020,16.04.2020,10.96
Stockport MBC,Services to People,ALDI 13 773,Catering Supplies,"GROCERY STORES, SUPERMARKETS",04/03/2020,16.04.2020,90.99
Stockport MBC,Services to People,ICELAND,Catering Supplies,"GROCERY STORES, SUPERMARKETS",04/03/2020,16.04.2020,4.00
Stockport MBC,Services to People,AMZNMKTPLACE,Catering Supplies,MISCELLANEOUS AND SPECIALTY RETAIL STORES,03/03/2020,16.04.2020,37.77
Stockport MBC,Services to People,AMZNMKTPLACE,Catering Supplies,MISCELLANEOUS AND SPECIALTY RETAIL STORES,04/03/2020,16.04.2020,57.76
Stockport MBC,Corporate and Support Services,ZOOM.GBP,Publicity and Promotion,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,26/03/2020,16.04.2020,14.39
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,25/03/2020,16.04.2020,35.95
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",19/03/2020,16.04.2020,204.00
Stockport MBC,Corporate and Support Services,TRAVELODGE GB0000,Travelling Expenses,TRAVELODGE,18/03/2020,16.04.2020,30.00
Stockport MBC,Corporate and Support Services,TRAVELODGE GB0000,Travelling Expenses,TRAVELODGE,18/03/2020,16.04.2020,30.00
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,17/03/2020,16.04.2020,161.95
Stockport MBC,Corporate and Support Services,THETRAINLINE.COM,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,113.50
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,66.40
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,38.00
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,17.45
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,93.60
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,26.45
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,102.30
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,98.30
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",11/03/2020,16.04.2020,374.25
Stockport MBC,Corporate and Support Services,THETRAINLINE.COM,Travelling Expenses,PASSENGER RAILWAYS,11/03/2020,16.04.2020,675.50
Stockport MBC,Corporate and Support Services,HOLIDAY PAYMENT VRUK,Library Equipment,TRAVEL AGENCIES AND TOUR OPERATORS,05/03/2020,16.04.2020,249.00
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",05/03/2020,16.04.2020,220.00
Stockport MBC,Corporate and Support Services,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,03/03/2020,16.04.2020,219.05
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",03/03/2020,16.04.2020,284.75
Stockport MBC,Corporate and Support Services,THETRAINLINE.COM,Travelling Expenses,PASSENGER RAILWAYS,02/03/2020,16.04.2020,24.55
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,26/03/2020,16.04.2020,50.00
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",27/03/2020,16.04.2020,-223.00
Stockport MBC,Corporate and Support Services,CURRYS ONLINE,COVID 19,ELECTRONIC SALES,27/03/2020,16.04.2020,15.00
Stockport MBC,Corporate and Support Services,CURRYS ONLINE,COVID 19,ELECTRONIC SALES,27/03/2020,16.04.2020,15.00
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,26/03/2020,16.04.2020,98.00
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,26/03/2020,16.04.2020,324.95
Stockport MBC,Corporate and Support Services,BRITANNIA HOTEL,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",24/03/2020,16.04.2020,-109.50
Stockport MBC,Corporate and Support Services,HOLIDAY INNS,Travelling Expenses,HOLIDAY INNS,24/03/2020,16.04.2020,79.00
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",23/03/2020,16.04.2020,223.00
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",23/03/2020,16.04.2020,30.00
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",23/03/2020,16.04.2020,35.00
Stockport MBC,Corporate and Support Services,ARGOS LTD,Furniture and Equipment,DISCOUNT STORES,20/03/2020,16.04.2020,23.94
Stockport MBC,Corporate and Support Services,HIGHSTREETVOUCHERS,Activities and Events,"ASSOCIATIONS-CIVIC, SOCIAL, AND FRATERNAL",19/03/2020,16.04.2020,746.25
Stockport MBC,Corporate and Support Services,SUMUP CHESHIRE HOME FR,COVID 19,MISCELLANEOUS AND SPECIALTY RETAIL STORES,19/03/2020,16.04.2020,550.00
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",17/03/2020,16.04.2020,248.50
Stockport MBC,Corporate and Support Services,EB  ILP MANCHESTER-SUR,Staff Training,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,16/03/2020,16.04.2020,-120.00
Stockport MBC,Corporate and Support Services,THETRAINLINE.COM,Travelling Expenses,PASSENGER RAILWAYS,16/03/2020,16.04.2020,26.75
Stockport MBC,Corporate and Support Services,THETRAINLINE.COM,Travelling Expenses,PASSENGER RAILWAYS,13/03/2020,16.04.2020,22.25
Stockport MBC,Corporate and Support Services,THETRAINLINE.COM,Travelling Expenses,PASSENGER RAILWAYS,13/03/2020,16.04.2020,13.75
Stockport MBC,Corporate and Support Services,HOLIDAY INN EXPRSS,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",11/03/2020,16.04.2020,582.00
Stockport MBC,Corporate and Support Services,BRITANNIA,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",10/03/2020,16.04.2020,260.50
Stockport MBC,Corporate and Support Services,METRO TAXIS LIMITED,Travelling Expenses,LIMOUSINES AND TAXICABS,09/03/2020,16.04.2020,12.50
