Organisation Name,Department where exp. Incurred,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Net Amount (£)
Stockport MBC,Services to People,ASDA SUPERSTORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",04/03/2020,16.04.2020,7.24
Stockport MBC,Services to People,ASDA SUPERSTORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",02/03/2020,16.04.2020,6.79
Stockport MBC,Services to People,SAINSBURYS SUPERMARKET,Catering Supplies,"GROCERY STORES, SUPERMARKETS",04/03/2020,16.04.2020,1.80
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
