Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Cultural & Related Services,WWW.RYMAN.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,22.11.2018,16.12.2018,GPC11180000222,53.95
Stockport MBC,Corporate and Support Services,Cultural & Related Services,RYMAN,Furniture and Equipment,Furniture & Soft Furnishings  ,21.11.2018,16.12.2018,GPC11180000223,11.99
Stockport MBC,Corporate and Support Services,Cultural & Related Services,WH SMITH,Furniture and Equipment,Furniture & Soft Furnishings  ,21.11.2018,16.12.2018,GPC11180000224,6.99
Stockport MBC,Corporate and Support Services,Cultural & Related Services,HIGH PEAK BOROUGH COUN,Staff Training,Human Resources  ,13.11.2018,16.12.2018,GPC11180000225,37.00
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,29.11.2018,16.12.2018,GPC11180000226,13.00
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,19.11.2018,16.12.2018,GPC11180000227,3.50
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,16.11.2018,16.12.2018,GPC11180000228,9.00
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,15.11.2018,16.12.2018,GPC11180000229,13.00
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,14.11.2018,16.12.2018,GPC11180000230,5.00
Stockport MBC,Services to People,Adult Social Care,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,09.11.2018,16.12.2018,GPC11180000231,10.60
Stockport MBC,Services to People,Adult Social Care,SALFORD CRESCENT STN T,Travelling Expenses,Human Resources Travel & Subsistence ,09.11.2018,16.12.2018,GPC11180000232,3.40
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2018,16.12.2018,GPC11180000233,5.50
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,21.11.2018,16.12.2018,GPC11180000234,200.20
Stockport MBC,Services to People,Adult Social Care,TRAVELODGE GB0000,Expenses and Allowances,Human Resources Training & Conferences ,20.11.2018,16.12.2018,GPC11180000235,445.00
Stockport MBC,Services to People,Adult Social Care,CARPET &FLOORING SPECI,Furniture and Equipment,Furniture & Soft Furnishings  ,09.11.2018,16.12.2018,GPC11180000236,340.00
Stockport MBC,Corporate and Support Services,Planning Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,12.11.2018,16.12.2018,GPC11180000237,42.40
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB.COM,Information and Communications Technology,Information Communication Technology  ,28.11.2018,16.12.2018,GPC11180000238,165.75
Stockport MBC,Corporate and Support Services,Central Support Costs,PP 6081CODE,Information and Communications Technology,Information Communication Technology  ,25.11.2018,16.12.2018,GPC11180000239,-1.00
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON.CO.UK M819T4D44,Furniture and Equipment,Environmental Services Technical Equipment ,22.11.2018,16.12.2018,GPC11180000240,53.78
Stockport MBC,Corporate and Support Services,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,13.11.2018,16.12.2018,GPC11180000241,12.20
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.11.2018,16.12.2018,GPC11180000242,9.62
Stockport MBC,Corporate and Support Services,Central Support Costs,GOOGLE  CLOUD_006788-6,Information and Communications Technology,Information Communication Technology  ,12.11.2018,16.12.2018,GPC11180000243,15.86
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,10.11.2018,16.12.2018,GPC11180000244,778.53
Stockport MBC,Corporate and Support Services,Central Support Costs,FSPRG.UK,Information and Communications Technology,Information Communication Technology  ,07.11.2018,16.12.2018,GPC11180000245,244.80
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,05.11.2018,16.12.2018,GPC11180000246,18.99
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.11.2018,16.12.2018,GPC11180000247,47.64
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.11.2018,16.12.2018,GPC11180000248,834.35
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMZN MKTP UK M85IB32Y4,Library Equipment,Education Library Books ,23.11.2018,16.12.2018,GPC11180000249,17.75
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMAZON.CO.UK M88X13BE4,Library Equipment,Education Library Books ,20.11.2018,16.12.2018,GPC11180000250,9.91
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMZN MKTP UK M83LQ85J4,Information and Communications Technology,Information Communication Technology  ,19.11.2018,16.12.2018,GPC11180000251,10.82
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMZN MKTP UK MT60X57H4,Furniture and Equipment,Environmental Services Technical Equipment ,04.11.2018,16.12.2018,GPC11180000252,20.48
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,27.11.2018,16.12.2018,GPC11180000253,62.59
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 17 773,Catering Supplies,Catering Food & Beverages ,19.11.2018,16.12.2018,GPC11180000254,13.41
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,13.11.2018,16.12.2018,GPC11180000255,59.77
