Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Furniture and Equipment,Furniture & Soft Furnishings  ,23.11.2017,16.12.2017,GPC11170000158,75.45,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.11.2017,16.12.2017,GPC11170000159,21.14,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA SUPERSTORE,Furniture and Equipment,Furniture & Soft Furnishings  ,23.11.2017,16.12.2017,GPC11170000160,13.85,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Furniture and Equipment,Furniture & Soft Furnishings  ,23.11.2017,16.12.2017,GPC11170000161,16.00,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Furniture & Soft Furnishings  ,20.11.2017,16.12.2017,GPC11170000162,36.55,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,16.11.2017,16.12.2017,GPC11170000163,41.79,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,16.11.2017,16.12.2017,GPC11170000164,5.40,,
Stockport MBC,Services to People,Childrens & Educational Services,FINDEL ED LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,17.11.2017,16.12.2017,GPC11170000165,18.59,,
Stockport MBC,Services to People,Childrens & Educational Services,MARKS&SPENCER PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,15.11.2017,16.12.2017,GPC11170000166,49.95,,
Stockport MBC,Services to People,Childrens & Educational Services,HOBBY CRAFT LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,14.11.2017,16.12.2017,GPC11170000167,18.50,,
Stockport MBC,Services to People,Childrens & Educational Services,PEARSON ED LTD,Library Equipment,Education Library Books ,25.10.2017,16.12.2017,GPC11170000168,5.99,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,09.11.2017,16.12.2017,GPC11170000169,3.18,,
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail Services   ,08.11.2017,16.12.2017,GPC11170000170,27.96,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Library Equipment,Education Library Books ,07.11.2017,16.12.2017,GPC11170000171,21.98,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,02.11.2017,16.12.2017,GPC11170000172,4.60,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,05.11.2017,16.12.2017,GPC11170000173,8.15,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,05.11.2017,16.12.2017,GPC11170000174,37.60,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Library Equipment,Education Library Books ,01.11.2017,16.12.2017,GPC11170000175,10.99,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ICO.GOV.UK,Professional Fees,Consultancy   ,20.11.2017,16.12.2017,GPC11170000176,35.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WASTESOLUTIONSSK,Cleaning,Cleaning & Janitorial  ,15.11.2017,16.12.2017,GPC11170000177,500.00,,
Stockport MBC,Services to People,Childrens & Educational Services,WASTESOLUTIONSSK,Cleaning,Cleaning & Janitorial  ,15.11.2017,16.12.2017,GPC11170000178,13.48,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.DOORENTRYDIRECT.CO,Furniture and Equipment,Environmental Services Technical Equipment ,14.11.2017,16.12.2017,GPC11170000179,48.12,,
Stockport MBC,Services to People,Public Health,LOVE2SHOP.CO.UK,Publicity and Promotion,Facilities & Management Services  ,22.11.2017,16.12.2017,GPC11170000180,454.25,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,26.11.2017,16.12.2017,GPC11170000181,-42.00,,
Stockport MBC,Services to People,Childrens & Educational Services,AVIS CAR,Care Payments,Social Community Care Supplies & Services  ,15.11.2017,16.12.2017,GPC11170000182,45.98,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,08.11.2017,16.12.2017,GPC11170000183,896.32,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,07.11.2017,16.12.2017,GPC11170000184,915.82,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000185,89.25,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,06.11.2017,16.12.2017,GPC11170000186,223.79,,
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,03.11.2017,16.12.2017,GPC11170000187,46.80,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,03.11.2017,16.12.2017,GPC11170000188,161.36,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,03.11.2017,16.12.2017,GPC11170000189,156.57,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,03.11.2017,16.12.2017,GPC11170000190,482.97,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.11.2017,16.12.2017,GPC11170000191,104.14,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,03.11.2017,16.12.2017,GPC11170000192,141.78,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,03.11.2017,16.12.2017,GPC11170000193,108.12,,
Stockport MBC,Services to People,Childrens & Educational Services,SKYBLUE CONFERENCES,Staff Training,Human Resources  ,03.11.2017,16.12.2017,GPC11170000194,204.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,03.11.2017,16.12.2017,GPC11170000195,418.44,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,27.11.2017,16.12.2017,GPC11170000196,75.00,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,17.11.2017,16.12.2017,GPC11170000197,75.00,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,15.11.2017,16.12.2017,GPC11170000198,75.00,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,13.11.2017,16.12.2017,GPC11170000199,75.00,,
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,02.11.2017,16.12.2017,GPC11170000200,75.00,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.11.2017,16.12.2017,GPC11170000201,35.20,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.11.2017,16.12.2017,GPC11170000202,69.13,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.11.2017,16.12.2017,GPC11170000203,61.19,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.11.2017,16.12.2017,GPC11170000204,4.67,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Cleaning,Cleaning & Janitorial  ,10.11.2017,16.12.2017,GPC11170000205,89.02,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Cleaning,Cleaning & Janitorial  ,10.11.2017,16.12.2017,GPC11170000206,-1.50,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.11.2017,16.12.2017,GPC11170000207,83.59,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORE 4554,Catering Supplies,Catering Food & Beverages ,02.11.2017,16.12.2017,GPC11170000208,4.28,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.11.2017,16.12.2017,GPC11170000209,79.46,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,10.11.2017,16.12.2017,GPC11170000210,535.35,,
Stockport MBC,Services to People,Childrens & Educational Services,LANCASTER LONDON HOTEL,Expenses and Allowances,Human Resources Training & Conferences ,08.11.2017,16.12.2017,GPC11170000211,192.50,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,06.11.2017,16.12.2017,GPC11170000212,-42.00,,
Stockport MBC,Services to Place,Central Support Costs,CIEH LIMITED,Staff Training,Human Resources  ,13.11.2017,16.12.2017,GPC11170000213,60.00,,
Stockport MBC,Services to Place,Housing (General Fund) Services,LANCASTER CITY,Staff Training,Human Resources  ,09.11.2017,16.12.2017,GPC11170000214,300.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  SITSIGHLTD,Furniture and Equipment,Furniture & Soft Furnishings  ,23.11.2017,16.12.2017,GPC11170000215,39.79,,
Stockport MBC,Services to People,Childrens & Educational Services,TAXI PRICE COMPARE,Leasing /Transport Hire,Vehicle Management Leasing ,23.11.2017,16.12.2017,GPC11170000216,211.57,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.HXPAYMENTS.COM,Travelling Expenses,Human Resources Travel & Subsistence ,23.11.2017,16.12.2017,GPC11170000217,40.17,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEC8YK C8YK0W,Travelling Expenses,Human Resources Travel & Subsistence ,20.11.2017,16.12.2017,GPC11170000218,199.97,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.PMGLTD.CO.UK,Staff Training,Human Resources  ,14.11.2017,16.12.2017,GPC11170000219,462.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.11.2017,16.12.2017,GPC11170000220,190.33,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Library Equipment,Education Library Books ,01.12.2017,16.12.2017,GPC11170000221,22.78,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM EHEP8F       0,Care Payments,Social Community Care Supplies & Services  ,30.11.2017,16.12.2017,GPC11170000222,158.56,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO DIRECT,Furniture and Equipment,Environmental Services Technical Equipment ,29.11.2017,16.12.2017,GPC11170000223,-174.99,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.SALFORD.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,16.11.2017,16.12.2017,GPC11170000224,11.00,,
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,15.11.2017,16.12.2017,GPC11170000225,46.80,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.11.2017,16.12.2017,GPC11170000226,161.36,,
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Care Payments,Social Community Care Supplies & Services  ,14.11.2017,16.12.2017,GPC11170000227,16.96,,
Stockport MBC,Services to People,Childrens & Educational Services,HMCOURTS-SERVICE.G,Care Payments,Social Community Care Supplies & Services  ,14.11.2017,16.12.2017,GPC11170000228,15.00,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM BRVX4P       0,Care Payments,Social Community Care Supplies & Services  ,14.11.2017,16.12.2017,GPC11170000229,280.76,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,14.11.2017,16.12.2017,GPC11170000230,-11.70,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,13.11.2017,16.12.2017,GPC11170000231,22.90,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,10.11.2017,16.12.2017,GPC11170000232,107.30,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44521330,Care Payments,Social Community Care Supplies & Services  ,09.11.2017,16.12.2017,GPC11170000233,51.49,,
Stockport MBC,Services to People,Childrens & Educational Services,ARMY NAVY STORES,Care Payments,Social Community Care Supplies & Services  ,10.11.2017,16.12.2017,GPC11170000234,122.24,,
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Care Payments,Social Community Care Supplies & Services  ,08.11.2017,16.12.2017,GPC11170000235,17.97,,
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Care Payments,Social Community Care Supplies & Services  ,08.11.2017,16.12.2017,GPC11170000236,16.56,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.BUSYBEES.COM,Care Payments,Social Community Care Supplies & Services  ,08.11.2017,16.12.2017,GPC11170000237,208.80,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM ATLWGW       0,Care Payments,Social Community Care Supplies & Services  ,08.11.2017,16.12.2017,GPC11170000238,275.72,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM ATNXEZ       0,Care Payments,Social Community Care Supplies & Services  ,08.11.2017,16.12.2017,GPC11170000239,424.18,,
Stockport MBC,Services to People,Childrens & Educational Services,LOGANAIR,Care Payments,Social Community Care Supplies & Services  ,07.11.2017,16.12.2017,GPC11170000240,"1,181.28",,
Stockport MBC,Services to People,Childrens & Educational Services,ST JOHN AMBULANCE,Furniture and Equipment,Furniture & Soft Furnishings  ,14.11.2017,16.12.2017,GPC11170000241,162.00,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,08.11.2017,16.12.2017,GPC11170000242,26.60,,
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Furniture & Soft Furnishings  ,02.11.2017,16.12.2017,GPC11170000243,9.98,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,27.11.2017,16.12.2017,GPC11170000244,68.75,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773        S,Catering Supplies,Catering Food & Beverages ,27.11.2017,16.12.2017,GPC11170000245,34.06,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773        S,Catering Supplies,Catering Food & Beverages ,21.11.2017,16.12.2017,GPC11170000246,12.66,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,20.11.2017,16.12.2017,GPC11170000247,42.89,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,20.11.2017,16.12.2017,GPC11170000248,71.75,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773        S,Catering Supplies,Catering Food & Beverages ,14.11.2017,16.12.2017,GPC11170000249,6.47,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 84 773        S,Catering Supplies,Catering Food & Beverages ,13.11.2017,16.12.2017,GPC11170000250,13.62,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,13.11.2017,16.12.2017,GPC11170000251,61.83,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,13.11.2017,16.12.2017,GPC11170000252,65.86,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,06.11.2017,16.12.2017,GPC11170000253,55.47,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,06.11.2017,16.12.2017,GPC11170000254,88.43,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,25.11.2017,16.12.2017,GPC11170000255,153.65,,
Stockport MBC,Services to People,Childrens & Educational Services,NETFLIX.COM,Care Payments,Social Community Care Supplies & Services  ,25.11.2017,16.12.2017,GPC11170000256,8.33,,
Stockport MBC,Services to People,Childrens & Educational Services,POSTOFFICE SELFSERVICE,Office Expenses,Mail Services   ,22.11.2017,16.12.2017,GPC11170000257,11.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,18.11.2017,16.12.2017,GPC11170000258,110.87,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,12.11.2017,16.12.2017,GPC11170000259,193.06,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Furniture and Equipment,Environmental Services Technical Equipment ,09.11.2017,16.12.2017,GPC11170000260,151.50,,
Stockport MBC,Services to People,Childrens & Educational Services,CHEADLE HULME SF CONNE,Fuel,Vehicle Management Fuel ,06.11.2017,16.12.2017,GPC11170000261,50.88,,
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,07.11.2017,16.12.2017,GPC11170000262,14.78,,
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Care Payments,Social Community Care Supplies & Services  ,07.11.2017,16.12.2017,GPC11170000263,7.50,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Care Payments,Social Community Care Supplies & Services  ,07.11.2017,16.12.2017,GPC11170000264,16.99,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Furniture and Equipment,Environmental Services Technical Equipment ,07.11.2017,16.12.2017,GPC11170000265,51.50,,
Stockport MBC,Services to People,Childrens & Educational Services,PARENTPAY E-COM R,Care Payments,Social Community Care Supplies & Services  ,06.11.2017,16.12.2017,GPC11170000266,100.00,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Care Payments,Social Community Care Supplies & Services  ,05.11.2017,16.12.2017,GPC11170000267,7.88,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO DIRECT,Care Payments,Social Community Care Supplies & Services  ,03.11.2017,16.12.2017,GPC11170000268,247.56,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO DIRECT,Care Payments,Social Community Care Supplies & Services  ,03.11.2017,16.12.2017,GPC11170000269,229.99,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,04.11.2017,16.12.2017,GPC11170000270,113.98,,
Stockport MBC,Services to People,Childrens & Educational Services,CARD FACTORY,Care Payments,Social Community Care Supplies & Services  ,05.11.2017,16.12.2017,GPC11170000271,13.34,,
Stockport MBC,Services to People,Adult Social Care,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,27.11.2017,16.12.2017,GPC11170000272,5.90,,
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,24.11.2017,16.12.2017,GPC11170000273,7.00,,
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,22.11.2017,16.12.2017,GPC11170000274,7.00,,
Stockport MBC,Services to People,Adult Social Care,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,21.11.2017,16.12.2017,GPC11170000275,17.50,,
Stockport MBC,Services to People,Adult Social Care,NORTHERN RAIL LTD-,Travelling Expenses,Human Resources Travel & Subsistence ,13.11.2017,16.12.2017,GPC11170000276,6.40,,
Stockport MBC,Services to People,Adult Social Care,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000277,10.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,28.11.2017,16.12.2017,GPC11170000278,588.26,,
Stockport MBC,Services to Place,Cultural & Related Services,SURVEYMONKEY,Publicity and Promotion,Arts & Leisure Services  ,08.11.2017,16.12.2017,GPC11170000279,26.00,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 6CC4WEJVH2,Office Expenses,Facilities & Management Services  ,01.12.2017,16.12.2017,GPC11170000280,387.15,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 7CC4WEJVH2,Office Expenses,Facilities & Management Services  ,01.12.2017,16.12.2017,GPC11170000281,1.35,,
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB.COM  AQ5H3,Information and Communications Technology,Information Communication Technology  ,28.11.2017,16.12.2017,GPC11170000282,215.58,,
Stockport MBC,Corporate and Support Services,Central Support Costs,OPINION STAGE,Information and Communications Technology,Information Communication Technology  ,23.11.2017,16.12.2017,GPC11170000283,61.37,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK SQF2TEJVH2,Office Expenses,Facilities & Management Services  ,21.11.2017,16.12.2017,GPC11170000284,396.22,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK TQF2TEJVH2,Office Expenses,Facilities & Management Services  ,21.11.2017,16.12.2017,GPC11170000285,3.88,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON UK MARKETPLACE,MISCLASSIFIED? CHECK BEFORE PUBLICATION,UNCLASSIFIED  ,19.11.2017,16.12.2017,GPC11170000286,13.98,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON SVCS EU-UK AMAZ,MISCLASSIFIED? CHECK BEFORE PUBLICATION,UNCLASSIFIED  ,19.11.2017,16.12.2017,GPC11170000287,9.68,,
Stockport MBC,Corporate and Support Services,Central Support Costs,STRIPE,Information and Communications Technology,Information Communication Technology  ,16.11.2017,16.12.2017,GPC11170000288,757.26,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK QRBTTEJUH2,Office Expenses,Facilities & Management Services  ,16.11.2017,16.12.2017,GPC11170000289,6.20,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK PRBTTEJUH2,Office Expenses,Facilities & Management Services  ,16.11.2017,16.12.2017,GPC11170000290,194.25,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.11.2017,16.12.2017,GPC11170000291,9.47,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FSPRG.UK,Information and Communications Technology,Information Communication Technology  ,14.11.2017,16.12.2017,GPC11170000292,132.00,,
Stockport MBC,Corporate and Support Services,Central Support Costs,PAYPAL  LIANGWENJIN,Information and Communications Technology,Information Communication Technology  ,14.11.2017,16.12.2017,GPC11170000293,6.99,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,13.11.2017,16.12.2017,GPC11170000294,11.99,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK Q48BZDAVH2,Office Expenses,Facilities & Management Services  ,12.11.2017,16.12.2017,GPC11170000295,19.12,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK R48BZDAVH2,Office Expenses,Facilities & Management Services  ,12.11.2017,16.12.2017,GPC11170000296,1.24,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK S4JXEEEVH2,Office Expenses,Facilities & Management Services  ,12.11.2017,16.12.2017,GPC11170000297,37.72,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK T4JXEEEVH2,Office Expenses,Facilities & Management Services  ,12.11.2017,16.12.2017,GPC11170000298,2.33,,
Stockport MBC,Corporate and Support Services,Central Support Costs,ATLASSIAN,Information and Communications Technology,Information Communication Technology  ,08.11.2017,16.12.2017,GPC11170000299,94.38,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.11.2017,16.12.2017,GPC11170000300,9.48,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON MKTPLACE PMTS,Information and Communications Technology,Information Communication Technology  ,03.11.2017,16.12.2017,GPC11170000301,766.89,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FSPRG.UK,Information and Communications Technology,Information Communication Technology  ,02.11.2017,16.12.2017,GPC11170000302,122.40,,
Stockport MBC,Corporate and Support Services,Cultural & Related Services,AMAZON EU,Library Equipment,Education Library Books ,20.11.2017,16.12.2017,GPC11170000303,10.98,,
Stockport MBC,Services to People,Childrens & Educational Services,NCX SENSORY EDUCATION,Furniture and Equipment,Furniture & Soft Furnishings  ,29.11.2017,16.12.2017,GPC11170000304,29.66,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.SOCIALBABY.COM,Furniture and Equipment,Furniture & Soft Furnishings  ,27.11.2017,16.12.2017,GPC11170000305,17.38,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Furniture & Soft Furnishings  ,27.11.2017,16.12.2017,GPC11170000306,10.25,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Office Expenses,Stationery    ,10.11.2017,16.12.2017,GPC11170000307,28.88,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Furniture & Soft Furnishings  ,10.11.2017,16.12.2017,GPC11170000308,34.18,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Office Expenses,Stationery    ,07.11.2017,16.12.2017,GPC11170000309,5.96,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Office Expenses,Stationery    ,07.11.2017,16.12.2017,GPC11170000310,11.98,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Environmental Services Technical Equipment ,24.11.2017,16.12.2017,GPC11170000311,6.54,,
Stockport MBC,Corporate and Support Services,Central Support Costs,AIRSERVER,Furniture and Equipment,Environmental Services Technical Equipment ,21.11.2017,16.12.2017,GPC11170000312,31.99,,
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,09.11.2017,16.12.2017,GPC11170000313,391.82,,
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,02.11.2017,16.12.2017,GPC11170000314,120.64,,
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Care Payments,Social Community Care Supplies & Services  ,22.11.2017,16.12.2017,GPC11170000315,366.67,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,29.11.2017,16.12.2017,GPC11170000316,8.72,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.11.2017,16.12.2017,GPC11170000317,160.85,,
