Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.11.2019,16.12.2019,GPC11190000209,40.7
Stockport MBC,Services to People,Childrens & Educational Services,MIM MIMEO LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,29.11.2019,16.12.2019,GPC11190000210,328.04
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK 3Q4JY17U5,Furniture and Equipment,Furniture & Soft Furnishings  ,28.11.2019,16.12.2019,GPC11190000211,22
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Furniture and Equipment,Furniture & Soft Furnishings  ,27.11.2019,16.12.2019,GPC11190000212,39.66
Stockport MBC,Services to People,Childrens & Educational Services,COMMUNICATE-ED,Furniture and Equipment,Furniture & Soft Furnishings  ,20.11.2019,16.12.2019,GPC11190000213,79
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Furniture and Equipment,Furniture & Soft Furnishings  ,13.11.2019,16.12.2019,GPC11190000214,37.43
Stockport MBC,Services to People,Childrens & Educational Services,CARTRIDGEPEOPLE.COM,Furniture and Equipment,Furniture & Soft Furnishings  ,06.11.2019,16.12.2019,GPC11190000215,349.4
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Furniture and Equipment,Furniture & Soft Furnishings  ,06.11.2019,16.12.2019,GPC11190000216,27.35
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Catering Supplies,Catering Food & Beverages ,27.11.2019,16.12.2019,GPC11190000217,3.3
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Catering Supplies,Catering Food & Beverages ,25.11.2019,16.12.2019,GPC11190000218,35.24
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Catering Supplies,Catering Food & Beverages ,15.11.2019,16.12.2019,GPC11190000219,46
Stockport MBC,Services to People,Childrens & Educational Services,THE SAFER FOOD GROUP,Furniture and Equipment,Environmental Services Technical Equipment ,11.11.2019,16.12.2019,GPC11190000220,28.8
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Catering Supplies,Catering Food & Beverages ,11.11.2019,16.12.2019,GPC11190000221,70.67
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Catering Supplies,Catering Food & Beverages ,01.11.2019,16.12.2019,GPC11190000222,7
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON MUSIC B11CP7MG5,Fees and Charges,Financial Services  ,29.11.2019,16.12.2019,GPC11190000223,3.99
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,30.11.2019,16.12.2019,GPC11190000224,242.21
Stockport MBC,Services to People,Childrens & Educational Services,PRIME VIDEO N880K4Y35,Publicity and Promotion,Arts & Leisure Services  ,01.12.2019,16.12.2019,GPC11190000225,5.99
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PETROL,Fuel,Vehicle Management Fuel ,01.12.2019,16.12.2019,GPC11190000226,85.22
Stockport MBC,Services to People,Childrens & Educational Services,PRIME VIDEO LB1845B75,Publicity and Promotion,Arts & Leisure Services  ,20.11.2019,16.12.2019,GPC11190000227,4.49
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME ZI0U35T35,Fees and Charges,Financial Services  ,18.11.2019,16.12.2019,GPC11190000228,7.99
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Publicity and Promotion,Arts & Leisure Services  ,11.11.2019,16.12.2019,GPC11190000229,8.99
Stockport MBC,Corporate and Support Services,Cultural & Related Services,ARGOS LTD,Furniture and Equipment,Environmental Services Technical Equipment ,28.11.2019,16.12.2019,GPC11190000230,9.99
Stockport MBC,Corporate and Support Services,Cultural & Related Services,WWW.CABOODLE.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,27.11.2019,16.12.2019,GPC11190000231,76.56
Stockport MBC,Services to People,Adult Social Care,SWRAILWAYSELFSERVE,Travelling Expenses,Human Resources Travel & Subsistence ,22.11.2019,16.12.2019,GPC11190000232,28.6
Stockport MBC,Services to People,Adult Social Care,MANCHESTER AIRPORT SST,Travelling Expenses,Human Resources Travel & Subsistence ,22.11.2019,16.12.2019,GPC11190000233,5.4
Stockport MBC,Services to People,Adult Social Care,PUMPKIN,Catering Supplies,Catering Food & Beverages ,22.11.2019,16.12.2019,GPC11190000234,5.48
Stockport MBC,Services to People,Adult Social Care,COSTA 1983,Catering Supplies,Catering Food & Beverages ,22.11.2019,16.12.2019,GPC11190000235,3.85
Stockport MBC,Services to People,Adult Social Care,VERIFONE TAXI/PRIVATE,Travelling Expenses,Human Resources Travel & Subsistence ,22.11.2019,16.12.2019,GPC11190000236,8
Stockport MBC,Services to People,Adult Social Care,FLYBENQQS NQQSFD,Travelling Expenses,Human Resources Travel & Subsistence ,18.11.2019,16.12.2019,GPC11190000237,25
Stockport MBC,Services to People,Adult Social Care,PREMIER INN44529750,Expenses and Allowances,Human Resources Training & Conferences ,18.11.2019,16.12.2019,GPC11190000238,220.5
Stockport MBC,Services to People,Adult Social Care,FLYBE.COM NPXKCV       0,Travelling Expenses,Human Resources Travel & Subsistence ,18.11.2019,16.12.2019,GPC11190000239,25
Stockport MBC,Services to People,Adult Social Care,MAN PICC TPE AVB,Travelling Expenses,Human Resources Travel & Subsistence ,19.11.2019,16.12.2019,GPC11190000240,6.7
Stockport MBC,Services to People,Adult Social Care,SWRAILWAYSELFSERVE,Travelling Expenses,Human Resources Travel & Subsistence ,19.11.2019,16.12.2019,GPC11190000241,28.6
Stockport MBC,Services to People,Adult Social Care,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,05.11.2019,16.12.2019,GPC11190000242,3.5
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1279,Furniture and Equipment,Environmental Services Technical Equipment ,28.11.2019,16.12.2019,GPC11190000243,51.84
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,28.11.2019,16.12.2019,GPC11190000244,8.5
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,27.11.2019,16.12.2019,GPC11190000245,32.47
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,27.11.2019,16.12.2019,GPC11190000246,23.39
Stockport MBC,Services to People,Childrens & Educational Services,PTEPRACTICE.COM,Staff Training,Human Resources  ,26.11.2019,16.12.2019,GPC11190000247,60
Stockport MBC,Services to People,Childrens & Educational Services,LIFE LEISURE BRINNINGT,Fees and Charges,Education  ,21.11.2019,16.12.2019,GPC11190000248,21
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,19.11.2019,16.12.2019,GPC11190000249,41.48
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK XO6VI5A15,Furniture and Equipment,Environmental Services Technical Equipment ,19.11.2019,16.12.2019,GPC11190000250,22.62
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.11.2019,16.12.2019,GPC11190000251,18.45
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1279,Furniture and Equipment,Environmental Services Technical Equipment ,15.11.2019,16.12.2019,GPC11190000252,12
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,14.11.2019,16.12.2019,GPC11190000253,25.77
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,10.11.2019,16.12.2019,GPC11190000254,94.35
Stockport MBC,Services to People,Childrens & Educational Services,SUBWAY,Catering Supplies,Catering Food & Beverages ,05.11.2019,16.12.2019,GPC11190000255,15.96
Stockport MBC,Services to People,Childrens & Educational Services,BRINNINGTON SST,Travelling Expenses,Human Resources Travel & Subsistence ,05.11.2019,16.12.2019,GPC11190000256,15.9
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON STORE,Furniture and Equipment,Environmental Services Technical Equipment ,04.11.2019,16.12.2019,GPC11190000257,7
Stockport MBC,Corporate and Support Services,Planning Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,29.11.2019,16.12.2019,GPC11190000258,10.75
Stockport MBC,Corporate and Support Services,Planning Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,27.11.2019,16.12.2019,GPC11190000259,39.6
Stockport MBC,Corporate and Support Services,Planning Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,20.11.2019,16.12.2019,GPC11190000260,21.2
Stockport MBC,Corporate and Support Services,Planning Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,14.11.2019,16.12.2019,GPC11190000261,21.98
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.MAGICWHITEBAORD.CO,Furniture and Equipment,Environmental Services Technical Equipment ,29.11.2019,16.12.2019,GPC11190000262,-30.94
Stockport MBC,Corporate and Support Services,Central Support Costs,GOOGLE  CLOUD_006788-6,Information and Communications Technology,Information Communication Technology  ,01.12.2019,16.12.2019,GPC11190000263,0.86
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,28.11.2019,16.12.2019,GPC11190000264,163.86
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,28.11.2019,16.12.2019,GPC11190000265,14.28
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,27.11.2019,16.12.2019,GPC11190000266,24.79
Stockport MBC,Corporate and Support Services,Central Support Costs,TFGM,Travelling Expenses,Human Resources Travel & Subsistence ,26.11.2019,16.12.2019,GPC11190000267,3.4
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,22.11.2019,16.12.2019,GPC11190000268,22.59
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.MAGICWHITEBAORD.CO,Furniture and Equipment,Environmental Services Technical Equipment ,21.11.2019,16.12.2019,GPC11190000269,36.89
Stockport MBC,Corporate and Support Services,Central Support Costs,TFGM,Travelling Expenses,Human Resources Travel & Subsistence ,18.11.2019,16.12.2019,GPC11190000270,6
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.11.2019,16.12.2019,GPC11190000271,9.64
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,13.11.2019,16.12.2019,GPC11190000272,26.97
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTSPRING,Information and Communications Technology,Information Communication Technology  ,08.11.2019,16.12.2019,GPC11190000273,244.8
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,10.11.2019,16.12.2019,GPC11190000274,781.04
Stockport MBC,Corporate and Support Services,Central Support Costs,AO RETAIL LIMITED,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",07.11.2019,16.12.2019,GPC11190000275,394
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON.CO.UK 0N10W2G45,Furniture and Equipment,Environmental Services Technical Equipment ,07.11.2019,16.12.2019,GPC11190000276,39.62
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,05.11.2019,16.12.2019,GPC11190000277,14.19
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.11.2019,16.12.2019,GPC11190000278,160.09
Stockport MBC,Corporate and Support Services,Central Support Costs,ARGOS RETAIL GROUP,Furniture and Equipment,Environmental Services Technical Equipment ,01.11.2019,16.12.2019,GPC11190000279,59.8
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.11.2019,16.12.2019,GPC11190000280,861.11
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZ AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,02.11.2019,16.12.2019,GPC11190000281,-38.56
Stockport MBC,Corporate and Support Services,Cultural & Related Services,LIVERPOOL UNIVERSITY P,Library Equipment,Education Library Books ,27.11.2019,16.12.2019,GPC11190000282,70
Stockport MBC,Corporate and Support Services,Cultural & Related Services,WORDERY,Library Equipment,Education Library Books ,01.11.2019,16.12.2019,GPC11190000283,39.92
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,29.11.2019,16.12.2019,GPC11190000284,10.75
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,01.12.2019,16.12.2019,GPC11190000285,21.32
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,28.11.2019,16.12.2019,GPC11190000286,8.53
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,28.11.2019,16.12.2019,GPC11190000287,1.5
Stockport MBC,Services to People,Childrens & Educational Services,ASDA SUPERSTORE,Catering Supplies,Catering Food & Beverages ,25.11.2019,16.12.2019,GPC11190000288,6.04
Stockport MBC,Services to People,Childrens & Educational Services,ASDA SUPERSTORE,Catering Supplies,Catering Food & Beverages ,20.11.2019,16.12.2019,GPC11190000289,8.42
Stockport MBC,Services to People,Childrens & Educational Services,ASDA SUPERSTORE,Catering Supplies,Catering Food & Beverages ,18.11.2019,16.12.2019,GPC11190000290,3.63
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,14.11.2019,16.12.2019,GPC11190000291,14.2
Stockport MBC,Services to People,Childrens & Educational Services,ASDA SUPERSTORE,Catering Supplies,Catering Food & Beverages ,13.11.2019,16.12.2019,GPC11190000292,6.84
Stockport MBC,Services to People,Childrens & Educational Services,WWW.DOMINOS.CO.UK,Catering Supplies,Catering Food & Beverages ,11.11.2019,16.12.2019,GPC11190000293,12.48
Stockport MBC,Services to People,Childrens & Educational Services,FRANKIE & BENNYS 3808,Fees and Charges,Education  ,08.11.2019,16.12.2019,GPC11190000294,47.61
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536865,Fees and Charges,Education  ,08.11.2019,16.12.2019,GPC11190000295,31.5
Stockport MBC,Services to People,Childrens & Educational Services,LUL TICKET MACHINE,Fees and Charges,Education  ,07.11.2019,16.12.2019,GPC11190000296,10
Stockport MBC,Services to People,Childrens & Educational Services,LUL TICKET MACHINE,Fees and Charges,Education  ,07.11.2019,16.12.2019,GPC11190000297,10
Stockport MBC,Services to People,Childrens & Educational Services,NANDOS BRIXTON,Fees and Charges,Education  ,07.11.2019,16.12.2019,GPC11190000298,40.65
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT COUNCIL PARK,Travelling Expenses,Human Resources Travel & Subsistence ,20.11.2019,16.12.2019,GPC11190000299,2.9
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Library Equipment,Education Library Books ,17.11.2019,16.12.2019,GPC11190000300,43.76
Stockport MBC,Corporate and Support Services,Central Support Costs,REPLACEBASE,Furniture and Equipment,Environmental Services Technical Equipment ,29.11.2019,16.12.2019,GPC11190000301,49.5
Stockport MBC,Corporate and Support Services,Central Support Costs,REPLACEBASE,Furniture and Equipment,Environmental Services Technical Equipment ,13.11.2019,16.12.2019,GPC11190000302,65.63
Stockport MBC,Corporate and Support Services,Central Support Costs,REPLACEBASE,Furniture and Equipment,Environmental Services Technical Equipment ,08.11.2019,16.12.2019,GPC11190000303,155.15
Stockport MBC,Corporate and Support Services,Central Support Costs,REPLACEBASE,Furniture and Equipment,Environmental Services Technical Equipment ,06.11.2019,16.12.2019,GPC11190000304,122.15
Stockport MBC,Services to Place,Highways & Transport Services,WWW.DRINKAWARE.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,28.11.2019,16.12.2019,GPC11190000305,60
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.11.2019,16.12.2019,GPC11190000306,240.15
