Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,NAS SCOTLAND PEOPLE,Care Payments,Social Community Care Supplies & Services  ,28.06.2017,16.07.2017,GPC06170000172,22.85
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,28.06.2017,16.07.2017,GPC06170000173,20.00
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,28.06.2017,16.07.2017,GPC06170000174,138.82
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,28.06.2017,16.07.2017,GPC06170000175,87.21
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT BED & SO,Furniture and Equipment,Environmental Services Technical Equipment ,29.06.2017,16.07.2017,GPC06170000176,240.00
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,29.06.2017,16.07.2017,GPC06170000177,68.44
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,29.06.2017,16.07.2017,GPC06170000178,190.33
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,29.06.2017,16.07.2017,GPC06170000179,326.81
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,06.12.2017,16.07.2017,GPC06170000180,42.62
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail Services   ,13.06.2017,16.07.2017,GPC06170000181,58.46
Stockport MBC,Services to People,Childrens & Educational Services,Cross Country Trains,Travelling Expenses,Human Resources Travel & Subsistence ,15.06.2017,16.07.2017,GPC06170000182,22.20
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Furniture & Soft Furnishings  ,29.06.2017,16.07.2017,GPC06170000183,7.51
