Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Planning Services,APL /EUROLYNX,Publicity and Promotion,Arts & Leisure Services  ,12.10.2017,16.11.2017,GPC10170000158,19.00
Stockport MBC,Corporate and Support Services,Planning Services,APL /EUROLYNX,Publicity and Promotion,Arts & Leisure Services  ,12.10.2017,16.11.2017,GPC10170000159,19.00
Stockport MBC,Services to People,Childrens & Educational Services,SUMMITREKS LTD CONISTO,Office Expenses,Stationery    ,13.10.2017,16.11.2017,GPC10170000160,126.45
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,01.11.2017,16.11.2017,GPC10170000161,46.30
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4787,Catering Supplies,Catering Food & Beverages ,01.11.2017,16.11.2017,GPC10170000162,2.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,19.10.2017,16.11.2017,GPC10170000163,273.87
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,02.10.2017,16.11.2017,GPC10170000164,97.92
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,30.10.2017,16.11.2017,GPC10170000165,88.60
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,26.10.2017,16.11.2017,GPC10170000166,25.40
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,25.10.2017,16.11.2017,GPC10170000167,44.00
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,18.10.2017,16.11.2017,GPC10170000168,44.00
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,05.10.2017,16.11.2017,GPC10170000169,192.70
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,05.10.2017,16.11.2017,GPC10170000170,65.50
Stockport MBC,Services to People,Adult Social Care,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,05.10.2017,16.11.2017,GPC10170000171,302.50
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,04.10.2017,16.11.2017,GPC10170000172,27.00
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,04.10.2017,16.11.2017,GPC10170000173,154.80
Stockport MBC,Services to People,Childrens & Educational Services,I W SUPPLIES,Office Expenses,Mail Services   ,01.11.2017,16.11.2017,GPC10170000174,103.20
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Fees and Charges,Education  ,30.10.2017,16.11.2017,GPC10170000175,7.79
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Fees and Charges,Education  ,16.10.2017,16.11.2017,GPC10170000176,3.44
Stockport MBC,Services to People,Childrens & Educational Services,MAPLIN STOCKPORT SK1,Information and Communications Technology,Information Communication Technology  ,09.10.2017,16.11.2017,GPC10170000177,10.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.PRINTERINKS.COM,Furniture and Equipment,Environmental Services Technical Equipment ,05.10.2017,16.11.2017,GPC10170000178,47.03
Stockport MBC,Corporate and Support Services,Planning Services,TESCO STORES 3378,Publicity and Promotion,Arts & Leisure Services  ,16.10.2017,16.11.2017,GPC10170000179,22.17
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK PRIME AMZN.C,Library Equipment,Education Library Books ,20.10.2017,16.11.2017,GPC10170000180,7.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Furniture and Equipment,Furniture & Soft Furnishings  ,19.10.2017,16.11.2017,GPC10170000181,5.85
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.10.2017,16.11.2017,GPC10170000182,11.39
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Staff Training,Human Resources  ,10.10.2017,16.11.2017,GPC10170000183,11.40
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.10.2017,16.11.2017,GPC10170000184,31.26
Stockport MBC,Services to People,Childrens & Educational Services,PEARSON ED LTD,Library Equipment,Education Library Books ,29.09.2017,16.11.2017,GPC10170000185,7.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ICO.GOV.UK,Fees and Charges,"Works - Construction, Repair & Maintenance  ",03.10.2017,16.11.2017,GPC10170000186,35.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,20.10.2017,16.11.2017,GPC10170000187,54.57
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,17.10.2017,16.11.2017,GPC10170000188,-55.60
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,16.10.2017,16.11.2017,GPC10170000189,22.90
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,13.10.2017,16.11.2017,GPC10170000190,54.57
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,10.10.2017,16.11.2017,GPC10170000191,68.44
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,10.10.2017,16.11.2017,GPC10170000192,23.92
Stockport MBC,Services to People,Childrens & Educational Services,DUNCHURCH PARK HOTEL,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,10.10.2017,16.11.2017,GPC10170000193,75.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.10.2017,16.11.2017,GPC10170000194,108.12
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.10.2017,16.11.2017,GPC10170000195,158.10
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.10.2017,16.11.2017,GPC10170000196,171.67
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,06.10.2017,16.11.2017,GPC10170000197,77.21
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.10.2017,16.11.2017,GPC10170000198,3.93
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.10.2017,16.11.2017,GPC10170000199,86.60
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,06.10.2017,16.11.2017,GPC10170000200,61.51
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,06.10.2017,16.11.2017,GPC10170000201,54.57
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,05.10.2017,16.11.2017,GPC10170000202,42.00
Stockport MBC,Services to People,Childrens & Educational Services,EB  BETWEEN CARE AND T,Expenses and Allowances,Catering  ,05.10.2017,16.11.2017,GPC10170000203,-55.00
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Care Payments,Social Community Care Supplies & Services  ,03.10.2017,16.11.2017,GPC10170000204,31.26
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,03.10.2017,16.11.2017,GPC10170000205,584.91
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,03.10.2017,16.11.2017,GPC10170000206,888.82
Stockport MBC,Services to People,Childrens & Educational Services,HMCOURTS-SERVICE.G,Care Payments,Social Community Care Supplies & Services  ,04.10.2017,16.11.2017,GPC10170000207,50.00
Stockport MBC,Services to People,Childrens & Educational Services,EB  BETWEEN CARE AND T,Expenses and Allowances,Catering  ,04.10.2017,16.11.2017,GPC10170000208,55.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,03.10.2017,16.11.2017,GPC10170000209,237.97
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.10.2017,16.11.2017,GPC10170000210,646.27
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM BC8VKJ       0,Care Payments,Social Community Care Supplies & Services  ,03.10.2017,16.11.2017,GPC10170000211,441.45
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK PRIME AMZN.C,Furniture and Equipment,Environmental Services Technical Equipment ,03.10.2017,16.11.2017,GPC10170000212,-7.99
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,26.10.2017,16.11.2017,GPC10170000213,75.00
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,24.10.2017,16.11.2017,GPC10170000214,75.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES,Catering Supplies,Catering Food & Beverages ,31.10.2017,16.11.2017,GPC10170000215,40.01
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.10.2017,16.11.2017,GPC10170000216,26.80
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.10.2017,16.11.2017,GPC10170000217,43.79
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,09.10.2017,16.11.2017,GPC10170000218,82.07
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 13 773        S,Catering Supplies,Catering Food & Beverages ,05.10.2017,16.11.2017,GPC10170000219,5.87
Stockport MBC,Services to People,Childrens & Educational Services,POUNDSTRETCHER 793,Furniture and Equipment,Furniture & Soft Furnishings  ,04.10.2017,16.11.2017,GPC10170000220,7.98
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Furniture and Equipment,Furniture & Soft Furnishings  ,04.10.2017,16.11.2017,GPC10170000221,10.52
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORE 4554,Catering Supplies,Catering Food & Beverages ,03.10.2017,16.11.2017,GPC10170000222,6.88
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,02.10.2017,16.11.2017,GPC10170000223,64.81
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,30.10.2017,16.11.2017,GPC10170000224,566.60
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,27.10.2017,16.11.2017,GPC10170000225,54.57
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,24.10.2017,16.11.2017,GPC10170000226,141.78
