Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2019-02-27,ZZP657365,1,4272,Civica UK Ltd,390000,Supplies and services,Supplies and services,Corporate and Support Services,Bentax,16581.00
2019-02-27,ZZP657416,1,3421,Cadassist Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,D & I Team,15175.07
2019-03-06,ZZP657828,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,96662.00
2019-03-06,ZZP657829,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,116008.99
2019-02-28,ZZP657437,1,7572,Wigan Council...,202100,Financial Services Subscriptions ,Third party payments - Public Sector,Corporate and Support Services,POD Core Staffing,7417.17
2019-03-04,ZZP657653,1,8106,Tarmac Building Products Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,70545.00
2019-03-01,ZZP657522,1,223,Groundwork Landscapes Ltd,240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,9829.00
2019-03-01,ZZP657574,1,8121,GallifordTry Infrastructure Lt,390000,Supplies and services,Supplies and services,#N/A,#N/A,20000.00
2019-03-01,ZZP657575,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,50000.00
2019-03-01,ZZP657576,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,25000.00
2019-03-01,ZZP657585,1,4272,Civica UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,741.47
