Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2019-01-21,ZZP655427,1,7831,Transport for Gtr M/CR (HFAS),390000,Supplies and services,Supplies and services,#N/A,#N/A,58000.00
2019-01-17,ZZP655316,1,1206,PricewaterhouseCoopers LLP,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Town Centre Devt Tea,5000.00
2019-01-25,ZZP655699,1,7670,Wilds Of Oldham,110000,Catering  ,Expenses and Allowances,Corporate and Support Services,Town Hall Events,5000.00
2019-01-21,ZZP655424,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,51342.34
2019-01-21,ZZP655425,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,5742.72
2019-01-21,ZZP655426,1,7831,Transport for Gtr M/CR (HFAS),230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,18527.73
2019-01-21,ZZP655428,1,7861,Stockport District CAB,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Corporate and Support Services,"Info, Advice & Guide",13642.81
2019-01-22,ZZP655514,1,12193,Greater Manchester Combined Au,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,18527.73
2019-01-22,ZZP655513,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,34615.00
2019-01-22,ZZP655512,1,12902,ECS Consultants Limited,150000,Consultancy   ,Professional Fees,#N/A,#N/A,9193.59
2019-01-23,ZZP655550,1,544,Phoenix Software Ltd,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Corporate and Support Services,IT Main,5518.79
2019-03-25,ZZP658796,1,446,Local Government Association,171113,Education Library Books ,Library Equipment,Corporate and Support Services,AGMA & LA Subs,45920.00
2019-01-24,ZZP655615,1,8010,GROUNDWORK & LEISURE SERVIC,240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,11253.00
2019-01-25,ZZP655661,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,6415.00
2019-01-24,ZZP655633,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,15834.43
2019-02-01,ZZP656000,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,29346.63
2019-01-25,ZZP655653,1,7737,TMP (UK) LTD,261300,Human Resources Recruitment & Assessment ,Advertising,Corporate and Support Services,POD Core Staffing,10490.00
2019-02-01,ZZP656001,1,2025,BT Plc (Openreach),230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,6980.45
2019-01-25,ZZP655721,1,3763,IDOX Information Solutions,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Corporate and Support Services,IT Systems,12832.00
2019-02-01,ZZP656003,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,25617.03
2019-02-01,ZZP656004,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,24317.03
2019-01-28,ZZP655807,1,12193,Greater Manchester Combined Au,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,60000.00
2019-01-28,ZZP655809,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,#N/A,#N/A,28309.00
2019-01-31,ZZP655931,1,10749,Exchamge Chambers,280000,Legal Services  ,Legal Fees,Corporate and Support Services,Bentax,12000.00
2019-02-12,ZZP656584,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,Services to Place,Highway Structs R+R,58518.07
2019-02-01,ZZP656005,1,757,Transport for Greater Manchest,150000,Consultancy   ,Professional Fees,#N/A,#N/A,40433.73
2019-01-30,ZZP655925,1,5835,Virgin Media Access Network Pl,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,12881.03
2019-02-01,ZZP656006,1,6255,Building Software Ltd,391200,"Works - Construction, Repair & Maintenance Engineering ",Professional Fees,Services to Place,Invest in Growth,15072.00
2019-01-31,ZZP655990,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,9176.83
2019-01-31,ZZP655989,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,32842.19
2019-01-31,ZZP655961,1,11715,CBRE,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Merseyway Shop Ctre,11660.00
2019-01-31,ZZP655961,2,11715,CBRE,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Merseyway Shop Ctre,6360.00
2019-01-31,ZZP655967,1,12479,Jisc Services Ltd - Subscripti,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,4464.91
2019-01-31,ZZP655967,1,12479,Jisc Services Ltd - Subscripti,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT School,4464.91
2019-01-31,ZZP655967,2,12479,Jisc Services Ltd - Subscripti,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,1000.00
2019-01-31,ZZP655967,2,12479,Jisc Services Ltd - Subscripti,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT School,1000.00
2019-01-31,ZZP655967,3,12479,Jisc Services Ltd - Subscripti,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,7786.91
2019-01-31,ZZP655967,3,12479,Jisc Services Ltd - Subscripti,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT School,7786.91
2019-01-31,ZZP655967,4,12479,Jisc Services Ltd - Subscripti,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,1000.00
2019-01-31,ZZP655967,4,12479,Jisc Services Ltd - Subscripti,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT School,1000.00
2019-02-01,ZZP656010,1,4105,QA Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Corporate and Support Services,IT Main,8200.00
2019-02-01,ZZP656010,2,4105,QA Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Corporate and Support Services,IT Main,8200.00
2019-02-07,ZZP656334,1,4272,Civica UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Bentax,402010.00
2019-02-01,ZZP656095,1,8106,Tarmac Building Products Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,27700.54
2019-02-01,ZZP656094,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,32845.64
2019-02-01,ZZP656093,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,12263.94
2019-02-04,ZZP656157,1,3529,Totally Local Company Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Local Election,20000.00
2019-02-01,ZZP656046,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,13739.00
2019-02-04,ZZP656106,1,3421,Cadassist Ltd,260000,Human Resources  ,Staff Training,Services to Place,D & I Team,9240.00
