Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,18.05.2017,16.06.2017,GPC05170000118,6.73
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,18.05.2017,16.06.2017,GPC05170000119,8.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,MESSAGE ENTERPRISE CEN,Furniture and Equipment,Environmental Services Technical Equipment ,05.05.2017,16.06.2017,GPC05170000120,39.99
Stockport MBC,Services to Place,Environmental & Regulatory Services,MESSAGE ENTERPRISE CEN,Furniture and Equipment,Environmental Services Technical Equipment ,05.05.2017,16.06.2017,GPC05170000121,60.00
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,05.03.2017,16.06.2017,GPC05170000122,13.66
Stockport MBC,Services to People,Childrens & Educational Services,MAPLIN STOCKPORT SK1,Information and Communications Technology,Information Communication Technology  ,05.12.2017,16.06.2017,GPC05170000123,41.66
Stockport MBC,Services to People,Childrens & Educational Services,MAXSPIELMANNTESCOPHOTO,Furniture and Equipment,Furniture & Soft Furnishings  ,22.05.2017,16.06.2017,GPC05170000124,4.17
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail Services   ,05.03.2017,16.06.2017,GPC05170000125,4.14
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail Services   ,05.10.2017,16.06.2017,GPC05170000126,27.61
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,05.10.2017,16.06.2017,GPC05170000127,304.00
Stockport MBC,Services to People,Childrens & Educational Services,FTPE WEBTIS 1,Travelling Expenses,Human Resources Travel & Subsistence ,05.11.2017,16.06.2017,GPC05170000128,-62.90
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,05.12.2017,16.06.2017,GPC05170000129,15.72
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44016350,Care Payments,Social Community Care Supplies & Services  ,05.01.2017,16.06.2017,GPC05170000130,-49.98
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT NHS,Care Payments,Social Community Care Supplies & Services  ,05.02.2017,16.06.2017,GPC05170000131,10.00
Stockport MBC,Services to People,Childrens & Educational Services,HMCOURTS-SERVICE.G,Care Payments,Social Community Care Supplies & Services  ,05.03.2017,16.06.2017,GPC05170000132,220.00
