Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Publicity and Promotion,Arts & Leisure Services  ,12.03.2019,16.04.2019,GPC03190000254,8.00
Stockport MBC,Services to People,Childrens & Educational Services,"CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS",Publicity and Promotion,Arts & Leisure Services  ,10.03.2019,16.04.2019,GPC03190000255,9.99
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,08.03.2019,16.04.2019,GPC03190000256,277.04
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,10.03.2019,16.04.2019,GPC03190000257,219.48
Stockport MBC,Services to People,Childrens & Educational Services,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",Publicity and Promotion,Arts & Leisure Services  ,09.03.2019,16.04.2019,GPC03190000258,89.94
Stockport MBC,Services to People,Childrens & Educational Services,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),Publicity and Promotion,Arts & Leisure Services  ,04.03.2019,16.04.2019,GPC03190000259,-6.00
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,03.03.2019,16.04.2019,GPC03190000260,218.90
Stockport MBC,Services to People,Childrens & Educational Services,FAST FOOD RESTAURANTS,Publicity and Promotion,Arts & Leisure Services  ,01.03.2019,16.04.2019,GPC03190000261,44.60
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,01.03.2019,16.04.2019,GPC03190000262,280.26
Stockport MBC,Services to People,Childrens & Educational Services,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),Publicity and Promotion,Arts & Leisure Services  ,02.03.2019,16.04.2019,GPC03190000263,45.00
Stockport MBC,Corporate and Support Services,Cultural & Related Services,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,Furniture and Equipment,Environmental Services Technical Equipment ,29.03.2019,16.04.2019,GPC03190000264,78.99
Stockport MBC,Corporate and Support Services,Cultural & Related Services,"GROCERY STORES, SUPERMARKETS",Expenses and Allowances,Catering  ,09.03.2019,16.04.2019,GPC03190000265,2.40
Stockport MBC,Corporate and Support Services,Cultural & Related Services,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,Expenses and Allowances,Catering  ,10.03.2019,16.04.2019,GPC03190000266,2.30
Stockport MBC,Corporate and Support Services,Cultural & Related Services,"GROCERY STORES, SUPERMARKETS",Expenses and Allowances,Catering  ,09.03.2019,16.04.2019,GPC03190000267,5.67
Stockport MBC,Corporate and Support Services,Cultural & Related Services,"GROCERY STORES, SUPERMARKETS",Expenses and Allowances,Catering  ,12.03.2019,16.04.2019,GPC03190000268,42.50
Stockport MBC,Corporate and Support Services,Cultural & Related Services,"GROCERY STORES, SUPERMARKETS",Expenses and Allowances,Catering  ,12.03.2019,16.04.2019,GPC03190000269,98.00
Stockport MBC,Corporate and Support Services,Cultural & Related Services,"GROCERY STORES, SUPERMARKETS",Expenses and Allowances,Catering  ,12.03.2019,16.04.2019,GPC03190000270,85.50
Stockport MBC,Corporate and Support Services,Cultural & Related Services,"GROCERY STORES, SUPERMARKETS",Expenses and Allowances,Catering  ,09.03.2019,16.04.2019,GPC03190000271,6.15
Stockport MBC,Corporate and Support Services,Cultural & Related Services,"GROCERY STORES, SUPERMARKETS",Expenses and Allowances,Catering  ,10.03.2019,16.04.2019,GPC03190000272,7.20
Stockport MBC,Corporate and Support Services,Cultural & Related Services,DISCOUNT STORES,Expenses and Allowances,Catering  ,07.03.2019,16.04.2019,GPC03190000273,4.99
Stockport MBC,Services to People,Adult Social Care,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",Expenses and Allowances,Human Resources Training & Conferences ,29.03.2019,16.04.2019,GPC03190000274,499.00
Stockport MBC,Services to People,Adult Social Care,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,25.03.2019,16.04.2019,GPC03190000275,3.50
Stockport MBC,Services to People,Adult Social Care,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,25.03.2019,16.04.2019,GPC03190000276,6.30
Stockport MBC,Services to People,Adult Social Care,TRAVELODGE,Travelling Expenses,Human Resources Travel & Subsistence ,20.03.2019,16.04.2019,GPC03190000277,9.95
Stockport MBC,Services to People,Adult Social Care,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,20.03.2019,16.04.2019,GPC03190000278,5.00
