Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.07.2019,16.08.2019,GPC07190000246,-24.00
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,18.07.2019,16.08.2019,GPC07190000247,34.75
Stockport MBC,Services to Place,Highways & Transport Services,TRAVELODGE GB0000,Expenses and Allowances,Catering  ,10.07.2019,16.08.2019,GPC07190000248,171.50
Stockport MBC,Corporate and Support Services,Cultural & Related Services,HG STEPHENSON LTD,Furniture and Equipment,Environmental Services Technical Equipment ,26.07.2019,16.08.2019,GPC07190000249,250.00
Stockport MBC,Services to Place,Cultural & Related Services,EB  MEADOWS IN THE CIT,Staff Training,Human Resources  ,22.07.2019,16.08.2019,GPC07190000250,120.00
Stockport MBC,Corporate and Support Services,Central Support Costs,BRITCROSS LTD,Library Equipment,Education Library Books ,05.07.2019,16.08.2019,GPC07190000251,200.00
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.07.2019,16.08.2019,GPC07190000252,242.60
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.07.2019,16.08.2019,GPC07190000253,87.05
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.07.2019,16.08.2019,GPC07190000254,212.65
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.07.2019,16.08.2019,GPC07190000255,22.55
Stockport MBC,Services to Place,Environmental & Regulatory Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.07.2019,16.08.2019,GPC07190000256,103.70
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.07.2019,16.08.2019,GPC07190000257,7.55
Stockport MBC,Services to People,Adult Social Care,YOUNIS CASH AND CARRY,Catering Supplies,Catering Food & Beverages ,05.07.2019,16.08.2019,GPC07190000258,7.99
Stockport MBC,Services to People,Adult Social Care,YOUNIS CASH AND CARRY,Catering Supplies,Catering Food & Beverages ,05.07.2019,16.08.2019,GPC07190000259,25.00
