Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Cultural & Related Services,BRIDGE LANE NEWS,Catering Supplies,Catering Food & Beverages ,12.10.2019,16.11.2019,GPC10190000082,4.20
Stockport MBC,Corporate and Support Services,Cultural & Related Services,SAINSBURYS LOC6202,Catering Supplies,Catering Food & Beverages ,18.10.2019,16.11.2019,GPC10190000083,12.90
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME MO1VD3MP4,Office Expenses,Stationery    ,18.10.2019,16.11.2019,GPC10190000084,7.99
Stockport MBC,Services to People,Childrens & Educational Services,BOOKERECOMM,Office Expenses,Stationery    ,14.10.2019,16.11.2019,GPC10190000085,75.66
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Library Equipment,Education Library Books ,11.10.2019,16.11.2019,GPC10190000086,39.80
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Office Expenses,Stationery    ,09.10.2019,16.11.2019,GPC10190000087,161.43
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,16.10.2019,16.11.2019,GPC10190000088,63.78
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TENPIN.CO.UK,Fees and Charges,Education  ,14.10.2019,16.11.2019,GPC10190000089,54.15
Stockport MBC,Services to People,Childrens & Educational Services,WWW.TENPIN.CO.UK,Fees and Charges,Education  ,14.10.2019,16.11.2019,GPC10190000090,54.15
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MO6E85JQ4,Furniture and Equipment,Environmental Services Technical Equipment ,12.10.2019,16.11.2019,GPC10190000091,40.52
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MO84P1J24,Furniture and Equipment,Environmental Services Technical Equipment ,10.10.2019,16.11.2019,GPC10190000092,40.52
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Furniture & Soft Furnishings  ,29.10.2019,16.11.2019,GPC10190000093,8.49
Stockport MBC,Services to People,Childrens & Educational Services,THE LOWRY CENTRE LTD,Fees and Charges,Education  ,16.10.2019,16.11.2019,GPC10190000094,90.50
