Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,09.06.2017,16.10.2017,GPC09170000073,17.70
Stockport MBC,Services to Place,Central Support Costs,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,14.09.2017,16.10.2017,GPC09170000074,13.00
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,20.09.2017,16.10.2017,GPC09170000075,5.90
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,27.09.2017,16.10.2017,GPC09170000076,17.70
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,09.05.2017,16.10.2017,GPC09170000077,11.72
Stockport MBC,Services to People,Childrens & Educational Services,PETS AT HOME LTD,Furniture and Equipment,Environmental Services Technical Equipment ,09.06.2017,16.10.2017,GPC09170000078,30.08
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Office Expenses,Mail Services   ,09.06.2017,16.10.2017,GPC09170000079,114.48
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,09.06.2017,16.10.2017,GPC09170000080,26.95
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,09.06.2017,16.10.2017,GPC09170000081,6.67
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,09.07.2017,16.10.2017,GPC09170000082,15.05
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Catering Supplies,Catering Food & Beverages ,09.08.2017,16.10.2017,GPC09170000083,3.37
Stockport MBC,Services to People,Childrens & Educational Services,ALEXANDER BARBER,Fees and Charges,Education  ,09.11.2017,16.10.2017,GPC09170000084,11.75
Stockport MBC,Services to People,Childrens & Educational Services,GOLDEN DAYS GARDEN CEN,Furniture and Equipment,Environmental Services Technical Equipment ,09.11.2017,16.10.2017,GPC09170000085,11.97
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,09.11.2017,16.10.2017,GPC09170000086,69.63
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,09.12.2017,16.10.2017,GPC09170000087,19.40
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORE 2629,Catering Supplies,Catering Food & Beverages ,13.09.2017,16.10.2017,GPC09170000088,26.39
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,13.09.2017,16.10.2017,GPC09170000089,13.88
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,14.09.2017,16.10.2017,GPC09170000090,11.40
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,15.09.2017,16.10.2017,GPC09170000091,15.97
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,18.09.2017,16.10.2017,GPC09170000092,6.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.FIRSTNEWS.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,18.09.2017,16.10.2017,GPC09170000093,60.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,19.09.2017,16.10.2017,GPC09170000094,72.53
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,20.09.2017,16.10.2017,GPC09170000095,33.06
Stockport MBC,Services to People,Childrens & Educational Services,NCP LTD,Travelling Expenses,Human Resources Travel & Subsistence ,21.09.2017,16.10.2017,GPC09170000096,1.60
Stockport MBC,Services to People,Childrens & Educational Services,NCP LTD,Travelling Expenses,Human Resources Travel & Subsistence ,21.09.2017,16.10.2017,GPC09170000097,1.60
Stockport MBC,Services to People,Childrens & Educational Services,NCP LTD,Travelling Expenses,Human Resources Travel & Subsistence ,21.09.2017,16.10.2017,GPC09170000098,1.60
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT AIR RAID SHE,Fees and Charges,Education  ,21.09.2017,16.10.2017,GPC09170000099,57.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,22.09.2017,16.10.2017,GPC09170000100,2.00
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773         S,Catering Supplies,Catering Food & Beverages ,26.09.2017,16.10.2017,GPC09170000101,36.75
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,26.09.2017,16.10.2017,GPC09170000102,18.67
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,29.09.2017,16.10.2017,GPC09170000103,7.03
Stockport MBC,Services to Place,Highways & Transport Services,BRITANNIA,Staff Training,Human Resources  ,09.01.2017,16.10.2017,GPC09170000104,274.50
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,09.05.2017,16.10.2017,GPC09170000105,10.00
Stockport MBC,Corporate and Support Services,Central Support Costs,STOCKPORT M B C,Legal Fees,Legal Services  ,09.08.2017,16.10.2017,GPC09170000106,10.00
Stockport MBC,Corporate and Support Services,Central Support Costs,Amazon UK Marketplace,Office Expenses,Stationery    ,18.09.2017,16.10.2017,GPC09170000107,51.66
