"supplier_name","pro_class_description","service","expense_area","po_value","cpv_codes"
"AECOM Limited","Consultancy   ","Services to Place","Highways-Network Management","34684","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Works - Construction, Repair & Maintenance Engineering ","Services to Place","ECS-Buildings Team","35487.4","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Works - Construction, Repair & Maintenance Engineering ","Services to Place","Highways – Cycle Training","0","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","Capital Expenditure","STCAP 801 Travis Brow/ A6 Link and George’s Rd - F","7750","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","Services to Place","Design Framework Staff","41284","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","Services to Place","Retail Planning appeals","23769.5","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","Capital Expenditure","STCAP 801 Travis Brow/ A6 Link and George’s Rd - F","8771.4","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Supplies and services","Capital Expenditure","SEMMMS Prep Costs - On Site","28990.4","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","Services to Place","Highways-Network Management","23860","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM Limited","Consultancy   ","Capital Expenditure","Principal Inspections - Feasibility","48187.2","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
