"supplier_name","pro_class_description","service","expense_area","po_value","cpv_codes"
"AECOM Limited","Works - Construction, Repair & Maintenance Engineering ","Services to Place","ECS-Buildings Team","35487.4","71314200 71314300 |45000000 71000000 |66122000 |71356000 79415200 |71310000 |71320000 |71311000 |48100000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 |71314200 71314300 |45000000 71000000 |66122000 |71356000 79415200 |71310000 |71320000 |71311000 |48100000 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","STCAP 801 Travis Brow/ A6 Link and George’s Rd - F","7750","71314200 71314300 |45000000 71000000 |66122000 |71356000 79415200 |71310000 |71320000 |71311000 |48100000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Design Framework Staff","41284","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311300 71410000 71530000 |71356000 79415200 |71310000 |71320000 |71311000 |48100000 |75211200 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Retail Planning appeals","23769.5","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311300 71410000 71530000 |71356000 79415200 |71310000 |71320000 |71311000 |48100000 |75211200 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","STCAP 801 Travis Brow/ A6 Link and George’s Rd - F","8771.4","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311300 71410000 71530000 |71356000 79415200 |71320000 |71311000 |48100000 |75211200 |75211200 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Supplies and services","Capital Expenditure","SEMMMS Prep Costs - On Site","28990.4","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311300 71410000 71530000 |71320000 |71311000 |48100000 |73000000 |75211200 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Highways-Network Management","23860","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71311300 71410000 71530000 |71320000 |71311000 |48100000 |73000000 |75211200 |75211200 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","Principal Inspections - Feasibility","48187.2","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71240000 |71311300 71410000 71530000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |48100000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Highways-Road Safety","6776","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71240000 |71311300 71410000 71530000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |48100000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","1300 Greenspace Infrastructure - On Site","24594","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71000000 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Capital Expenditure","STCAP 801 Travis Brow/ A6 Link and George’s Rd - D","8300","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71000000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","#N/A","#N/A","28309","71352100 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |71000000 |98000000 71300000 |71352100 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","#N/A","#N/A","137608","71352100 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |71000000 |98000000 71300000 |71352100 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Car Parks Admin","10534.4","71352100 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |71000000 |79410000 |98000000 71300000 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Highway Structs R+R","17032.2","71352100 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |71000000 |79410000 |98000000 71300000 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Highways-Road Safety","39545.9","71352100 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |71000000 |79410000 |98000000 71300000 |71240000 |71240000 |71240000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |66170000 66600000 70333000 71241000 71311000 71314000 71315000 71317000 71351000 71410000 71800000 72000000 73200000 79000000 85000000 90710000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Rechargeable work","12632","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |79410000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Rechargeable work","10659","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |79410000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Network Assets Staff","15000","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |79410000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Network Assets Staff","15000","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |79410000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Network Assets Staff","15000","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |79410000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Works - Construction, Repair & Maintenance  ","#N/A","#N/A","55292.2","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Design Frmwk Staff","17088","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","#N/A","#N/A","17968.3","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","#N/A","#N/A","28233.2","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |71530000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"AECOM Limited","Consultancy   ","Services to Place","Design Frmwk Staff","21787.2","71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |66122000 |70000000 71000000 79300000 90710000 45112450 63712700 |60000000 71410000 |73110000 |71310000 |98000000 71300000 |71240000 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |48100000 |71324000 |73000000 |75211200 |75211200 |71324000 |75211000 |71000000 |65000000 "
"After Adoption","Social Community Care Supplies & Services  ","Services to People","RAA Adoption Count","47836.6","85310000 85000000 79315000 85320000 85300000 |85300000 |85300000 |85000000 |85311300 85312300 "
"After Adoption","Social Community Care Supplies & Services  ","Services to People","RAA Adoption Count","27000","85000000 |80000000 |85310000 85000000 79315000 85320000 85300000 |85300000 |85300000 |85000000 |85311300 85312300 "
"After Adoption","Social Community Care Supplies & Services  ","Services to People","RAA Adoption Count","50000","80000000 |98000000 98300000 |85100000 |98000000 |85300000 "
"After Adoption","Social Community Care Supplies & Services  ","Services to People","RAA Adoption Count","31000","80000000 |98000000 98300000 |85100000 |98000000 |85300000 "
"Atkins Limited","Consultancy   ","Services to Place","Highways-Network Man","19760","71000000 |73200000 |71311200 |71311000 |71313000 |45262640 |79000000 |71315200 71321000 |72000000 |79000000 |45000000 50000000 63000000 |48000000 |73000000 |73000000 |71240000 |71000000 |71320000 |71200000 |70000000 71000000 79300000 90710000 45112450 63712700 |45112450 63712700 70000000 71000000 79300000 90710000 |71314200 71314300 |73000000 79000000 71318000 |98112000 |71000000 |71200000 71300000 71500000 71800000 90000000 |48613000 |71300000 |71500000 71600000 71800000 71313000 71315000 71312000 71311000 71314000 |71000000 |71311000 71313000 71530000 71312000 71315000 71351000 |71311000 "
