X,Y,OBJECTID,LAND_CHARG,ADDRESS_1,DATE_OF_RE,EASTING,NORTHING
-0.106025044688823,51.4419790746084,1,CP810048,128 Norwood Road,2008/11/13 00:00:00+00,531728,173144
-0.108923501464218,51.4742194467664,2,CP787392,Crawshay Court Eythorne Road,2007/03/08 00:00:00+00,531434,176724
