Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1059534,2016-07-01,"£6,088.50",REDACTED COMMERCIAL CONFIDENTIALITY,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1059538,2016-07-01,"£100,000.00",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO INDIVIDUALS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1059539,2016-07-01,"£87,876.24",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO INDIVIDUALS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1021226,2016-07-01,"£111,896.10",DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1001529,2016-07-01,"£24,480.00",S T HEDGES QUINN LTD,IMPROVEMENTS-MODERNISATION,ECONOMY DIRECTORATE
Rochdale Borough Council,s1020539,2016-07-04,"£7,279.00",ASTOR BANNERMAN (MEDICAL) LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1020543,2016-07-04,"£10,850.00",ACTION FIRST IPEOPLE LTD,FEES / COMMISSION,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1059601,2016-07-05,"£14,409.60",HARROD UK LTD,GRANTS TO VOLUNTARY BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1059601,2016-07-05,"£14,409.60",HARROD UK LTD,GRANTS TO VOLUNTARY BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1059605,2016-07-05,"£9,187.45",PROFILE SECURITY SERVICES LIMITED,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1059610,2016-07-05,"£26,900.00",JEREMY BENN ASSOCIATES LTD,OTHER SURVEYS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1059612,2016-07-05,"£6,604.00",ABC INDUSTRIAL DOORS LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1021236,2016-07-05,"£11,000.00",G W THEATRE COMPANY LIMITED,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021253,2016-07-05,"£6,440.00",THE UNIVERSITY OF MANCHESTER,BASIC SALARIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021254,2016-07-05,"£5,172.00",THE UNIVERSITY OF MANCHESTER,BASIC SALARIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021255,2016-07-05,"£8,981.00",OLDHAM METROPOLITAN BOROUGH COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,w1001501,2016-07-05,"£921,444.36",THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,w1001502,2016-07-05,"£460,722.18",THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,w1001503,2016-07-05,"£460,722.18",THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,q1007378,2016-07-06,"£5,124.00",HARVEY  HOUSE SOCIAL ENTERPRISES LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1059644,2016-07-07,"£8,250.00",YOTTA LIMITED,ASSET MANAGEMENT PLANS & SURVEYS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1059660,2016-07-07,"£6,524.08",SPUR INFORMATION SOLUTIONS LIMITED,IT EQUIPMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1021270,2016-07-07,"£44,100.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021273,2016-07-07,"£23,790.47",BIRTENSHAW HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021274,2016-07-07,"£17,412.00",ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021275,2016-07-07,"£5,999.94",ROC NORTHWEST LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101382,2016-07-07,"£6,000.00",GEORGE HOUSE TRUST,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,q1007388,2016-07-07,"£21,700.00",STHREE PARTNERSHIP LLP,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1007389,2016-07-07,"£5,142.02",O T GLYNN,ROOM HIRE,FINANCE SERVICES
