Organisation name,Purchase Order Number,Order date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,ph100598,2014-11-04,"£227,150.00",PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1002923,2014-11-04,"£70,000.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045989,2014-11-05,"£8,255.84",J COONEY LTD,FOOTPATHS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045990,2014-11-05,"£12,235.67",J COONEY LTD,FOOTPATHS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045998,2014-11-05,"£34,500.00",GROUNDWORK OLDHAM AND ROCHDALE,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015048,2014-11-05,"£12,696.00",GATENBY SANDERSON,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,f1003803,2014-11-05,"£108,290.34",TRAFFORD MBC,OTHER LOCAL AUTHORITIES,FINANCE SERVICES
Rochdale Borough Council,q1002933,2014-11-05,"£10,000.00",EVERYTHING EVERYWHERE,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046026,2014-11-06,"£455,392.64",G M WASTE DISPOSAL AUTHORITY,WASTE DISPOSAL LEVY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015056,2014-11-06,"£8,499.00",PEOPLETOO LIMITED,CONSULTANT FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,ph100601,2014-11-06,"£8,209.35",VICTIM SUPPORT & WITNESS SERVICE,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,q1002949,2014-11-06,"£5,244.25",BINDMONT PRINT SERVICES LTD,PRINTING & STATIONERY,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046068,2014-11-07,"£12,461.04",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046069,2014-11-07,"£10,225.44",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046070,2014-11-07,"£11,644.56",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046071,2014-11-07,"£5,112.72",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046073,2014-11-07,"£5,822.28",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046074,2014-11-07,"£5,112.72",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046075,2014-11-07,"£5,112.72",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046076,2014-11-07,"£5,822.28",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015066,2014-11-07,"£8,538.00",PENNINE CARE NHS,HEALTH AUTH - SERVICE LEVEL AGREEMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1002964,2014-11-07,"£28,000.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,x1009926,2014-11-07,"£9,000.00",REDACTED PERSONAL DATA,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1015071,2014-11-10,"£9,000.00",OFFICE DEPOT UK LIMITED,PRINTING,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015078,2014-11-10,"£10,087.20",DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015079,2014-11-10,"£114,228.00",DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100604,2014-11-10,"£180,188.68",BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1002988,2014-11-10,"£8,403.75",JGM AGENCY,PUBLICITY,FINANCE SERVICES
Rochdale Borough Council,d1046105,2014-11-11,"£71,735.00",POWER PERFECTOR LTD,ENGINEERS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1046128,2014-11-11,"£18,137.75",FORD MOTOR COMPANY LTD,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046129,2014-11-11,"£32,960.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046140,2014-11-11,"£21,079.50",COMPLETE DEMOLITION LIMITED,DEMOLITION AND CLEARANCE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015087,2014-11-11,"£8,100.00",DIOCESE OF SALFORD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015089,2014-11-11,"£6,250.00",BARNARDOS,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003818,2014-11-11,"£12,225.60",BERTRAM TRADING LIMITED,BOOKS/NEWSPAPERS/PERIODICALS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,ph100610,2014-11-11,"£6,783.00",VIRGIN CARE BLACKPOOL LLP,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,d1046162,2014-11-12,"£9,881.72",KASHMIR YOUTH PROJECT,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046180,2014-11-12,"£50,000.00",UNITY PARTNERSHIP LTD,AGENCY STAFF,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015095,2014-11-12,"£666,888.18",AXIOM EDUCATION (ROCHDALE) LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003008,2014-11-12,"£5,481.85",SPECIALIST COMPUTER CENTRES PLC,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003013,2014-11-12,"£11,516.00",ROCHDALE TOWN CENTRE MANAGEMENT CO,EVENTS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017620,2014-11-12,"£75,000.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046188,2014-11-13,"£21,600.00",OUR LIFE,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046202,2014-11-13,"£7,246.50",URBAN VISION PARTNERSHIP LTD,AGENCY STAFF,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046227,2014-11-13,"£21,600.00",UNITY PARTNERSHIP LTD,CONSULTANT FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015110,2014-11-13,"£50,500.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1017626,2014-11-13,"£5,503.00",STANNAH LIFT SERVICES LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017627,2014-11-13,"£7,771.00",K P DODD CONSTRUCTION LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046266,2014-11-14,"£9,000.00",ORCHARD  RECYCLING SERVICE LTD,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046267,2014-11-14,"£9,175.00",D AND M DEMOLITION AND RECYCLING LTD,REMOVAL/STRIP OUT COSTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046269,2014-11-14,"£5,330.82",COMMERCIAL CONTRACT ENGINEERS LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046270,2014-11-14,"£20,185.00",JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046271,2014-11-14,"£25,231.00",JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046273,2014-11-14,"£20,940.00",J S C PLAY SERVICES LIMITED,CAPITAL BUDGET ALLOCATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015135,2014-11-17,"£14,000.00",AVENTIS SOLUTIONS LIMITED,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003040,2014-11-17,"£8,016.00",ROCHDALE MEMORIAL SERVICE LTD,EXPENSES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046296,2014-11-18,"£5,263.00",ABC INDUSTRIAL DOORS LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1046328,2014-11-18,"£12,500.00",THE BOND BOARD LIMITED,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046329,2014-11-18,"£17,500.00",THE BOND BOARD LIMITED,GRANTS TO OTHER BODIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046330,2014-11-18,"£7,742.50",HRR SOLUTIONS,MINOR BUILDING WORKS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046337,2014-11-18,"£422,114.00",AEBI SCHMIDT UK LIMITED,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046338,2014-11-18,"£16,000.00",TELEREAL TRILLIUM,PROFESSIONAL FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015136,2014-11-18,"£387,543.21",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015138,2014-11-18,"£21,697.44",INSPIREDSPACES ROCHDALE LTD,IT SUPPORT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003832,2014-11-18,"£8,116.00",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,FINANCE SERVICES
Rochdale Borough Council,ph100620,2014-11-18,"£15,000.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph100621,2014-11-18,"£50,474.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH PENNINE ACUTE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1003050,2014-11-18,"£7,947.65",SQUIRE PATTON BOGGS UK LLP,LEGAL SERVICES EXTERNAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1003053,2014-11-18,"£5,746.00",SQUIRE PATTON BOGGS UK LLP,LEGAL SERVICES EXTERNAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046342,2014-11-19,"£5,000.00",A E YATES LTD,HIGHWAYS STAFF TIME,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015152,2014-11-19,"£19,056.84",INSPIREDSPACES ROCHDALE LTD,IT SUPPORT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015153,2014-11-19,"£26,329.59",AXIOM EDUCATION (ROCHDALE) LIMITED,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003059,2014-11-19,"£6,811.00",XEROX UK LTD,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003062,2014-11-19,"£17,095.16",NORTHGATE INFORMATION SOLUTIONS UK LTD,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003070,2014-11-19,"£12,240.00",DAISY COMMUNICATIONS LTD,IT MAINTENANCE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003071,2014-11-19,"£20,000.00",KORUS RECRUITMENT GROUP LTD,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017671,2014-11-19,"£6,080.00",HIGH BARN CONSTRUCTION LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017677,2014-11-19,"£7,890.00",HIGH BARN CONSTRUCTION LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1000380,2014-11-19,"£39,400.00",ROCHDALE COMMUNITY TRANSPORT,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046396,2014-11-20,"£8,691.00",TOMAX BUILDING SERVICES LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015161,2014-11-20,"£288,180.66",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015164,2014-11-20,"£13,778.00",OLDHAM METROPOLITAN BOROUGH COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015169,2014-11-20,"£11,951.10",BEVAN BRITTAN LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003077,2014-11-20,"£8,193.72",Misco,PURCHASE OF ICT HARDWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017678,2014-11-20,"£9,633.00",TYNETEC LTD,EQUIPMENT - GENERAL,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046428,2014-11-21,"£11,200.00",ROBERT WHETHAM ASSOCIATES,ARCHITECTS FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1046429,2014-11-21,"£8,160.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046430,2014-11-21,"£8,082.30",ARCO,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046433,2014-11-21,"£5,267.44",NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046434,2014-11-21,"£6,241.69",NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046435,2014-11-21,"£20,833.35",ROCHDALE & DIST CITIZENS ADVICE BUREAU,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046443,2014-11-21,"£10,985.00",NORTHERN INSULATION CONTRACTORS,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1046448,2014-11-21,"£8,004.00",VIZWEAR,"CLOTHES, UNIFORM AND LAUNDRY",ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015178,2014-11-21,"£23,285.65",AXIOM EDUCATION (ROCHDALE) LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015179,2014-11-21,"£17,448.08",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1015183,2014-11-21,"£5,349.72",AXIOM EDUCATION (ROCHDALE) LIMITED,"DEV CAP - NEW CONSTRUCTION,CONVERSION",EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1046464,2014-11-22,"£69,152.00",UNITY PARTNERSHIP LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1046480,2014-11-24,"£32,323.79",JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046482,2014-11-24,"£10,000.00",THE SANCTUARY TRUST,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046483,2014-11-24,"£5,822.00",THE SANCTUARY TRUST,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1003104,2014-11-24,"£10,000.00",SENITOR RECRUITMENT,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046516,2014-11-25,"£5,368.50",PLAYBROKERS LTD,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046535,2014-11-25,"£16,757.54",F S MOULT & SON,DRAINAGE AND SEWERS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015201,2014-11-25,"£187,893.74",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015213,2014-11-25,"£159,554.17",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015215,2014-11-25,"£22,734.00",PONTVILLE SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015216,2014-11-25,"£31,848.00",WINGS SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015217,2014-11-25,"£13,059.00",ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015218,2014-11-25,"£13,059.00",ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015219,2014-11-25,"£13,059.00",ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015220,2014-11-25,"£13,059.00",ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003852,2014-11-26,"£7,975.00",PLAIN ENGLISH CAMPAIGN LTD,TRAINING-NON QUALIFICATION,FINANCE SERVICES
Rochdale Borough Council,d1046557,2014-11-27,"£8,839.00",PLAYDALE PLAYGROUNDS LIMITED,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046560,2014-11-27,"£97,499.00",JOHNSTON SWEEPERS LIMITED,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046564,2014-11-27,"£30,300.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046565,2014-11-27,"£28,280.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046572,2014-11-27,"£8,839.00",PLAYDALE PLAYGROUNDS LIMITED,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015249,2014-11-27,"£10,658.00",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015250,2014-11-27,"£10,658.00",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015251,2014-11-27,"£10,658.00",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015252,2014-11-27,"£10,658.00",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015253,2014-11-27,"£9,810.12",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015254,2014-11-27,"£10,347.68",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1003128,2014-11-27,"£9,111.56",EXPERIAN LIMITED,MISC CHARGES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003131,2014-11-27,"£15,000.00",STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003132,2014-11-27,"£14,000.00",STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003134,2014-11-27,"£7,200.00",MAUREEN DALEY LTD,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,q1003135,2014-11-27,"£10,560.00",NDI RECOGNITION SYSTEMS LTD,SECURITY,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1046617,2014-11-28,"£10,650.00",D AND M DEMOLITION AND RECYCLING LTD,REMOVAL/STRIP OUT COSTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046628,2014-11-28,"£14,410.00",BALMERS GM LTD,PURCHASE OF PLANT AND MACHINERY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015267,2014-11-28,"£10,000.00",ROCHDALE DEVELOPMENT AGENCY,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015268,2014-11-28,"£10,317.67",THE ROYAL NATIONAL COLLEGE FOR THE BLIND,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1009994,2014-11-28,"£18,000.00",NUGENT CARE ,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1046639,2014-12-01,"£5,375.00",MACE LIMITED,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,ph100635,2014-12-01,"£227,150.00",PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,d1046697,2014-12-02,"£22,470.73",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046698,2014-12-02,"£382,000.00",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015284,2014-12-02,"£9,768.99",BRIGHT FUTURES SCHOOL LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015285,2014-12-02,"£10,427.00",BEECHKEYS CARE AND EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015289,2014-12-02,"£5,314.13",MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100637,2014-12-02,"£10,000.00",PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1003145,2014-12-02,"£18,000.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003152,2014-12-02,"£197,682.00",FREEDOM COMMUNICATIONS,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,x1010006,2014-12-02,"£5,920.00",FRANK WHITELOCK,CONSULTANT FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1046710,2014-12-03,"£39,914.42",URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,DEMOLITION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015315,2014-12-03,"£7,728.00",GATENBY SANDERSON,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,q1003156,2014-12-03,"£45,369.91",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,SERVICES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017744,2014-12-03,"£8,780.85",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,SOCIAL SERVICES OTHER,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046729,2014-12-04,"£10,000.00",JMHA,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003868,2014-12-04,"£5,600.00",PRICE WATERHOUSE COOPERS,PROVISIONS UTILISED IN YEAR,FINANCE SERVICES
Rochdale Borough Council,d1046770,2014-12-05,"£5,226.26",OLDHAM MBC,AGENCY STAFF,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1015326,2014-12-05,"£38,083.33",CRUCKTON HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015327,2014-12-05,"£38,083.33",CRUCKTON HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015328,2014-12-05,"£12,209.76",THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015329,2014-12-05,"£12,658.99",THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015330,2014-12-05,"£12,253.08",THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015331,2014-12-05,"£11,037.85",THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015332,2014-12-05,"£11,483.26",THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015333,2014-12-05,"£13,077.00",NEW COLLEGE WORCESTER,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100640,2014-12-05,"£142,688.92",BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1003168,2014-12-05,"£22,400.00",STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003173,2014-12-05,"£15,600.00",SENITOR RECRUITMENT,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017767,2014-12-05,"£5,530.00",MICK TAYLOR LIMITED,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1046804,2014-12-08,"£5,911.48",KASHMIR YOUTH PROJECT,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046810,2014-12-08,"£6,196.32",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046811,2014-12-08,"£5,310.00",EMO OIL LIMITED,OIL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046812,2014-12-08,"£11,362.00",EARLEY ORNAMENTALS LTD,"TREES, SHRUBS, PLANTS",ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046820,2014-12-08,"£23,000.00",PROFILE SECURITY SERVICES LIMITED,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1046825,2014-12-08,"£25,589.34",RIVERSIDE TRUCK RENTAL,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
