Organisation name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,SERVICE
Rochdale Borough Council,q1003968,2015-03-20,"£5,421.00",SQUIRE PATTON BOGGS UK LLP,LEGAL SERVICES EXTERNAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,s1018419,2015-03-20,"£17,795.62",ROSS CARE,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,q1003981,2015-03-21,"£16,000.00",ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,EXPENSES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1049098,2015-03-23,"£45,950.00",PETRUS,CONTRACTED SERVICES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049099,2015-03-23,"£5,509.56",KASHMIR YOUTH PROJECT,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049101,2015-03-23,"£5,500.00",MACE LIMITED,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049102,2015-03-23,"£38,294.16",CAMEO LTD,CENTRAL HEATING,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049105,2015-03-23,"£22,799.51",M N PROPERTY CONSULTANTS,MISC INS ALL RISK,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049106,2015-03-23,"£18,000.00",PETRUS,CONTRACTED SERVICES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049109,2015-03-23,"£5,000.00",THE BOND BOARD LIMITED,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049121,2015-03-23,"£19,798.00",J S C PLAY SERVICES LIMITED,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049125,2015-03-23,"£6,786.00",SAICA NATUR UK LTD,REFUSE DISPOSAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1016563,2015-03-23,"£5,732.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,OCCUPATIONAL HEALTH,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1016568,2015-03-23,"£14,000.00",THE TUTOR TRUST,COSTS MET BY SCHOOL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1004042,2015-03-23,"£23,107.50",MERITEC LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,f1004043,2015-03-23,"£28,860.00",CIVICA UK LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,w1000662,2015-03-23,"£17,718.01",MOLESWORTHS BRIGHT CLEGG,NURSING LONG TERM,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,w1000663,2015-03-23,"£20,000.00",ROCHDALE CIRCLE,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1000664,2015-03-23,"£5,106.42",ROCHDALE COMMUNITY TRANSPORT,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1049151,2015-03-24,"£47,500.00",TRANSPORT FOR GREATER MANCHESTER,BUS EXPENSES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049188,2015-03-24,"£9,200.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,ph100775,2015-03-24,"£6,820.67",VICTIM SUPPORT & WITNESS SERVICE,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,ph100778,2015-03-24,"£46,140.63",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,ACTIVITIES,PUBLIC HEALTH
Rochdale Borough Council,q1003989,2015-03-24,"£5,387.00",TRAFFORD MBC,ADVERTISING -STAFF,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003991,2015-03-24,"£51,049.45",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,CONTRACTED SERVICES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003996,2015-03-24,"£37,250.00",MAON,REPAIRS & ALTS OF BUILDINGS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1003999,2015-03-24,"£6,784.07",STEPPING STONE PROJECT ROCHDALE LTD,NEW CONSTRUCTION,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1018431,2015-03-24,"£23,250.00",PETRUS,SERVICE LEVEL AGREEMENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,s1018438,2015-03-24,"£23,250.00",PETRUS,SERVICE LEVEL AGREEMENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,w1000670,2015-03-24,"£19,425.04",ALTERNATIVE FUTURES GROUP LTD,INDIVIDUAL SERVICE FUND,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,d1049201,2015-03-25,"£27,628.00",PETRUS,CONTRACTED SERVICES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049204,2015-03-25,"£6,230.52",STRAIGHT MANUFACTURING LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049225,2015-03-25,"£31,103.62",UNITED UTILITIES WATER LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1049227,2015-03-25,"£44,271.83",GROUNDWORK OLDHAM AND ROCHDALE,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049228,2015-03-25,"£128,243.95",GROUNDWORK OLDHAM AND ROCHDALE,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049230,2015-03-25,"£16,000.00",J COONEY LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1049237,2015-03-25,"£35,000.00",J COONEY LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1016597,2015-03-25,"£8,577.00",PEOPLETOO LIMITED,CONSULTANT FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,f1004045,2015-03-25,"£146,960.83",LINK4LIFE (CHARITY),LINK 4 LIFE CONTRACT,FINANCE SERVICES
Rochdale Borough Council,q1004011,2015-03-25,"£42,438.00",UPDATA INFRASTRUCTURE UK LTD,PURCHASE OF OTHER EQUIPMENT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1049248,2015-03-26,"£6,416.20",J COONEY LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1049259,2015-03-26,"£26,160.00",BUREAU VERITAS UK LTD,HEALTH AUTHORITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049262,2015-03-26,"£103,000.00",COMPASS MINERALS UK LIMITED,"CLOTHES, UNIFORM AND LAUNDRY",PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1049264,2015-03-26,"£7,979.00",OTIS LTD,PROPERTY - WORKS ELEMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049272,2015-03-26,"£100,000.00",BALFOUR BEATTY  LIVING PLACES,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1049273,2015-03-26,"£87,318.00",NILFISK OUTDOOR PRODUCTS,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049275,2015-03-26,"£18,374.10",NORTHERN STAGE SERVICES LTD,PURCHASE OF OTHER EQUIPMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1004029,2015-03-26,"£7,010.00",MODERN MINDSET LTD,BOOKS/NEWSPAPERS/PERIODICALS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1004035,2015-03-26,"£40,974.00",AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1004039,2015-03-26,"£20,145.85",LIQUIDLOGIC LTD,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1004041,2015-03-26,"£21,321.15",LIQUIDLOGIC LTD,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1049296,2015-03-27,"£8,500.00",OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,MISCELLANEOUS CAPITAL EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049309,2015-03-27,"£52,000.00",OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,ROOF WORK/REPLACEMENT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049318,2015-03-27,"£6,935.00",GROUNDWORK LANDSCAPES LIMITED,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049323,2015-03-27,"£5,126.00",GULLIVERS TRUCK HIRE LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1049325,2015-03-27,"£320,000.00",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1004046,2015-03-27,"£140,808.17",CIVICA UK LIMITED,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1018449,2015-03-27,"£5,016.00",STANNAH LIFT SERVICES LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1018450,2015-03-27,"£5,553.00",STANNAH LIFT SERVICES LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1049344,2015-03-30,"£5,899.96",GTM ELECTRICAL SERVICES LIMITED,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1049347,2015-03-30,"£26,320.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1004049,2015-03-31,"£42,133.00",MERITEC LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,ph100788,2015-03-31,"£32,919.00",CHESHIRE AND GREATER MANCHESTER CRC,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,q1004057,2015-03-31,"£9,306.14",POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,CONTRACTED SERVICES,CUSTOMERS & CORPORATE SERVICES
