"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","2019-08-12","20000","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-09-10","32850","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","ROADWORKS","PROPERTY AND HIGHWAYS","2019-09-20","42283","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-11-28","5489","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AECOM LIMITED","MINOR BUILDING WORKS","PROPERTY AND HIGHWAYS","2019-06-07","39635","71352100 |71356000 |71314200 71314300 |71200000 71300000 71500000 71800000 90000000 |45000000 71000000 |71310000 |71313400 71313430 71313450 71313420 |71000000 71200000 71500000 71400000 70000000 71300000 |72224000 |72224000 |72224000 |66122000 |71000000 79000000 98000000 |72224000 |71000000 73000000 71311000 |71240000 |71530000 |71244000 |71410000 |73000000 |45000000 |71310000 |90712000 |71314000 |71311300 |71311000 |70000000 71000000 79300000 90710000 45112450 63712700 |71530000 |71000000 |60000000 71410000 |73110000 |71310000 |71000000 |79410000 |98000000 71300000 |71352100 |71352100 |71352100 |71240000 |71240000 |71240000 |71240000 |71311300 71410000 71530000 |71356000 79415200 |73000000 |71310000 |71320000 |73000000 |71000000 |71311000 |71000000 71315000 71312000 71311000 71315200 71315210 |70000000 71000000 79300000 90710000 45112450 63712700 |71000000 |71315200 |71530000 |48100000 |71324000 |73000000 |90713000 |71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90"
"AFTER ADOPTION","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","2016-12-02","14333","85000000 |80000000 |98000000 |98000000 98300000 |85100000 |85310000 85000000 79315000 85320000 85300000 |98000000 |85300000 |85300000 |85000000 |85311300 85312300 "
"AFTER ADOPTION","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","2016-12-05","28667","85000000 |80000000 |98000000 |98000000 98300000 |85100000 |85310000 85000000 79315000 85320000 85300000 |98000000 |85300000 |85300000 |85000000 |85311300 85312300 "
"AFTER ADOPTION","ACTIVITIES","CHILDREN’S SOCIAL CARE","2016-12-05","7817.62","85000000 |80000000 |98000000 |98000000 98300000 |85100000 |85310000 85000000 79315000 85320000 85300000 |98000000 |85300000 |85300000 |85000000 |85311300 85312300 "
"AFTER ADOPTION","SUBSIDISED ADOPTERS PMTS","CHILDREN’S SOCIAL CARE","2018-01-31","14333","85000000 |80000000 |98000000 |98000000 98300000 |85100000 |85310000 85000000 79315000 85320000 85300000 |98000000 |85300000 |85300000 |85000000 |85311300 85312300 "
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","2018-04-10","47353","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 |72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
