"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"CIVICA UK LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2016-05-11","16983","48422000 |48170000 |72260000 48517000 |48000000 |48000000 |48000000 72000000 |48000000 |48000000 |72000000 |48000000 |72260000 |70333000 |72230000 |48000000 |72300000 |48000000 |48812000 |48160000 |72000000 |66000000 79000000 |48600000 71317200 |72212730 |72212730 |72211000 |72000000 70333000 75123000 |72322000 |48000000 72000000 79000000 |48000000 |48000000 |48000000 48517000 72227000 72266000 |48000000 50111000 |48000000 48100000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48311100 |48000000 |48100000 |48000000 |48000000 |72000000 |48612000 |72000000 |72222300 |48000000 |48219000 |66000000 |48000000 |72261000 72267000 72268000 |48000000 |48611000 |72000000 |48000000 |72262000 |72000000 |48330000 48311000 |72000000 |48600000 |48000000 |48000000 60000000 |39310000 48100000 |48612000 |72000000 |72000000 |72590000 72610000 |48000000 72000000 |48442000 |48612000 |72227000 |48000000 72261000 72266000 |72000000 |48217000 |48000000 |72000000 |72212600 |48517000 |72000000 |48000000 |722610"
"CIVICA UK LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2016-10-24","8447.12","48422000 |48170000 |72260000 48517000 |48000000 |48000000 |48000000 72000000 |48000000 |48000000 |72000000 |48000000 |72260000 |70333000 |72230000 |48000000 |72300000 |48000000 |48812000 |48160000 |72000000 |66000000 79000000 |48600000 71317200 |72212730 |72212730 |72211000 |72000000 70333000 75123000 |72322000 |48000000 72000000 79000000 |48000000 |48000000 |48000000 48517000 72227000 72266000 |48000000 50111000 |48000000 48100000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48311100 |48000000 |48100000 |48000000 |48000000 |72000000 |48612000 |72000000 |72222300 |48000000 |48219000 |66000000 |48000000 |72261000 72267000 72268000 |48000000 |48611000 |72000000 |48000000 |72262000 |72000000 |48330000 48311000 |72000000 |48600000 |48000000 |48000000 60000000 |39310000 48100000 |48612000 |72000000 |72000000 |72590000 72610000 |48000000 72000000 |48442000 |48612000 |72227000 |48000000 72261000 72266000 |72000000 |48217000 |48000000 |72000000 |72212600 |48517000 |72000000 |48000000 |722610"
"CIVICA UK LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2017-01-25","22582.5","48422000 |48170000 |72260000 48517000 |48000000 |48000000 |48000000 72000000 |48000000 |48000000 |72000000 |48000000 |72260000 |70333000 |72230000 |48000000 |72300000 |48000000 |48812000 |48160000 |72000000 |66000000 79000000 |48600000 71317200 |72212730 |72212730 |72211000 |72000000 70333000 75123000 |72322000 |48000000 72000000 79000000 |48000000 |48000000 |48000000 48517000 72227000 72266000 |48000000 50111000 |48000000 48100000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48311100 |48000000 |48100000 |48000000 |48000000 |72000000 |48612000 |72000000 |72222300 |48000000 |48219000 |66000000 |48000000 |72261000 72267000 72268000 |48000000 |48611000 |72000000 |48000000 |72262000 |72000000 |48330000 48311000 |72000000 |48600000 |48000000 |48000000 60000000 |39310000 48100000 |48612000 |72000000 |72000000 |72590000 72610000 |48000000 72000000 |48442000 |48612000 |72227000 |48000000 72261000 72266000 |72000000 |48217000 |48000000 |72000000 |72212600 |48517000 |72000000 |48000000 |722610"
"CIVICA UK LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2017-03-01","21041.2","48422000 |48170000 |72260000 48517000 |48000000 |48000000 |48000000 72000000 |48000000 |48000000 |72000000 |48000000 |72260000 |70333000 |72230000 |48000000 |72300000 |48000000 |48812000 |48160000 |72000000 |66000000 79000000 |48600000 71317200 |72212730 |72212730 |72211000 |72000000 70333000 75123000 |72322000 |48000000 72000000 79000000 |48000000 |48000000 |48000000 48517000 72227000 72266000 |48000000 50111000 |48000000 48100000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48311100 |48000000 |48100000 |48000000 |48000000 |72000000 |48612000 |72000000 |72222300 |48000000 |48219000 |66000000 |48000000 |72261000 72267000 72268000 |48000000 |48611000 |72000000 |48000000 |72262000 |72000000 |48330000 48311000 |72000000 |48600000 |48000000 |48000000 60000000 |39310000 48100000 |48612000 |72000000 |72000000 |72590000 72610000 |48000000 72000000 |48442000 |48612000 |72227000 |48000000 72261000 72266000 |72000000 |48217000 |48000000 |72000000 |72212600 |48517000 |72000000 |48000000 |722610"
"CIVICA UK LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2017-03-13","42058.2","48422000 |48170000 |72260000 48517000 |48000000 |48000000 |48000000 72000000 |48000000 |48000000 |72000000 |48000000 |72260000 |70333000 |72230000 |48000000 |72300000 |48000000 |48812000 |48160000 |72000000 |66000000 79000000 |48600000 71317200 |72212730 |72212730 |72211000 |72000000 70333000 75123000 |72322000 |48000000 72000000 79000000 |48000000 |48000000 |48000000 48517000 72227000 72266000 |48000000 50111000 |48000000 48100000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48311100 |48000000 |48100000 |48000000 |48000000 |72000000 |48612000 |72000000 |72222300 |48000000 |48219000 |66000000 |48000000 |72261000 72267000 72268000 |48000000 |48611000 |72000000 |48000000 |72262000 |72000000 |48330000 48311000 |72000000 |48600000 |48000000 |48000000 60000000 |39310000 48100000 |48612000 |72000000 |72000000 |72590000 72610000 |48000000 72000000 |48442000 |48612000 |72227000 |48000000 72261000 72266000 |72000000 |48217000 |48000000 |72000000 |72212600 |48517000 |72000000 |48000000 |722610"
"CIVICA UK LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2017-03-16","16625.7","48422000 |48170000 |72260000 48517000 |48000000 |48000000 |48000000 72000000 |48000000 |48000000 |72000000 |48000000 |72260000 |70333000 |72230000 |48000000 |72300000 |48000000 |48812000 |48160000 |72000000 |66000000 79000000 |48600000 71317200 |72212730 |72212730 |72211000 |72000000 70333000 75123000 |72322000 |48000000 72000000 79000000 |48000000 |48000000 |48000000 48517000 72227000 72266000 |48000000 50111000 |48000000 48100000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48311100 |48000000 |48100000 |48000000 |48000000 |72000000 |48612000 |72000000 |72222300 |48000000 |48219000 |66000000 |48000000 |72261000 72267000 72268000 |48000000 |48611000 |72000000 |48000000 |72262000 |72000000 |48330000 48311000 |72000000 |48600000 |48000000 |48000000 60000000 |39310000 48100000 |48612000 |72000000 |72000000 |72590000 72610000 |48000000 72000000 |48442000 |48612000 |72227000 |48000000 72261000 72266000 |72000000 |48217000 |48000000 |72000000 |72212600 |48517000 |72000000 |48000000 |722610"
"CIVICA UK LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2017-09-25","8742.77","48422000 |48170000 |72260000 48517000 |48000000 |48000000 |48000000 72000000 |48000000 |48000000 |72000000 |48000000 |72260000 |70333000 |72230000 |48000000 |72300000 |48000000 |48812000 |48160000 |72000000 |66000000 79000000 |48600000 71317200 |72212730 |72212730 |72211000 |72000000 70333000 75123000 |72322000 |48000000 72000000 79000000 |48000000 |48000000 |48000000 48517000 72227000 72266000 |48000000 50111000 |48000000 48100000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48000000 |48311100 |48000000 |48100000 |48000000 |48000000 |72000000 |48612000 |72000000 |72222300 |48000000 |48219000 |66000000 |48000000 |72261000 72267000 72268000 |48000000 |48611000 |72000000 |48000000 |72262000 |72000000 |48330000 48311000 |72000000 |48600000 |48000000 |48000000 60000000 |39310000 48100000 |48612000 |72000000 |72000000 |72590000 72610000 |48000000 72000000 |48442000 |48612000 |72227000 |48000000 72261000 72266000 |72000000 |48217000 |48000000 |72000000 |72212600 |48517000 |72000000 |48000000 |722610"
"COMMUNICATE TECHNOLOGY PLC","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2018-04-30","12948","72000000 |72000000 "
"COMMUNICATE TECHNOLOGY PLC","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","2019-04-25","13520","72000000 "
"COVENTRY CITY COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","2017-12-13","18000","34114400 |34134100 34144000 |34114400 |50421000 |50421000 |32420000 |80000000 |80590000 |80590000 |85310000 |85310000 |80000000 |80000000 |80000000 |80000000 |80000000 |80000000 |44212000 44000000 |80000000 |85000000 |98351000 |79210000 79410000 |32551400 |79210000 79410000 |79210000 79410000 |79210000 79410000 |79210000 79410000 |79210000 79410000 |79210000 79410000 |32424000 |48600000 |34929000 |30000000 48000000 51300000 51600000 72000000 |45111000 |79900000 |63712700 |34144900 |45215400 22314000 45454100 |45213321 |48000000 |85300000 |85000000 |70110000 70112000 45211360 45000000 45213112 45212150 45212000 45211341 |32410000 72400000 72710000 |50000000 50334400 44221400 44221200 50413200 45313100 50750000 50883000 45331200 31625000 42512000 44221220 44221230 50710000 45421148 45421131 50324200 50711000 42510000 39717200 45331220 44221310 39717000 35121000 35120000 50412000 45331221 50610000 508|32234000 |79340000 |71000000 72224000 71541000 |75241000 79952000 79710000 |50112110 50000000 50115000 50113000 "
"CRITIQOM LIMITED","PRINTING","EARLY HELP AND SCHOOLS","2017-03-07","8000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING","EARLY HELP AND SCHOOLS","2018-01-31","11080.1","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","FINANCE SERVICES","2016-11-04","50000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","SOFTWARE","RESOURCES","2017-05-03","46000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2017-05-24","50000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2017-07-26","50000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2017-12-04","50000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","RESOURCES","2018-04-04","29976.3","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 |79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2018-04-06","11483","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 |79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","RESOURCES","2018-04-09","5681.12","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 |79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","RESOURCES","2018-04-09","45000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 |79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2018-04-09","20000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 |79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2018-05-10","16130","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 |79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","RESOURCES","2018-05-10","33690","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 |79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","RESOURCES","2019-02-05","20000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2019-04-02","13521","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","RESOURCES","2019-04-02","40252.4","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","RESOURCES","2019-04-07","50000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2019-04-11","20000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING","RESOURCES","2019-04-12","5000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","POSTAGE","RESOURCES","2019-08-05","49999","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING & STATIONERY","RESOURCES","2019-10-14","20000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CRITIQOM LIMITED","PRINTING","RESOURCES","2017-06-19","5000","79800000 |79800000 |79800000 |64110000 |22000000 |22821000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT","2015-08-11","111197","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2016-02-23","49993.2","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2016-08-03","24382","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2016-10-07","28224.4","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2016-10-20","144480","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2017-07-28","22360","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2017-12-04","22394.4","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2017-12-07","8364.01","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2017-12-11","45360","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2017-12-13","33471.4","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2018-04-17","45360","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 |19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2018-05-16","6002.88","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 |19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2018-05-25","6002.88","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 |19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2018-06-21","6002.88","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 |19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2018-06-29","6002.88","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 |19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2018-10-10","60480","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2018-12-18","60480","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CROMWELL POLYTHENE LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","2019-12-10","60480","19640000 |19640000 |19640000 34928480 |19640000 |98341130 |19640000 |19640000 |19640000 |19640000 |19640000 |18923000 22850000 22000000 |19640000 24000000 33760000 39830000 |90000000 |18923000 22852000 30191130 30192700 30197210 30199000 "
"CURTINS CONSULTING","SURVEYORS FEES","NEIGHBOURHOODS AND ENVIRONMENT","2016-12-01","5687.97","71530000 |71312000 |71000000 73000000 |71310000 71312000 71311000 |71311000 |71000000 |71000000 71530000 71312000 71311000 71315200 |71312000 71315200 |71310000 |71312000 |71351500 |71000000 |45000000 73000000 |71311000 |71000000 |71000000 |71500000 |71320000 71300000 |71311000 |71322100 |71312000 |71312000 |71311000 71312000 71311100 71322000 |71312000 71310000 71311000 |71312000 71312000 |71315000 |71000000 79000000 |71500000 |71000000 71315000 71312000 71311000 71315200 71315210 |71315200 |71310000 |71000000 |71315200 |71000000 |71200000 71312000 71242000 72224000 71324000 71300000 42416100 90714000 71313410 71317210 |71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 |71000000 |45000000 71000000 |73220000 |71200000 71221000 71240000 71250000 71324000 71312000 71321000 71334000 |71530000 |71312000 |71200000 71312000 71324000 71333000 71530000 71541000 |71312000 |71000000 |4521100"
"DAVID HUNTER","ACTIVITIES","NEIGHBOURHOODS AND ENVIRONMENT","2017-09-27","6500","79411000 |60171000 "
"DAVID HUNTER","CONSULTANT FEES","CHILDREN’S SOCIAL CARE","2017-03-01","5500","79411000 |60171000 "
"DAVID HUNTER","CONSULTANT FEES","CHILDREN’S SOCIAL CARE","2017-09-06","5500","79411000 |60171000 "
"DCM SURFACES","MAINTENANCE","NEIGHBOURHOODS AND ENVIRONMENT","2019-08-05","9200","45000000 50870000 |45236210 |45000000 45213316 71421000 "
"DCM SURFACES","MAINTENANCE","NEIGHBOURHOODS AND ENVIRONMENT","2019-08-05","5408","45000000 50870000 |45236210 |45000000 45213316 71421000 "
"DEVON COUNTY COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","2015-01-26","9000","45230000 |45230000 |45000000 |85300000 |44221220 |45000000 |90500000 |85000000 98000000 |90530000 |79412000 66171000 |73200000 |71222200 71351720 |73000000 79300000 79311400 |32581000 |85000000 |45000000 |85000000 98000000 |71300000 71310000 |85000000 |85000000 |32581000 |72000000 |77314000 |90000000 90514000 |85000000 |72000000 |45000000 |79512000 |72000000 |48000000 |48170000 |75112000 |09111400 |80000000 |32000000 |79100000 |42961100 |34928500 |72000000 |48000000 |85300000 |72000000 |45246000 |79000000 |38127000 |48610000 48000000 |73000000 |72000000 |71310000 71311000 |72000000 |79100000 |14000000 14400000 34144420 |73000000 |34923000 34926000 34996000 |79000000 |85100000 85300000 |34928500 |85312310 85312400 |72210000 73200000 |73200000 72210000 |34928510 34928500 50232100 |77200000 |79340000 75125000 |85312310 85312400 85322000 98133110 |80310000 85312310 85312400 85322000 98133110 |80000000 |50700000 45330000 |85000000 98000000 |79000000 98000000 |85323000 |79000000 |85000000 |72000000 |71330000 |70000"
"DONALD INSALL ASSOCIATES","MINOR BUILDING WORKS","ECONOMY DIRECTORATE","2017-12-06","9250","71200000 71600000 71310000 71330000 71350000 71322000 45212314 |71000000 73000000 |71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 |71220000 |71315200 |71200000 |71000000 |73210000 |71000000 |45212350 71222000 71223000 45261910 45261920 45260000 45261900 71210000 71221000 71251000 71200000 71000000 45212212 71220000 71250000 71240000 |45212350 |71730000 71631000 |71000000 |71251000 71250000 71315300 "
"DONALD INSALL ASSOCIATES","CONSULTANTS FEES","ECONOMY DIRECTORATE","2019-04-17","53300","71200000 71600000 71310000 71330000 71350000 71322000 45212314 |71000000 73000000 |71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 |71220000 |71315200 |71200000 |71000000 |73210000 |71000000 |45212350 71222000 71223000 45261910 45261920 45260000 45261900 71210000 71221000 71251000 71200000 71000000 45212212 71220000 71250000 71240000 |45212350 |71730000 71631000 |71000000 |71251000 71250000 71315300 "
"DONALD INSALL ASSOCIATES","CONSULTANTS FEES","ECONOMY DIRECTORATE","2019-04-18","53300","71200000 71600000 71310000 71330000 71350000 71322000 45212314 |71000000 73000000 |71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 |71220000 |71315200 |71200000 |71000000 |73210000 |71000000 |45212350 71222000 71223000 45261910 45261920 45260000 45261900 71210000 71221000 71251000 71200000 71000000 45212212 71220000 71250000 71240000 |45212350 |71730000 71631000 |71000000 |71251000 71250000 71315300 "
"DONALD INSALL ASSOCIATES","CONSULTANTS FEES","ECONOMY DIRECTORATE","2019-04-25","148600","71200000 71600000 71310000 71330000 71350000 71322000 45212314 |71000000 73000000 |71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 |71220000 |71315200 |71200000 |71000000 |73210000 |71000000 |45212350 71222000 71223000 45261910 45261920 45260000 45261900 71210000 71221000 71251000 71200000 71000000 45212212 71220000 71250000 71240000 |45212350 |71730000 71631000 |71000000 |71251000 71250000 71315300 "
"DONALD INSALL ASSOCIATES","CONSULTANTS FEES","ECONOMY DIRECTORATE","2019-04-25","138625","71200000 71600000 71310000 71330000 71350000 71322000 45212314 |71000000 73000000 |71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 |71220000 |71315200 |71200000 |71000000 |73210000 |71000000 |45212350 71222000 71223000 45261910 45261920 45260000 45261900 71210000 71221000 71251000 71200000 71000000 45212212 71220000 71250000 71240000 |45212350 |71730000 71631000 |71000000 |71251000 71250000 71315300 "
"DONALD INSALL ASSOCIATES","CONSULTANTS FEES","ECONOMY DIRECTORATE","2019-04-25","48875","71200000 71600000 71310000 71330000 71350000 71322000 45212314 |71000000 73000000 |71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 |71220000 |71315200 |71200000 |71000000 |73210000 |71000000 |45212350 71222000 71223000 45261910 45261920 45260000 45261900 71210000 71221000 71251000 71200000 71000000 45212212 71220000 71250000 71240000 |45212350 |71730000 71631000 |71000000 |71251000 71250000 71315300 "
"DONALD INSALL ASSOCIATES","MINOR BUILDING WORKS","ECONOMY DIRECTORATE","2019-08-28","53300","71200000 71600000 71310000 71330000 71350000 71322000 45212314 |71000000 73000000 |71000000 71200000 71240000 71242000 71243000 71244000 71245000 71246000 71247000 71248000 71310000 71311000 71311300 71315000 71315200 71315210 71420000 71421000 71530000 71541000 |71220000 |71315200 |71200000 |71000000 |73210000 |71000000 |45212350 71222000 71223000 45261910 45261920 45260000 45261900 71210000 71221000 71251000 71200000 71000000 45212212 71220000 71250000 71240000 |45212350 |71730000 71631000 |71000000 |71251000 71250000 71315300 "
